```csv
SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Alamerica BancCorp,"Inc."","Birmingham,"AL"","2015","Donald V. Watkins","common","473089","47.31%","3047583"
"Alamerica BancCorp,"Inc."","Birmingham,"AL"","2015","Clarissa B. Harms","common","115735","11.57%","3047583"
"Alamerica BancCorp,"Inc."","Birmingham,"AL"","2015","Daryl E Harms Irrevocable Trust for Hannah K. Harms*","common","33079","3.31%","3047583"
"Alamerica BancCorp,"Inc."","Birmingham,"AL"","2015","Daryl E Harms Irrevocable Trust for Emma E. Harms*","common","33079","3.31%","3047583"
"Alamerica BancCorp,"Inc."","Birmingham,"AL"","2015","Lawrence R. Tate","common","179078","17.91%","3047583"
"Alamerica BancCorp,"Inc."","Montgomery,"AL"","2015","Kenneth L. Thomas","common","120596","12.06%","3047583"
```
```csv
INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Alamerica BancCorp,"Inc."","Chairman of the Board of Directors","Donald V. Watkins","President","Donald V. Watkins,"PC"","2015","Entrepreneur","3047583"
"Alamerica BancCorp,"Inc."","Chairman of the Board of Directors","Donald V. Watkins","Owner","First Highland Group","2015","Entrepreneur","3047583"
"Alamerica BancCorp,"Inc."","Chairman of the Board of Directors","Donald V. Watkins","Owner","Second Highland Group","2015","Entrepreneur","3047583"
"Alamerica BancCorp,"Inc."","Chairman of the Board of Directors","Donald V. Watkins","Owner","Pencor Orange Corp.","2015","Entrepreneur","3047583"
"Alamerica BancCorp,"Inc."","Chairman of the Board of Directors","Donald V. Watkins","Manager","Pencor Masada Oxynol,"LLC"","2015","Entrepreneur","3047583"
"Alamerica BancCorp,"Inc."","Chairman of the Board of Directors","Donald V. Watkins","Owner","Vulcan Resources,"Inc."","2015","Entrepreneur","3047583"
"Alamerica BancCorp,"Inc."","Chairman of the Board of Directors","Donald V. Watkins","Owner","W.S. Aviation,"LLC"","2015","Entrepreneur","3047583"
"Alamerica BancCorp,"Inc."","Chairman of the Board of Directors","Donald V. Watkins","Manager","The Snell Group,"LLC"","2015","Entrepreneur","3047583"
"Alamerica BancCorp,"Inc."","Chairman of the Board of Directors","Donald V. Watkins","Manager","Masada Resources Group","2015","Entrepreneur","3047583"
"Alamerica BancCorp,"Inc."","Chairman of the Board of Directors","Donald V. Watkins","Manager","Masada Oxynol","2015","Entrepreneur","3047583"
"Alamerica BancCorp,"Inc."","Chairman of the Board of Directors","Donald V. Watkins","President","Controlled Environmental Systems Corp","2015","Entrepreneur","3047583"
"Alamerica BancCorp,"Inc."","Chairman of the Board of Directors","Donald V. Watkins","Owner","Watkins Aviation,"LLC"","2015","Entrepreneur","3047583"
"Alamerica BancCorp,"Inc."","Chairman of the Board of Directors","Donald V. Watkins","Member","Masada Clean Earth Solutions Asia,"LLC"","2015","Entrepreneur","3047583"
"Alamerica BancCorp,"Inc."","Chairman of the Board of Directors","Donald V. Watkins","Member","Masada Clean Earth Solutions South Africa,"LLC"","2015","Entrepreneur","3047583"
"Alamerica BancCorp,"Inc."","Chairman of the Board of Directors","Donald V. Watkins","Member","Masada Resource Group International,"LLC"","2015","Entrepreneur","3047583"
"Alamerica BancCorp,"Inc."","Chairman of the Board of Directors","Donald V. Watkins","Member","Masada Resource Grp Oxynol Solutions-Azores,"LLC"","2015","Entrepreneur","3047583"
"Alamerica BancCorp,"Inc."","Chairman of the Board of Directors","Donald V. Watkins","Member","Gibraltar Entertainment International,"LLC"","2015","Entrepreneur","3047583"
"Alamerica BancCorp,"Inc."","Chairman of the Board of Directors","Donald V. Watkins","Member","GDA Energy International,"LLC"","2015","Entrepreneur","3047583"
"Alamerica BancCorp,"Inc."","Director & President/CEO","Lawrence R. Tate","Director","Alamerica Bank","2015","n/a","3047583"
"Alamerica BancCorp,"Inc."","Director & President/CEO","Lawrence R. Tate","President/CEO","Alamerica Bank","2015","n/a","3047583"
"Alamerica BancCorp,"Inc."","Director & President/CEO","Lawrence R. Tate","Director","Alamerica Mortgage Corp.","2015","n/a","3047583"
"Alamerica BancCorp,"Inc."","Shareholder","Clarissa B. Harms","n/a","n/a","2015","Entrepreneur","3047583"
"Alamerica BancCorp,"Inc."","Director","Kenneth L. Thomas","Director","Alamerica Bank","2015","Attorney,"AL State University"","3047583"
"Alamerica BancCorp,"Inc."","Director","Mike C. Weaver","President","Alamerica Bank","2015","Consultant","3047583"
"Alamerica BancCorp,"Inc."","n/a","Matt Rockett","Director","Alamerica Bank","2015","n/a","3047583"
"Alamerica BancCorp,"Inc."","n/a","Matt Rockett","Managing Member","Chartwell Partners,"LLC"","2015","n/a","3047583"
"Alamerica BancCorp,"Inc."","Secretary/Treasurer","Kent McGriff","Director","Alamerica Bank","2015","n/a","3047583"
"Alamerica BancCorp,"Inc."","Secretary/Treasurer","Kent McGriff","Senior VP/CFO","Alamerica Bank","2015","n/a","3047583"
"Alamerica BancCorp,"Inc."","Secretary/Treasurer","Kent McGriff","Director,"CFO"","Alamerica Mortgage Corp.","2015","n/a","3047583"
```
