```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership"
"Alapaha Holding Company","Alapaha","2019","Marguerite J. Gaskins Trust","n/a","2200","6.33%"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year"
"Alapaha Holding Company","Director","Luther L Duke,"III"","Director","Adel Ice Company,"Inc. CEO; Hopeful Ice of South Georgia","Inc. CEO"","2019"
"Alapaha Holding Company","n/a","Cecil W Hill","Director/Consultant","n/a","2019"
"Alapaha Holding Company","President","Kenneth E Hughes","President and CEO","n/a","2019"
"Alapaha Holding Company","Director","Tommy Lee","Director","Lee Farm Supply,"LLC-Managing Member"","2019"
"Alapaha Holding Company","Director","Steve McMillan","Director","Berrien Peanut Co-CEO; Southern Grace Farms,"Inc. CEO Middle Branch","LLP CEO"","2019"
"Alapaha Holding Company","Director","C Dane Perkins","Director","Troutdale Corporation CEO","2019"
"Alapaha Holding Company","Director","Sylvia L Roberts","Director","Alapaha Station Celebration Inc CEO","2019"
"Alapaha Holding Company","Director","Daniel L Studstill","Director","Daniel L Studstill,"PC CEO Studstill Firm","LLP Member"","2019"
"Alapaha Holding Company","n/a","Erin B Watson","CFO-Bank","n/a","2019"
"Alapaha Holding Company","Director","Brian E Stone","Director","Adel Properties,"LLC CEO Stone's Development CEO Water's Edge Construction LLC Stone Ridge Rental","LLC Brian Stone Construction Inc"","2019"
```
