```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"American Bancorp,"Inc."","Byron,"GA"","2022","Michael Gilstrap","n/a","10000","0.5%","n/a"
"American Bancorp,"Inc."","Byron,"GA"","2022","Michael Gilstrap","n/a","4126","n/a","n/a"
"American Bancorp,"Inc."","Macon,"GA"","2022","Ajitkumar Patel","n/a","51666","2.4%","n/a"
"American Bancorp,"Inc."","Macon,"GA"","2022","Ajitkumar Patel","n/a","20629","n/a","n/a"
"American Bancorp,"Inc."","Macon,"GA"","2022","Dipesh Patel","n/a","41000","2.0%","n/a"
"American Bancorp,"Inc."","Macon,"GA"","2022","Dipesh Patel","n/a","19629","n/a","n/a"
"American Bancorp,"Inc."","Byron,"GA"","2022","Maneklal Patel","n/a","52500","2.4%","n/a"
"American Bancorp,"Inc."","Byron,"GA"","2022","Maneklal Patel","n/a","20629","n/a","n/a"
"American Bancorp,"Inc."","Macon,"GA"","2022","Rasikbhai Patel","n/a","54167","2.5%","n/a"
"American Bancorp,"Inc."","Macon,"GA"","2022","Rasikbhai Patel","n/a","20629","n/a","n/a"
"American Bancorp,"Inc."","Macon,"GA"","2022","John F. Hall","n/a","0","3.5%","n/a"
"American Bancorp,"Inc."","Macon,"GA"","2022","John F. Hall","n/a","104320","n/a","n/a"
"American Bancorp,"Inc."","Senoia,"GA"","2022","Rebecca P. Bell","n/a","0","0.8%","n/a"
"American Bancorp,"Inc."","Senoia,"GA"","2022","Rebecca P. Bell","n/a","25000","n/a","n/a"
"American Bancorp,"Inc."","Warner Robins,"GA"","2022","Andy Flowers","n/a","0","1.3%","n/a"
"American Bancorp,"Inc."","Warner Robins,"GA"","2022","Andy Flowers","n/a","40000","n/a","n/a"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"American Bancorp,"Inc."","Director & Vice-Chairman","Michael Gilstrap","n/a","n/a","2022","Retired","n/a"
"American Bancorp,"Inc."","Director","Ajitkumar Patel","n/a","Premier Hotel Group","2022","Hotel Owner","n/a"
"American Bancorp,"Inc."","Director","Ajitkumar Patel","n/a","Elite Hotel Management,"LLC"","2022","Hotel Owner","n/a"
"American Bancorp,"Inc."","Director","Ajitkumar Patel","n/a","FOCUS HOSPITALITY LLC","2022","Hotel Owner","n/a"
"American Bancorp,"Inc."","Director","Dipesh Patel","n/a","n/a","2022","Doctor","n/a"
"American Bancorp,"Inc."","Director","Maneklal Patel","n/a","n/a","2022","Hotel Owner","n/a"
"American Bancorp,"Inc."","Director","Rasikbhai Patel","n/a","n/a","2022","Hotel Owner","n/a"
"American Bancorp,"Inc."","Director","John F. Hall","n/a","n/a","2022","Bank director,"CEO","& President"","n/a"
"American Bancorp,"Inc."","Bank CFO","Rebecca P. Bell","n/a","n/a","2022","Bank CFO","n/a"
"American Bancorp,"Inc."","Bank COO","Andy Flowers","n/a","n/a","2022","Bank COO","n/a"
```
