```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"American Bancshares,"Inc."","Covington,"LA"","2016","Karen Smith Riecke","n/a","581240","25.23%","1104615"
"American Bancshares,"Inc."","Covington,"LA"","2016","Julian J,"Rodrigue","Jr."","n/a","770000","33.43%","1104615"
"American Bancshares,"Inc."","Covington,"LA"","2016","Edward T. Riecke","n/a","60544","2.63%","1104615"
"American Bancshares,"Inc."","Covington,"LA"","2016","Edward T. Riecke","n/a","157008","6.82%","1104615"
"American Bancshares,"Inc."","Covington,"LA"","2016","Riecke and Associates","n/a","223877","9.72%","1104615"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"American Bancshares,"Inc."","Chairman of the Bd","Edward T. Riecke","Owner or Partial Owner","Castine Pointe,"LLC"","2016","Banker,"Developer"","1104615"
"American Bancshares,"Inc."","Chairman of the Bd","Edward T. Riecke","Owner or Partial Owner","Abita River,"LLC"","2016","Banker,"Developer"","1104615"
"American Bancshares,"Inc."","Chairman of the Bd","Edward T. Riecke","Owner or Partial Owner","Cypress Group,"LLC"","2016","Banker,"Developer"","1104615"
"American Bancshares,"Inc."","Chairman of the Bd","Edward T. Riecke","Owner or Partial Owner","Dalrymple Development,"LLC"","2016","Banker,"Developer"","1104615"
"American Bancshares,"Inc."","Chairman of the Bd","Edward T. Riecke","Owner or Partial Owner","East Point Invest,"LLC"","2016","Banker,"Developer"","1104615"
"American Bancshares,"Inc."","Chairman of the Bd","Edward T. Riecke","Owner or Partial Owner","They Got Me Working LLC","2016","Banker,"Developer"","1104615"
"American Bancshares,"Inc."","Chairman of the Bd","Edward T. Riecke","Owner or Partial Owner","Manchac Equities,"LLC"","2016","Banker,"Developer"","1104615"
"American Bancshares,"Inc."","Chairman of the Bd","Edward T. Riecke","Owner or Partial Owner","ETR,"LLC"","2016","Banker,"Developer"","1104615"
"American Bancshares,"Inc."","Chairman of the Bd","Edward T. Riecke","Owner or Partial Owner","Jefferson Apts","2016","Banker,"Developer"","1104615"
"American Bancshares,"Inc."","Chairman of the Bd","Edward T. Riecke","Owner or Partial Owner","Riecke Mississippi Holdings,"LLC"","2016","Banker,"Developer"","1104615"
"American Bancshares,"Inc."","Chairman of the Bd","Edward T. Riecke","Owner or Partial Owner","Tammany Mall,"LLC"","2016","Banker,"Developer"","1104615"
"American Bancshares,"Inc."","Presdient/CEO","Stanley M. Dameron","n/a","n/a","2016","Banker","1104615"
"American Bancshares,"Inc."","Director","Paul J Mayronne","n/a","Airport North,"LLC"","2016","Attorney","1104615"
"American Bancshares,"Inc."","Director","Paul J Mayronne","n/a","Paul J. Mayronne,"LLC"","2016","Attorney","1104615"
"American Bancshares,"Inc."","Director","Paul J Mayronne","n/a","3G Ranch,"LLC"","2016","Attorney","1104615"
"American Bancshares,"Inc."","Director","Daniel H Edwards Sr","n/a","n/a","2016","n/a","1104615"
"American Bancshares,"Inc."","Director","Raymond R. Riecke","n/a","n/a","2016","Retired Businessman","1104615"
"American Bancshares,"Inc."","Director","Jared Caruso Riecke","Owner or Partial Owner","3368 LLC","2016","Developer/ Utility Co Exec","1104615"
"American Bancshares,"Inc."","Director","Jared Caruso Riecke","Owner or Partial Owner","Castine Pointe,"LLC"","2016","Developer/ Utility Co Exec","1104615"
"American Bancshares,"Inc."","Director","Jared Caruso Riecke","Owner or Partial Owner","Global Disaster Housing","2016","Developer/ Utility Co Exec","1104615"
"American Bancshares,"Inc."","Director","Jared Caruso Riecke","Owner or Partial Owner","Abita River,"LLC"","2016","Developer/ Utility Co Exec","1104615"
"American Bancshares,"Inc."","Director","Jared Caruso Riecke","Owner or Partial Owner","Cypress Group","2016","Developer/ Utility Co Exec","1104615"
"American Bancshares,"Inc."","Director","Jared Caruso Riecke","Owner or Partial Owner","GDH Intl","2016","Developer/ Utility Co Exec","1104615"
"American Bancshares,"Inc."","Director","Jared Caruso Riecke","Owner or Partial Owner","East Point Invest,"LLC"","2016","Developer/ Utility Co Exec","1104615"
"American Bancshares,"Inc."","Director","Jared Caruso Riecke","Owner or Partial Owner","RHD Development","2016","Developer/ Utility Co Exec","1104615"
"American Bancshares,"Inc."","Director","Jared Caruso Riecke","Owner or Partial Owner","Speedee Oil","2016","Developer/ Utility Co Exec","1104615"
"American Bancshares,"Inc."","Director","Jared Caruso Riecke","Owner or Partial Owner","Tammany Mall","2016","Developer/ Utility Co Exec","1104615"
"American Bancshares,"Inc."","Director","Jared Caruso Riecke","Owner or Partial Owner","Slidell Rentals,"LLC"","2016","Developer/ Utility Co Exec","1104615"
"American Bancshares,"Inc."","Director","Jared Caruso Riecke","Owner or Partial Owner","Ridge Road Development LLC","2016","Developer/ Utility Co Exec","1104615"
"American Bancshares,"Inc."","Director","Jared Caruso Riecke","Owner or Partial Owner","Healthcare Rentals II. LLC","2016","Developer/ Utility Co Exec","1104615"
"American Bancshares,"Inc."","Director","Jared Caruso Riecke","Owner or Partial Owner","Iron Construction LLC","2016","Developer/ Utility Co Exec","1104615"
"American Bancshares,"Inc."","Director","Jared Caruso Riecke","Owner or Partial Owner","Instruments & Holdings","2016","Developer/ Utility Co Exec","1104615"
"American Bancshares,"Inc."","Director","Jared Caruso Riecke","Owner or Partial Owner","Riecke Mississippi Holdings,"LLC"","2016","Developer/ Utility Co Exec","1104615"
"American Bancshares,"Inc."","Director","Jared Caruso Riecke","Owner or Partial Owner","R4Holdings,"LLC"","2016","Developer/ Utility Co Exec","1104615"
"American Bancshares,"Inc."","Director","Jared Caruso Riecke","Owner or Partial Owner","JD2 Industries","2016","Developer/ Utility Co Exec","1104615"
"American Bancshares,"Inc."","Director","Jared Caruso Riecke","Owner or Partial Owner","Palm Plaza,"LLC"","2016","Developer/ Utility Co Exec","1104615"
"American Bancshares,"Inc."","Director","Jared Caruso Riecke","Owner or Partial Owner","Riecke & assoc,"LLC"","2016","Developer/ Utility Co Exec","1104615"
"American Bancshares,"Inc."","Director","Jared Caruso Riecke","Owner or Partial Owner","Prancing Horse Holdings","2016","Developer/ Utility Co Exec","1104615"
"American Bancshares,"Inc."","Director","Jared Caruso Riecke","Owner or Partial Owner","Riecke Development and Construction,"LLC"","2016","Developer/ Utility Co Exec","1104615"
"American Bancshares,"Inc."","Director","Jared Caruso Riecke","Owner or Partial Owner","Tangipahoa Equities,"LLC"","2016","Developer/ Utility Co Exec","1104615"
"American Bancshares,"Inc."","Director","Jared Caruso Riecke","Owner or Partial Owner","Rothchild Center","2016","Developer/ Utility Co Exec","1104615"
"American Bancshares,"Inc."","Director","Jared Caruso Riecke","Owner or Partial Owner","Jefferson Place Apts","2016","Developer/ Utility Co Exec","1104615"
"American Bancshares,"Inc."","Director","Jared Caruso Riecke","Owner or Partial Owner","Team Riecke","2016","Developer/ Utility Co Exec","1104615"
"American Bancshares,"Inc."","Director","Donald D. Durr","n/a","n/a","2016","Retired Military","1104615"
"American Bancshares,"Inc."","Director","Darrell,"Smith"","Owner","Darrell Smith ManagemenCompany","2016","Developer","1104615"
"American Bancshares,"Inc."","Director","Dan Robin","self-employed","n/a","2016","Consultant","1104615"
"American Bancshares,"Inc."","Director","Franklin Kyle","Partial Owner","Kyle and Associates","2016","Engineer,"Business Owner"","1104615"
"American Bancshares,"Inc."","Director","Franklin Kyle","Partial Owner","Kyle Holdings","2016","Engineer,"Business Owner"","1104615"
"American Bancshares,"Inc."","n/a","Karen S Riecke","Trustee","Karen S Riecke Inter Vivos Trust","2016","Housewife","1104615"
"American Bancshares,"Inc."","n/a","Julian J. Rodrique,"Jr"","n/a","n/a","2016","Attorney","1104615"
