```text
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Ameris Bancorp","New York,"NY"","2022","BlackRock,"Inc"","Common Stock","10164637","14.65%","n/a"
"Ameris Bancorp","Malvern,"PA"","2022","The Vanguard Group","Common Stock","7418038","10.69%","n/a"
"Ameris Bancorp","Boston,"MA"","2022","Wellington Management Group LLP","Common Stock","6102333","8.80%","n/a"
"Ameris Bancorp","Austin,"TX"","2022","Dimensional Fund Advisors LP","Common Stock","3845042","5.54%","n/a"
"Ameris Bancorp","Boston,"MA"","2022","State Street Global Advisors","Common Stock","3897720","5.61%","n/a"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Ameris Bancorp","Director","William I. Bowen,"Jr."","Director","Ameris Bank","2022","Owner,"Partner","and President of Bowen Donaldson Home for Funerals"","n/a"
"Ameris Bancorp","Director","William I. Bowen,"Jr."","Owner,"Partner","and President"","Bowen Donaldson Home for Funerals","2022","Owner,"Partner","and President of Bowen Donaldson Home for Funerals"","n/a"
"Ameris Bancorp","Director","William I. Bowen,"Jr."","Managing Partner","Bowen Farming Enterprises,"LLC"","2022","Owner,"Partner","and President of Bowen Donaldson Home for Funerals"","n/a"
"Ameris Bancorp","Director","William I. Bowen,"Jr."","Managing Partner","Bowen Land and Timber,"LLC"","2022","Owner,"Partner","and President of Bowen Donaldson Home for Funerals"","n/a"
"Ameris Bancorp","Director","William I. Bowen,"Jr."","Managing Partner","Fulwood Family Partnership","2022","Owner,"Partner","and President of Bowen Donaldson Home for Funerals"","n/a"
"Ameris Bancorp","Director","William I. Bowen,"Jr."","Managing Partner","BT Family Partnership","2022","Owner,"Partner","and President of Bowen Donaldson Home for Funerals"","n/a"
"Ameris Bancorp","Director","William I. Bowen,"Jr."","Managing Partner","W. Bowen Management Company,"Inc."","2022","Owner,"Partner","and President of Bowen Donaldson Home for Funerals"","n/a"
"Ameris Bancorp","Director","Rodney D. Bullard","CEO","The Same House","2022","CEO of The Same House","n/a"
"Ameris Bancorp","Director","Wm. Millard Choate","Chairman","Choate Construction Company","2022","Founder and Chairman of Choate Construction Company","n/a"
"Ameris Bancorp","Director","Wm. Millard Choate","Managing Member","Newcastle Properties,"LLC"","2022","Founder and Chairman of Choate Construction Company","n/a"
"Ameris Bancorp","Director","Wm. Millard Choate","Managing Member","Newcastle Properties Canton,"LLC"","2022","Founder and Chairman of Choate Construction Company","n/a"
"Ameris Bancorp","Director","Wm. Millard Choate","Managing Member","JM Investors,"LLC"","2022","Founder and Chairman of Choate Construction Company","n/a"
"Ameris Bancorp","Director","Wm. Millard Choate","Member","PP Gaston Mall,"LLC"","2022","Founder and Chairman of Choate Construction Company","n/a"
"Ameris Bancorp","Director","Wm. Millard Choate","Member","Newcastle PDP Hotels LLC","2022","Founder and Chairman of Choate Construction Company","n/a"
"Ameris Bancorp","Director","Wm. Millard Choate","Member","NC Alt UAS LLC","2022","Founder and Chairman of Choate Construction Company","n/a"
"Ameris Bancorp","Director","Wm. Millard Choate","Managing Member","Newcastle Investment Fund,"LLC"","2022","Founder and Chairman of Choate Construction Company","n/a"
"Ameris Bancorp","Director","Wm. Millard Choate","Managing Member","ROI Fund,"Inc."","2022","Founder and Chairman of Choate Construction Company","n/a"
"Ameris Bancorp","Director","Wm. Millard Choate","Managing Member","Newcastle Debt Fund,"LLC"","2022","Founder and Chairman of Choate Construction Company","n/a"
"Ameris Bancorp","Director","Wm. Millard Choate","Managing Member","Newcastle Alternative Investment Fund,"LLC"","2022","Founder and Chairman of Choate Construction Company","n/a"
"Ameris Bancorp","Director","Wm. Millard Choate","Managing Member","Newcastle Land Crossville,"LLC"","2022","Founder and Chairman of Choate Construction Company","n/a"
"Ameris Bancorp","Director","Wm. Millard Choate","President","Tripoli Management,"Inc."","2022","Founder and Chairman of Choate Construction Company","n/a"
"Ameris Bancorp","Director","Wm. Millard Choate","Managing Member","NC Broadway LLC","2022","Founder and Chairman of Choate Construction Company","n/a"
"Ameris Bancorp","Director","R. Dale Ezzell","Director","Ameris Bank","2022","Owner of Wisecards Printing and Mailing","n/a"
"Ameris Bancorp","Director","R. Dale Ezzell","Owner","Wisecards Printing and Mailing","2022","Owner of Wisecards Printing and Mailing","n/a"
"Ameris Bancorp","Lead Independent Director","Leo J. Hill","Lead Independent Director","Transamerica Mutual Funds","2022","Owner of Advisor Network Solutions,"LLC"","n/a"
"Ameris Bancorp","Lead Independent Director","Leo J. Hill","Owner","Advisor Network Solutions,"LLC"","2022","Owner of Advisor Network Solutions,"LLC"","n/a"
"Ameris Bancorp","Director","Daniel B. Jeter","Director","Ameris Bank","2022","Chairman and Co-owner of Standard Discount Corporation","n/a"
"Ameris Bancorp","Director","Daniel B. Jeter","Chairman and co-owner","Standard Discount Corporation","2022","Chairman and Co-owner of Standard Discount Corporation","n/a"
"Ameris Bancorp","Director","Robert P. Lynch","Co-owner,"VP","and CFO"","Lynch Management Company","2022","Co-owner of Lynch Management Company","n/a"
"Ameris Bancorp","Director","Elizabeth A. McCague","CFO","Jacksonville Port Authority","2022","CFO of Jacksonville Port Authority; Owner of McCague & Company,"LLC"","n/a"
"Ameris Bancorp","Director","Elizabeth A. McCague","Owner","McCague & Company,"LLC"","2022","CFO of Jacksonville Port Authority; Owner of McCague & Company,"LLC"","n/a"
"Ameris Bancorp","Chairman","James B. Miller Jr.","Director","American Software Inc.","2022","None","n/a"
"Ameris Bancorp","Chairman","James B. Miller Jr.","Managing Member","Trinity Apex LLC","2022","None","n/a"
"Ameris Bancorp","Chairman","James B. Miller Jr.","Managing Member","Trinity Finance LLC","2022","None","n/a"
"Ameris Bancorp","Chairman","James B. Miller Jr.","Managing Member","Prescott Capital LLC","2022","None","n/a"
"Ameris Bancorp","Chairman","James B. Miller Jr.","Managing Member","Hegemon Holdings,"LLC"","2022","None","n/a"
"Ameris Bancorp","Chairman","James B. Miller Jr.","Managing Member","Berlin American Company","2022","None","n/a"
"Ameris Bancorp","Chairman","James B. Miller Jr.","Trustee","Karina L. Miller Trust UW","2022","None","n/a"
"Ameris Bancorp","Chairman","James B. Miller Jr.","Chairman","Prescott Miller Foundation","2022","None","n/a"
"Ameris Bancorp","Chairman","James B. Miller Jr.","Board of Advisors","State Botanical Garden of GA","2022","None","n/a"
"Ameris Bancorp","Chairman","James B. Miller Jr.","Board of Advisors","Vanderbilt Law National Council","2022","None","n/a"
"Ameris Bancorp","Chairman","James B. Miller Jr.","Board Member","Atlanta USO","2022","None","n/a"
"Ameris Bancorp","Chairman","James B. Miller Jr.","Board Member","Atlanta Opera","2022","None","n/a"
"Ameris Bancorp","Chairman","James B. Miller Jr.","Director","Buckhead Coalition","2022","None","n/a"
"Ameris Bancorp","Director","Gloria A. O'Neal","n/a","n/a","2022","Community Leader","n/a"
"Ameris Bancorp","Director","William H. Stern","President & CEO","Stern Development","2022","President & CEO Stern Development","n/a"
"Ameris Bancorp","Director","William H. Stern","Chairman of the Board","South Carolina Ports Authority","2022","President & CEO Stern Development","n/a"
"Ameris Bancorp","Director","Jimmy D. Veal","Co-owner and consultant","Beachview Tent Rentals,"Inc."","2022","Co-owner of Beachview Tent Rentals,"Inc."","n/a"
"Ameris Bancorp","Director and Chief Executive Officer","H. Palmer Procter,"Jr."","Managing Partner","Brevard Holdings,"LLC"","2022","None","n/a"
"Ameris Bancorp","Director and Chief Executive Officer","H. Palmer Procter,"Jr."","Managing Partner","Rushing Brook Properties","2022","None","n/a"
"Ameris Bancorp","Director and Chief Executive Officer","H. Palmer Procter,"Jr."","Managing Partner","NIKNUD,"LLC"","2022","None","n/a"
"Ameris Bancorp","Corp. Executive Vice President and Chief Banking Officer","Lawton E. Bassett,"III"","n/a","n/a","2022","None","n/a"
"Ameris Bancorp","Corp. Executive Vice President and Chief Innovation Officer","Ross L. Creasy","n/a","n/a","2022","None","n/a"
"Ameris Bancorp","Corp. Executive Vice President and Chief Credit Officer","Jon S. Edwards","n/a","n/a","2022","None","n/a"
"Ameris Bancorp","Corp. Executive Vice President and Chief Strategy Officer","James A. LaHaise","n/a","n/a","2022","None","n/a"
"Ameris Bancorp","Corp. Executive Vice President and Chief Risk Officer","William D. McKendry","n/a","n/a","2022","None","n/a"
"Ameris Bancorp","Corp. Executive Vice President and Chief Governance Officer,"Corporate Secretary"","Michael T. Pierson","Executive Director","Ameris Bank Foundation Inc.","2022","None","n/a"
"Ameris Bancorp","Corp. Executive Vice President and Chief Legal Officer","Jody L. Spencer","n/a","n/a","2022","None","n/a"
"Ameris Bancorp","Corp. Executive Vice President and Chief Financial Officer","Nicole S. Stokes","n/a","n/a","2022","None","n/a"
```
