```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Andrew Johnson Bancshares","Greeneville,"USA"","2019","Brandon Hull","n/a","115602","30.89%","n/a"
"Andrew Johnson Bancshares","Knoxville,"USA"","2019","Leslie Hull","n/a","64294","17.18%","n/a"
"Andrew Johnson Bancshares","Greeneville,"USA"","2019","SW Marsh","n/a","36080","9.64%","n/a"
"Andrew Johnson Bancshares","n/a","2019","James W. Hickerson Sr.","n/a","20000","5.34%","n/a"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Andrew Johnson Bancshares","Director","Sharon L. Folk","President/CEO-Andrew Johnson Golf Club","Andrew Johnson Golf Club,"Inc."","2019","Golf course owner","n/a"
"Andrew Johnson Bancshares","Director","Sharon L. Folk","President/CEO-SF Enterprises","SF Enterprises,"Inc."","2019","Golf course owner","n/a"
"Andrew Johnson Bancshares","Director","Joel Hice","n/a","n/a","2019","n/a","n/a"
"Andrew Johnson Bancshares","Director","James W. Hickerson,"Sr."","n/a","n/a","2019","n/a","n/a"
"Andrew Johnson Bancshares","Director","Paige Hull","Partner-Caroline Grace,"LLC"","Caroline Grace,"LLC"","2019","Inactive CPA","n/a"
"Andrew Johnson Bancshares","Director","Christopher Marsh","President-Marsh LP Gas Co.","Interstate Petroleum Company,"Inc."","2019","Gasoline/LP distributor","n/a"
"Andrew Johnson Bancshares","Director","Christopher Marsh","President-Marsh LP Gas Co.","Marsco LLC","2019","Gasoline/LP distributor","n/a"
"Andrew Johnson Bancshares","Director","Christopher Marsh","President-Marsh LP Gas Co.","Marsh LP Gas Co.,"Inc."","2019","Gasoline/LP distributor","n/a"
"Andrew Johnson Bancshares","Director","Christopher Marsh","President-Marsh LP Gas Co.","Marsh LP Gas Co.,"Inc. of Kingsport LLC"","2019","Gasoline/LP distributor","n/a"
"Andrew Johnson Bancshares","Director","Christopher Marsh","President-Marsh LP Gas Co.","Marsh Properties LLC","2019","Gasoline/LP distributor","n/a"
"Andrew Johnson Bancshares","Director","Christopher Marsh","President-Marsh LP Gas Co.","Marsh LP Gas Co. of Virginia,"Inc."","2019","Gasoline/LP distributor","n/a"
"Andrew Johnson Bancshares","Director","Christopher Marsh","President-Marsh LP Gas Co.","Check 1st.","2019","Gasoline/LP distributor","n/a"
"Andrew Johnson Bancshares","Director","Mark R. Williams","Broker-Century 21","n/a","2019","Real estate agent","n/a"
"Andrew Johnson Bancshares","Director","Mark R. Williams","Owner Mark Williams Rentals","n/a","2019","Real estate agent","n/a"
"Andrew Johnson Bancshares","Director","Leslie Hull","Partner Greeneville Office Building","Greeneville Office Building","2019","Attorney","n/a"
"Andrew Johnson Bancshares","n/a","Brandon Hull","President-Greeneville Federal Bank","Caroline Grace,"LLC"","2019","Banking","n/a"
"Andrew Johnson Bancshares","n/a","Brandon Hull","President-Greeneville Federal Bank","Leonard & Hull,"LLC"","2019","Banking","n/a"
"Andrew Johnson Bancshares","n/a","Brandon Hull","President-Greeneville Federal Bank","Hull & Shaw","2019","Banking","n/a"
"Andrew Johnson Bancshares","n/a","Brandon Hull","President-Greeneville Federal Bank","Greeneville Rental Station,"LLC"","2019","Banking","n/a"
"Andrew Johnson Bancshares","n/a","Brandon Hull","President-Greeneville Federal Bank","AAA Used Cars,"LLC"","2019","Banking","n/a"
"Andrew Johnson Bancshares","n/a","Brandon Hull","President-Greeneville Federal Bank","RTCH Partnership","2019","Banking","n/a"
"Andrew Johnson Bancshares","n/a","Brandon Hull","President-Greeneville Federal Bank","FDA Developments","2019","Banking","n/a"
"Andrew Johnson Bancshares","n/a","Brandon Hull","President-Greeneville Federal Bank","HMS Partnership","2019","Banking","n/a"
"Andrew Johnson Bancshares","n/a","Brandon Hull","President-Greeneville Federal Bank","HHJ Partnership","2019","Banking","n/a"
"Andrew Johnson Bancshares","n/a","Brandon Hull","President-Greeneville Federal Bank","THW Properties","2019","Banking","n/a"
"Andrew Johnson Bancshares","n/a","Brandon Hull","President-Greeneville Federal Bank","ACTH Properties","2019","Banking","n/a"
"Andrew Johnson Bancshares","n/a","Brandon Hull","President-Greeneville Federal Bank","Greeneville Office Building","2019","Banking","n/a"
"Andrew Johnson Bancshares","Director","Denise Terry","Partner The Terry Law Firm","The Terry Law Firm","2019","Attorney","n/a"
"Andrew Johnson Bancshares","Director","Denise Terry","Partner The Terry Law Firm","Terry Brothers & One","2019","Attorney","n/a"
"Andrew Johnson Bancshares","Director","Denise Terry","Partner The Terry Law Firm","Seascape Partners","2019","Attorney","n/a"
"Andrew Johnson Bancshares","Director","Denise Terry","Partner The Terry Law Firm","BCD Partners","2019","Attorney","n/a"
"Andrew Johnson Bancshares","Director","Denise Terry","Partner The Terry Law Firm","HT Properties","2019","Attorney","n/a"
```
