```text
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Apollo Bancshares,"Inc."","Panama City,"Panama"","2020","Carlos and Alberto Motta","Shares","290910","7.15%","n/a"
"Apollo Bancshares,"Inc."","Miami,"Florida"","2020","Eduardo Arriola and Family","Shares","209455","7.27%","n/a"
"Apollo Bancshares,"Inc."","Miami,"Florida"","2020","Eduardo Arriola and Family","Options (shares)","77650","7.27%","n/a"
"Apollo Bancshares,"Inc."","Miami,"Florida"","2020","Eduardo Arriola and Family","Warrants (shares)","9000","7.27%","n/a"
"Apollo Bancshares,"Inc."","Boca Raton,"Florida"","2020","Nicholas Di Tempora","Shares","219000","5.71%","n/a"
"Apollo Bancshares,"Inc."","Boca Raton,"Florida"","2020","Nicholas Di Tempora","Options (shares)","13649","5.71%","n/a"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Apollo Bancshares,"Inc."","Director & Chairman,"Chairman & CEO"","Eduardo Arriola","Director","Inktel Direct Corporation","2020","Chairman & CEO Apollo Bank","n/a"
"Apollo Bancshares,"Inc."","Director & Secretary","Richard Dailey","Partner","Dade Systems,"LLP"","2020","n/a","n/a"
"Apollo Bancshares,"Inc."","Director,"Director"","Matthew Adler","Managing Member & President","AREP Manager,"LLC"","2020","Founder & Managing Principal Adler Real Estate Partners,"LLC"","n/a"
"Apollo Bancshares,"Inc."","Director,"Director"","Matthew Adler","Managing Member & President","Adler International Manager,"LLC"","2020","Founder & Managing Principal Adler Real Estate Partners,"LLC"","n/a"
"Apollo Bancshares,"Inc."","Director,"Director"","Matthew Adler","Managing Member & President","EJA Management,"LLC"","2020","Founder & Managing Principal Adler Real Estate Partners,"LLC"","n/a"
"Apollo Bancshares,"Inc."","Director,"Director"","Matthew Adler","Managing Member & President","Adler International III Manager,"LLC"","2020","Founder & Managing Principal Adler Real Estate Partners,"LLC"","n/a"
"Apollo Bancshares,"Inc."","Director,"Director"","Matthew Adler","Managing Member & President","Cardinal Park Holding Manager,"LLC"","2020","Founder & Managing Principal Adler Real Estate Partners,"LLC"","n/a"
"Apollo Bancshares,"Inc."","Director,"Director"","Matthew Adler","Managing Member & President","SF Light Industrial Manager,"LLC"","2020","Founder & Managing Principal Adler Real Estate Partners,"LLC"","n/a"
"Apollo Bancshares,"Inc."","Director,"Director"","Matthew Adler","Managing Member & President","Adler Kawa LH Intnl Manager,"LLC"","2020","Founder & Managing Principal Adler Real Estate Partners,"LLC"","n/a"
"Apollo Bancshares,"Inc."","Director,"Director"","Matthew Adler","Managing Member & President","AREP 2 Manager,"LLC"","2020","Founder & Managing Principal Adler Real Estate Partners,"LLC"","n/a"
