```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Bainbridge Bancshares,"Inc."","Bainbridge,"GA"","2023","William R. Cox,"Sr."","n/a","123824","12.456%","n/a"
"Bainbridge Bancshares,"Inc."","Bainbridge,"GA"","2023","Winston Brock","n/a","70541","7.096%","n/a"
"Bainbridge Bancshares,"Inc."","Bainbridge,"GA"","2023","Greg Calhoun","n/a","56875","5.721%","n/a"
"Bainbridge Bancshares,"Inc."","Bainbridge,"GA"","2023","Terril Scott","n/a","56250","5.658%","n/a"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"First National Bank","Director,"Chairman","& Treasurer"","Charles Whittaker","Partner","Dowdy & Whittaker CPA","2023","Retired CPA","n/a"
"First National Bank","Director,"Chairman","& Treasurer"","Charles Whittaker","Chairman & CFO","Southwind Pest & Termite,"LLC"","2023","Retired CPA","n/a"
"First National Bank","Director,"Chairman","& Treasurer"","Charles Whittaker","Secretary/Treas.","Satyr,"Inc."","2023","Retired CPA","n/a"
"First National Bank","Director & Secretary","Roger Mills","President","Roger L. Mills,"DMD"","2023","Orthodontist","n/a"
"First National Bank","Director","Winston Brock Jr.","Owner","RX Drugs,"Inc."","2023","Pharmacist","n/a"
"First National Bank","Director","Edgar M. Robinson","President","Peoples Loan Service,"Inc."","2023","President","n/a"
"First National Bank","Director","Landin Marzolf","President","L&K Chiropractic Services,"LLC"","2023","Chiropractor","n/a"
"First National Bank","Director","Landin Marzolf","Partner","SAGL Medical Group","2023","Chiropractor","n/a"
"First National Bank","Director","Greg Calhoun","President","Circle C Farms","2023","Farmer","n/a"
"First National Bank","Director","Greg Calhoun","President","GC Sprayer Ser. Inc.","2023","Farmer","n/a"
"First National Bank","Director","Greg Calhoun","President","GC Housing,"Inc"","2023","Farmer","n/a"
"First National Bank","Director","Greg Calhoun","President","GC Peanut CO. LLC","2023","Farmer","n/a"
"First National Bank","Director","Greg Calhoun","Board Member","American Peanut Growers","2023","Farmer","n/a"
"First National Bank","Director","Greg Calhoun","Board Member","Miller Co. Gin","2023","Farmer","n/a"
"First National Bank","Director","Glennie Bench","Managing Member","Total Petroleum,"LLC"","2023","President & COO of Southwest Georgia Oil Company,"Inc."","n/a"
"First National Bank","Director","Donald Barber","Manger","Barber Fertilizer Supply","2023","Manager - Fertilizer Plant","n/a"
"First National Bank","Director","Donald Barber","Director","SOWEGA Cotton","2023","Manager - Fertilizer Plant","n/a"
"First National Bank","CFO & Secretary","Donna Kelley","Director","Hospital Authority Board","2023","n/a","n/a"
"First National Bank","CEO/President & Director","Brad E. Barber","CEO/Presiden","n/a","2023","CEO/President","n/a"
"First National Bank","None","William R. Cox Sr.","President","WRC Enterprises,"LLC"","2023","Retired Funeral Home Director","n/a"
"First National Bank","None","William R. Cox Sr.","President","Richmond Hill Funeral Home,"Inc."","2023","Retired Funeral Home Director","n/a"
"First National Bank","None","William R. Cox Sr.","Vice President","Vining Ivy Hill Chapel,"Inc."","2023","Retired Funeral Home Director","n/a"
"First National Bank","Director","Tim Smith","President/CEO","Tim Smith & Associates,"Inc."","2023","Insurance","n/a"
"First National Bank","Director","Tim Smith","President/CEO","Tim Smith Properties,"Inc."","2023","Insurance","n/a"
"First National Bank","Director","Tim Smith","President/CEO","Southwind Plantation","2023","Insurance","n/a"
"First National Bank","Director","Tim Smith","President/ CEO","SP Acquisition Group,"Inc"","2023","Insurance","n/a"
"First National Bank","Director","Tim Smith","President/CEO","Southern Transportation Finance,"LLC"","2023","Insurance","n/a"
"First National Bank","Director","Tim Smith","President/CEO","Southwind Pest & Termite","2023","Insurance","n/a"
"First National Bank","Director","Tim Smith","President/CEO","Southern Managers Financial Investors,"LLC"","2023","Insurance","n/a"
"First National Bank","Director","Tim Smith","Vice President","Southwind Pest & Termite","2023","Insurance","n/a"
"First National Bank","Director","Tim Smith","President/ CEO","Southern Managers Financial Investors,"LLC"","2023","Insurance","n/a"
"First National Bank","Director","Tim Smith","President/CEO","Southern Transportation Finance,"LLC"","2023","Insurance","n/a"
"First National Bank","Director","Tim Smith","President","Southern Equity Investors,"LLC"","2023","Insurance","n/a"
"First National Bank","Director","Tim Smith","President","Southern Equity Investors II,"LLC"","2023","Insurance","n/a"
"First National Bank","Director","Tim Smith","President","SP Distribution Group,"LLC"","2023","Insurance","n/a"
"First National Bank","Director","Tim Smith","President","SP Distribution Group II,"LLC"","2023","Insurance","n/a"
"First National Bank","Director","Tim Smith","President","Spritzit,"LLC"","2023","Insurance","n/a"
"First National Bank","Director","Tim Smith","President","Southern Transportation Finance,"Inc."","2023","Insurance","n/a"
```
