```text
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"BancIndependent","Leighton,"AL"","2021","CLAUDE EDWARD FELTON","n/a","11400","6.54%","n/a"
"BancIndependent","Sheffield,"AL"","2021","MPEFM II LIMITED PARTNERSHIP","n/a","71805","41.17%","n/a"
"BancIndependent","Florence,"AL"","2021","LEONARD PREUIT MAULDIN","n/a","14500","8.31%","n/a"
"BancIndependent","Florence,"AL"","2021","MACKE BUCHANAN MAULDIN","n/a","9810","5.62%","n/a"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"BancIndependent","CHAIRMAN AND DIRECTOR","EDWARD FENNEL MAULDIN,"JR"","n/a","MPEFM II,"LP"","2021","BANKER","539032"
"BancIndependent","CHAIRMAN AND DIRECTOR","EDWARD FENNEL MAULDIN,"JR"","n/a","MPEEM,"LP"","2021","BANKER","539032"
"BancIndependent","CHAIRMAN AND DIRECTOR","EDWARD FENNEL MAULDIN,"JR"","n/a","MPEFM,"INC."","2021","BANKER","539032"
"BancIndependent","CEO OF BANCINDEPENDENT,"INC/PRESIDENT & DIRECTOR"","MACKE B. MAULDIN","n/a","MPEFM II,"LP"","2021","BANKER","539032"
"BancIndependent","CEO OF BANCINDEPENDENT,"INC/PRESIDENT & DIRECTOR"","MACKE B. MAULDIN","n/a","MPEEM,"LP"","2021","BANKER","539032"
"BancIndependent","CEO OF BANCINDEPENDENT,"INC/PRESIDENT & DIRECTOR"","MACKE B. MAULDIN","n/a","MPEFM,"INC."","2021","BANKER","539032"
"BancIndependent","DIRECTOR","RONNIE FLIPPO","PRESIDENT","R.G. FLIPPO & ASSOCIATES","2021","RETIRED CONSULTANT","539032"
"BancIndependent","EXECUTIVE VICE PRESIDENT & DIRECTOR","LEONARD PREUIT MAULDIN","n/a","MPEFM II LP","2021","BANKER","539032"
"BancIndependent","EXECUTIVE VICE PRESIDENT & DIRECTOR","LEONARD PREUIT MAULDIN","n/a","MPEEM,"LP"","2021","BANKER","539032"
"BancIndependent","EXECUTIVE VICE PRESIDENT & DIRECTOR","LEONARD PREUIT MAULDIN","n/a","MPEFM,"INC."","2021","BANKER","539032"
"BancIndependent","CEO OF BANK INDEPENDENT CFO/DIRECTOR","RICHARD WARDLAW","n/a","n/a","2021","BANKER","539032"
"BancIndependent","DIRECTOR","DON MILLER","n/a","n/a","2021","RETIRED BANKER","539032"
"BancIndependent","DIRECTOR","JOANNE BECK","n/a","n/a","2021","RETIRED BANKER","539032"
"BancIndependent","DIRECTOR","ALLAN NEILL","PRESIDENT","BIG RIVER TOWERS,"INC."","2021","BUSINESSMAN","539032"
"BancIndependent","DIRECTOR","ALLAN NEILL","PRESIDENT","ALLAN NEILL PROPERTIES,"INC."","2021","BUSINESSMAN","539032"
"BancIndependent","DIRECTOR","ALLAN NEILL","PRESIDENT","A&H AIRCRAFT SALES,"INC."","2021","BUSINESSMAN","539032"
"BancIndependent","DIRECTOR","ALLAN NEILL","GENERAL PARTNER","NEILL LIMITED PARTNERSHIP","2021","BUSINESSMAN","539032"
"BancIndependent","DIRECTOR","ALLAN NEILL","SECRETARY","A&D HOLDINGS,"INC."","2021","BUSINESSMAN","539032"
"BancIndependent","DIRECTOR","PAUL WALLACE","n/a","PLW1,"LLC"","2021","BUSINESSMAN","539032"
"BancIndependent","DIRECTOR","PAUL WALLACE","n/a","PLW2,"LLC"","2021","BUSINESSMAN","539032"
"BancIndependent","DIRECTOR","PAUL WALLACE","n/a","WALLACE HOLDINGS,"LLC"","2021","BUSINESSMAN","539032"
"BancIndependent","DIRECTOR","PAUL WALLACE","n/a","THE WOODLANDS APARTMENT TOWNHOMES,"LLC"","2021","BUSINESSMAN","539032"
"BancIndependent","DIRECTOR","VANESSA MORSE","n/a","SAGE DEVELOPMENT FUND","2021","BUSINESSWOMAN","539032"
"BancIndependent","DIRECTOR","VANESSA MORSE","n/a","FALL CREEK INVESTMENT FUND","2021","BUSINESSWOMAN","539032"
"BancIndependent","DIRECTOR","VANESSA MORSE","n/a","TMF,"LLC"","2021","BUSINESSWOMAN","539032"
"BancIndependent","DIRECTOR","LUCY TROUSDALE","n/a","HONEYSUCKLE HILL FARM,"LP"","2021","BUSINESSWOMAN","539032"
"BancIndependent","EXECUTIVE VICE PRESIDENT","PENNY CAMP","n/a","n/a","2021","BANKER","539032"
```
