```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Bank of Central Florida Holding Company","Lakeland,"FI"","2016","Wesley L. Beck","Common Stock","148533","5%","n/a"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Bank of Central Florida Holding Company","Director","Howard D. Bayless","President","Marcobay Construction,"Inc."","2016","Builder","n/a"
"Bank of Central Florida Holding Company","Director","Howard D. Bayless","President","Marcobay Properties,"Inc."","2016","Builder","n/a"
"Bank of Central Florida Holding Company","Director","Howard D. Bayless","Member","Edgewood Partners,"LLC"","2016","Builder","n/a"
"Bank of Central Florida Holding Company","Director","Howard D. Bayless","Managing Member","Tiger Contracting,"LLC"","2016","Builder","n/a"
"Bank of Central Florida Holding Company","Director","Howard D. Bayless","Member","OMS Staff Solutions,"LLC"","2016","Builder","n/a"
"Bank of Central Florida Holding Company","Director","Howard D. Bayless","Managing Member","Tiger Holdings,"LLC"","2016","Builder","n/a"
"Bank of Central Florida Holding Company","Director","Wesley L. Beck","President","BecKryger Capital Partners","2016","Investor","n/a"
"Bank of Central Florida Holding Company","Director","Wesley L. Beck","Partner","Beckryger Capital Partners LLLP","2016","Investor","n/a"
"Bank of Central Florida Holding Company","Director","Wesley L. Beck","Partner","Lakeland Cold Storage LLLP","2016","Investor","n/a"
"Bank of Central Florida Holding Company","Director","Wesley L. Beck","Partner","Beverage Resources LLC","2016","Investor","n/a"
"Bank of Central Florida Holding Company","Director","Wesley L. Beck","Partner","ATEM Partnership LTD","2016","Investor","n/a"
"Bank of Central Florida Holding Company","Director","Wesley L. Beck","Partner","ATEM Holdings","2016","Investor","n/a"
"Bank of Central Florida Holding Company","Director","Wesley L. Beck","Shareholder","Aspyre Aviation LLC","2016","Investor","n/a"
"Bank of Central Florida Holding Company","Director","Wesley L. Beck","Shareholder","Qgiv LLC","2016","Investor","n/a"
"Bank of Central Florida Holding Company","Director","Virginia C. Harris","President","Harris & Wright,"P.A."","2016","Certified Public Accountant","n/a"
"Bank of Central Florida Holding Company","Director","David D. Henderson","Member","Henderson Properties","2016","Real Estate","n/a"
"Bank of Central Florida Holding Company","Director","David D. Henderson","Member","Thonotosassa Crossing,"LLC"","2016","Real Estate","n/a"
"Bank of Central Florida Holding Company","Director","M. Clayton Hollis,"Jr."","President","Hollis Family Partnership","2016","Retired Executive","n/a"
"Bank of Central Florida Holding Company","Director","M. Clayton Hollis,"Jr."","President","Hollis & Sons,"Inc"","2016","Retired Executive","n/a"
"Bank of Central Florida Holding Company","Director","M. Clayton Hollis,"Jr."","Retired Executive","Publix Super Markets","2016","Retired Executive","n/a"
"Bank of Central Florida Holding Company","Director","M. Clayton Hollis,"Jr."","General Manager","CCJ Longboat","2016","Retired Executive","n/a"
"Bank of Central Florida Holding Company","Director","M. Clayton Hollis,"Jr."","General Manager","CCJ Keowee","2016","Retired Executive","n/a"
"Bank of Central Florida Holding Company","Director","Steven T. Moore","President","UBS Properties","2016","Buiiding Supplies","n/a"
"Bank of Central Florida Holding Company","Director","Steven T. Moore","President","South Lakeland Industrial Park,"Inc."","2016","Buiiding Supplies","n/a"
"Bank of Central Florida Holding Company","Director","Steven T. Moore","President","Florida Properties and Development of Greater Lakeland","2016","Buiiding Supplies","n/a"
"Bank of Central Florida Holding Company","Director","Steven T. Moore","President","MMA Ventures,"LLP"","2016","Buiiding Supplies","n/a"
"Bank of Central Florida Holding Company","Director","Steven T. Moore","Member","Windsor Properties of Kissimmee","2016","Buiiding Supplies","n/a"
"Bank of Central Florida Holding Company","Director","Steven T. Moore","Member","Leisure Meadows OSV LLC","2016","Buiiding Supplies","n/a"
"Bank of Central Florida Holding Company","Director","Steven T. Moore","Member","Leisure Meadows Homes,"LLC"","2016","Buiiding Supplies","n/a"
"Bank of Central Florida Holding Company","Director","Steven T. Moore","President","S&D Holdings LLC","2016","Buiiding Supplies","n/a"
"Bank of Central Florida Holding Company","Director","Steven T. Moore","President","S&D Beach Properties LLC","2016","Buiiding Supplies","n/a"
"Bank of Central Florida Holding Company","Director","Steven T. Moore","President","Gamo,"Inc."","2016","Buiiding Supplies","n/a"
"Bank of Central Florida Holding Company","Director","Steven T. Moore","President","County Line Property of Polk County","2016","Buiiding Supplies","n/a"
"Bank of Central Florida Holding Company","Chairman,"President &"","Paul J. Noris","n/a","n/a","2016","n/a","n/a"
"Bank of Central Florida Holding Company","Director","J. Greg Ruthven","Member","Ruthven Family Limited Partnership II","2016","Real Estate/ Warehousing","n/a"
"Bank of Central Florida Holding Company","Director","J. Greg Ruthven","Member","Ruthven Group Partnership","2016","Real Estate/ Warehousing","n/a"
"Bank of Central Florida Holding Company","Director","J. Greg Ruthven","Member","Ruthven Airpark,"LLC"","2016","Real Estate/ Warehousing","n/a"
"Bank of Central Florida Holding Company","Director","J. Greg Ruthven","Member","Ruthven Parkway Center","2016","Real Estate/ Warehousing","n/a"
"Bank of Central Florida Holding Company","Director","J. Greg Ruthven","Member","Ruthven Holdings","2016","Real Estate/ Warehousing","n/a"
"Bank of Central Florida Holding Company","Director","J. Greg Ruthven","Member","Anchuca Holdings","2016","Real Estate/ Warehousing","n/a"
"Bank of Central Florida Holding Company","Director","Warren Shatzer","Investor","Tapps Building,"Inc."","2016","Investor","n/a"
"Bank of Central Florida Holding Company","Director","Warren Shatzer","Managing Partner","Shatzer Enterprises","2016","Investor","n/a"
"Bank of Central Florida Holding Company","Director","Tracy A. Wilson","Shareholder","Marriott International","2016","Executive","n/a"
"Bank of Central Florida Holding Company","Director","Tracy A. Wilson","Shareholder","Vacations Worldwide Corporation","2016","Executive","n/a"
"Bank of Central Florida Holding Company","Director","Tracy A. Wilson","Shareholder","Apple","2016","Executive","n/a"
"Bank of Central Florida Holding Company","Director","Tracy A. Wilson","Shareolder","Amazon","2016","Executive","n/a"
"Bank of Central Florida Holding Company","Executive Vice President","James V. Dugger","n/a","n/a","2016","n/a","n/a"
"Bank of Central Florida Holding Company","Executive Vice President","Joseph Furnari","n/a","n/a","2016","n/a","n/a"
"Bank of Central Florida Holding Company","Executive Vice President","Robert P. Kenney","n/a","n/a","2016","n/a","n/a"
"Bank of Central Florida Holding Company","Executive Vice President","Robert R. Wedlock","n/a","n/a","2016","n/a","n/a"
```
