```text
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Basile Bancshares,"Inc."","Eunice,"Louisiana"","2015","Burson,"I Jackson Jr"","common stock","164","18.2832%","n/a"
"Basile Bancshares,"Inc."","Basile,"Louisiana"","2015","Johnson,"John W"","common stock","170","18.9521%","n/a"
"Basile Bancshares,"Inc."","Eunice,"Louisiana"","2015","Johnson,"William J"","common stock","90","10.0335%","n/a"
"Basile Bancshares,"Inc."","Eunice,"Louisiana"","2015","Stagg,"Samuel J Jr"","common stock","75","8.3612%","n/a"
"Basile Bancshares,"Inc."","Eunice,"Louisiana"","2015","Vigee,"Shelva"","common stock","67","7.4693%","n/a"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Basile Bancshares,"Inc."","Chairman of the Board & Director","Burson,"I Jackson Jr"","Chairman of the Board & Director","I Jackson Burson,"APLC"","2015","Attorney","n/a"
"Basile Bancshares,"Inc."","Director,"Secretary"","Johnson,"John W"","Director","Clanton & Johnson","2015","Attorney","n/a"
"Basile Bancshares,"Inc."","President,"CEO"","Johnson,"William J"","Director","n/a","2015","n/a","n/a"
"Basile Bancshares,"Inc."","n/a","Stagg,"Samuel","Jr"","Director","n/a","2015","Physician","n/a"
"Basile Bancshares,"Inc."","n/a","Vigee,"Shelva"","n/a","n/a","2015","Retired","n/a"
```
