```text
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"BOLC,"Corp."","Fayetteville,"TN"","2018","Hue Counts","Common Stock","25625","5.42%","n/a"
"BOLC,"Corp."","Fayetteville,"TN"","2018","Charles E. Gleghorn Living Trust","Common Stock","59440","12.57%","n/a"
"BOLC,"Corp."","Fayetteville,"TN"","2018","Joyce Groce","Common Stock","26625","5.63%","n/a"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"BOLC,"Corp."","Director & Chairman","Charles E. Gleghorn","Director & Chairman","WCS Corporation","2018","Banker","n/a"
"BOLC,"Corp."","Director & Chairman","Charles E. Gleghorn","Director & Chairman","Fayetteville Grocery","2018","Banker","n/a"
"BOLC,"Corp."","Director & Chairman","Charles E. Gleghorn","Director & Chairman","Brook Haven Farms","2018","Banker","n/a"
"BOLC,"Corp."","Director & Chairman","Charles E. Gleghorn","Director & Chairman","Twin Oaks","2018","Banker","n/a"
"BOLC,"Corp."","Director","Hue Counts","n/a","n/a","2018","n/a","n/a"
"BOLC,"Corp."","Director","Kristie Brannon","n/a","Elora Gin & Warehouse","2018","Farmer","n/a"
"BOLC,"Corp."","Director","Kristie Brannon","n/a","Brannon Farms","2018","Farmer","n/a"
"BOLC,"Corp."","Director","Tony Groce","n/a","Lincoln Paving,"LLC"","2018","Road Builder","n/a"
"BOLC,"Corp."","Director","Tony Groce","n/a","Lincoln Road Builders,"Inc"","2018","Road Builder","n/a"
"BOLC,"Corp."","Director","Tony Groce","n/a","Fayetteville Lumber & Supply","2018","Road Builder","n/a"
"BOLC,"Corp."","Director","Charles Wayne Damron","n/a","Twin Oaks","2018","n/a","n/a"
"BOLC,"Corp."","Director","Tom S. Bigham,"III"","n/a","n/a","2018","Dentist","n/a"
"BOLC,"Corp."","Director","Charles Higgins","n/a","Twin Oaks","2018","n/a","n/a"
"BOLC,"Corp."","Director","Billy Joe Evans","n/a","n/a","2018","n/a","n/a"
"BOLC,"Corp."","Director","William L. Thomas","n/a","Your Extended Attic,"GP"","2018","Trade NewsPaper Publisher","n/a"
"BOLC,"Corp."","Director","William L. Thomas","n/a","Your Extended Attic HG,"LLC"","2018","Trade NewsPaper Publisher","n/a"
"BOLC,"Corp."","Director","Dale Gleghorn","n/a","n/a","2018","Banker","n/a"
"BOLC,"Corp."","Director CEO","Gay Gleghorn Dempsey","n/a","n/a","2018","Banker","n/a"
"BOLC,"Corp."","Director","Lee Lassiter","n/a","n/a","2018","Farmer","n/a"
```
