```csv
SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"B.P.C. Corporation","Monterey,"Tennessee"","2014","Jack P. Ray,"Sr."","Voting","100847","49.9990%","n/a"
"B.P.C. Corporation","Monterey,"Tennessee"","2014","Jack P. Ray,"Sr."","Non-voting","0","0.0000%","n/a"
"B.P.C. Corporation","Monterey,"Tennessee"","2014","2006 Jack P. Ray Irrevocable Succession Trust","Voting","0","0.0000%","n/a"
"B.P.C. Corporation","Monterey,"Tennessee"","2014","2006 Jack P. Ray Irrevocable Succession Trust","Non-voting","907623","49.9990%","n/a"
"B.P.C. Corporation","Monterey,"Tennessee"","2014","W.T. Ray,"Jr."","Voting","100848","49.9995%","n/a"
"B.P.C. Corporation","Monterey,"Tennessee"","2014","W.T. Ray,"Jr."","Non-voting","907632","49.9995%","n/a"
"B.P.C. Corporation","Cookeville,"Tennessee"","2014","Elizabeth Ann Ray Fournet 2007 Investment Services Trust","Voting","3","0.0015%","n/a"
"B.P.C. Corporation","Cookeville,"Tennessee"","2014","Elizabeth Ann Ray Fournet 2007 Investment Services Trust","Non-voting","0","0.0000%","n/a"
"B.P.C. Corporation","Cookeville,"Tennessee"","2014","Elizabeth Ann Ray Fournet","Voting","0","0.0000%","n/a"
"B.P.C. Corporation","Cookeville,"Tennessee"","2014","Elizabeth Ann Ray Fournet","Non-voting","27","0.0015%","n/a"
"B.P.C. Corporation","n/a","2014","NONE","n/a","n/a","n/a","n/a"
```
```csv
INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"B.P.C. Corporation","Director & Chairman of Board","JACK P. RAY,"SR"","n/a","n/a","2014","Banker & Attorney","n/a"
"BANK OF PUTNAM COUNTY","Director","JACK P. RAY,"SR"","n/a","n/a","2014","Banker & Attorney","n/a"
"CUMBERLAND COUNTY BANK","Director","JACK P. RAY,"SR"","n/a","n/a","2014","Banker & Attorney","n/a"
"BPC INSURANCE SERVICES","Director","JACK P. RAY,"SR"","n/a","n/a","2014","Banker & Attorney","n/a"
"Hitchco Reinsurance Company","Director","JACK P. RAY,"SR"","n/a","n/a","2014","Banker & Attorney","n/a"
"BPC Real Estate Services Inc","Director","JACK P. RAY,"SR"","n/a","n/a","2014","Banker & Attorney","n/a"
"CCB Real Estate Services Inc","Director","JACK P. RAY,"SR"","n/a","n/a","2014","Banker & Attorney","n/a"
"B.P.C. CORPORATION","Director & Vice President","WT. RAY,"JR"","n/a","n/a","2014","Building Supply Dealer","n/a"
"BANK OF PUTNAM COUNTY","Director","WT. RAY,"JR"","n/a","n/a","2014","Building Supply Dealer","n/a"
"CUMBERLAND COUNTY BANK","Director","WT. RAY,"JR"","n/a","n/a","2014","Building Supply Dealer","n/a"
"BPC INSURANCE SERVICES","Director","WT. RAY,"JR"","n/a","n/a","2014","Building Supply Dealer","n/a"
"Hitchco Reinsurance Company","Director","WT. RAY,"JR"","n/a","n/a","2014","Building Supply Dealer","n/a"
"BPC Real Estate Services Inc","Director","WT. RAY,"JR"","n/a","n/a","2014","Building Supply Dealer","n/a"
"CCB Real Estate Services Inc","Director","WT. RAY,"JR"","n/a","n/a","2014","Building Supply Dealer","n/a"
"OTHER BUSINESSES","Vice President","WT. RAY,"JR"","Partner","Jack P Ray Irrevocable Trust & WT Ray","2014","Building Supply Dealer","n/a"
"B.P.C. CORPORATION","Director of Community Relations","EUZABETH RAY FOURNET","n/a","n/a","2014","Banker","n/a"
"BANK OF PUTNAM COUNTY","Director of Community Relations","EUZABETH RAY FOURNET","n/a","n/a","2014","Banker","n/a"
"CUMBERLAND COUNTY BANK","Director of Community Relations","EUZABETH RAY FOURNET","n/a","n/a","2014","Banker","n/a"
"BPC INSURANCE SERVICES","Director of Community Relations","EUZABETH RAY FOURNET","n/a","n/a","2014","Banker","n/a"
"B.P.C. CORPORATION","EVP & Chief Financial Officer","GARYL MEDLEY","n/a","n/a","2014","Banker & CPA","n/a"
"BANK OF PUTNAM COUNTY","EVP & Chief Financial Officer","GARYL MEDLEY","n/a","n/a","2014","Banker & CPA","n/a"
"CUMBERLAND COUNTY BANK","EVP & Chief Financial Officer","GARYL MEDLEY","n/a","n/a","2014","Banker & CPA","n/a"
"B.P.C. CORPORATION","Director & President & CEO","DAVID WILLIAMSON","n/a","n/a","2014","Banker","n/a"
"BANK OF PUTNAM COUNTY","President & CEO","DAVID WILLIAMSON","n/a","n/a","2014","Banker","n/a"
"CUMBERLAND COUNTY BANK","President & CEO","DAVID WILLIAMSON","n/a","n/a","2014","Banker","n/a"
"BPC Real Estate Services Inc","President & CEO","DAVID WILLIAMSON","n/a","n/a","2014","Banker","n/a"
"CCB Real Estate Services Inc","President & CEO","DAVID WILLIAMSON","n/a","n/a","2014","Banker","n/a"
"B.P.C. CORPORATION","Director","DOUG PARKEY","n/a","n/a","2014","Banker","n/a"
"B.P.C. CORPORATION","Director & Treasurer","NORMAN COPELAND","n/a","n/a","2014","Retired Banker","n/a"
"B.P.C. CORPORATION","Director","RANDY BOND","n/a","n/a","2014","Retired Banker","n/a"
```
