```csv
SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Brantley Bancorp,"Inc."","Nashville,"TN"","2023","Abbie Lou Bryan Trust (Abbie Lou Bryan,"Trustee)"","Shares Common Stock","2729","17.78%","0001084025"
"Brantley Bancorp,"Inc."","Nashville,"TN"","2023","Abbie Lou Bryan Trust (Abbie Lou Bryan,"Trustee)"","Common Stock","2729","17.78%","0001084025"
"Brantley Bancorp,"Inc."","n/a","2023","WFH Trust FBO James Bryan","Shares Common Stock","891","5.8%","0001084025"
"Brantley Bancorp,"Inc."","n/a","2023","WFH Trust FBO James Bryan","Common Stock","891","5.8%","0001084025"
"Brantley Bancorp,"Inc."","n/a","2023","J.H. Hollis,"Sr. GST for Abbie Lou Bryan"","Shares Common Stock","800","5.21%","0001084025"
"Brantley Bancorp,"Inc."","n/a","2023","J.H. Hollis,"Sr. GST for Abbie Lou Bryan"","Common Stock","800","5.21%","0001084025"
"Brantley Bancorp,"Inc."","Brantley,"AL"","2023","Margaret S. Hollis","Shares Common Stock","4510","29.38%","0001084025"
"Brantley Bancorp,"Inc."","Brantley,"AL"","2023","Margaret S. Hollis","Common Stock","4510","29.38%","0001084025"
"Brantley Bancorp,"Inc."","Birmingham,"AL"","2023","Margaret H. Hayslip","Shares Common Stock","1491","9.71%","0001084025"
"Brantley Bancorp,"Inc."","Birmingham,"AL"","2023","Margaret H. Hayslip","Common Stock","1491","9.71%","0001084025"
"Brantley Bancorp,"Inc."","Dozier,"AL"","2023","Elizabeth H. Walker","Shares Common Stock","1290","8.40%","0001084025"
"Brantley Bancorp,"Inc."","Dozier,"AL"","2023","Elizabeth H. Walker","Common Stock","1290","8.40%","0001084025"
```
```csv
INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Brantley Bancorp,"Inc."","President & Director","Travis Colquett","n/a","TDC Properties,"LLC"","2023","n/a","0001084025"
"Brantley Bancorp,"Inc."","President & Director","Travis Colquett","n/a","Triple T Holdings","2023","n/a","0001084025"
"Brantley Bancorp,"Inc."","Vice President & Director","Stuart R. Mash,"Jr."","n/a","Hollis Family Partnership","2023","n/a","0001084025"
"Brantley Bancorp,"Inc."","n/a","Margaret S. Hollis","n/a","The Hollis Company","2023","Retired Educator","0001084025"
"Brantley Bancorp,"Inc."","Director","Terry H. Walden","n/a","Walden Farms","2023","n/a","0001084025"
"Brantley Bancorp,"Inc."","Director","Terry H. Walden","n/a","Dozier Lumber Co.","2023","n/a","0001084025"
"Brantley Bancorp,"Inc."","Director","Terry H. Walden","n/a","Walden Partners","2023","n/a","0001084025"
"Brantley Bancorp,"Inc."","Director","Stallion L,"Sasser"","n/a","South Alabama Waste Services LLC","2023","n/a","0001084025"
"Brantley Bancorp,"Inc."","Director","Stallion L,"Sasser"","n/a","S&S Healthcare LLC","2023","n/a","0001084025"
"Brantley Bancorp,"Inc."","Director","Stallion L,"Sasser"","n/a","Possum Branch Farms LLC","2023","n/a","0001084025"
"Brantley Bancorp,"Inc."","Director","Stallion L,"Sasser"","n/a","Sasser Enterprises","2023","n/a","0001084025"
"Brantley Bancorp,"Inc."","Director","Stallion L,"Sasser"","n/a","Southland Nursing Home,"Inc."","2023","n/a","0001084025"
"Brantley Bancorp,"Inc."","Director","Stallion L,"Sasser"","n/a","Andalusia Manor,"Inc."","2023","n/a","0001084025"
"Brantley Bancorp,"Inc."","Director","Stallion L,"Sasser"","n/a","Andalusia Healthcare,"Inc."","2023","n/a","0001084025"
"Brantley Bancorp,"Inc."","Director","Stallion L,"Sasser"","n/a","The Sasser Group,"LLC"","2023","n/a","0001084025"
"Brantley Bancorp,"Inc."","Director","Stallion L,"Sasser"","n/a","Sasser Holdings,"LLC"","2023","n/a","0001084025"
"Brantley Bancorp,"Inc."","Director","Stallion L,"Sasser"","n/a","Sasser ALF Properties,"LLC"","2023","n/a","0001084025"
"Brantley Bancorp,"Inc."","Director","Stallion L,"Sasser"","n/a","Sasser Consulting,"LLC"","2023","n/a","0001084025"
"Brantley Bancorp,"Inc."","Director","Margaret H. Hayslip","n/a","Hollis Family Trust #2","2023","Retired Registered Nurse","0001084025"
"Brantley Bancorp,"Inc."","Director","Margaret H. Hayslip","n/a","The Hollis Company","2023","Retired Registered Nurse","0001084025"
"Brantley Bancorp,"Inc."","Director","Elizabeth H. Walker","n/a","Hollis Family Trust #2","2023","Retired Teacher","0001084025"
"Brantley Bancorp,"Inc."","Director","Elizabeth H. Walker","n/a","The Hollis Company","2023","Retired Teacher","0001084025"
"Brantley Bancorp,"Inc."","Director","Timothy Johnson Rayborn","n/a","n/a","2023","Retired State Bank Examiner","0001084025"
"Brantley Bancorp,"Inc."","Principal Shareholder","Abbie Lou Bryan","n/a","Brantley Bancorp,"Inc."","2023","Retired Teacher","0001084025"
```
