```text
SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Brand Group Holdings,"Inc"","Washington,"DC"","2014","Carlyle Financial Services Harbor,"L.P."","n/a","72209.8","23.322%","n/a"
"Brand Group Holdings,"Inc"","Little Rock,"AK"","2014","SG-BBC,"LLC"","n/a","68298.8","22.059%","n/a"
"Brand Group Holdings,"Inc"","Atlanta,"GA"","2014","Nonami Investments","n/a","32222.2","10.407%","n/a"
"Brand Group Holdings,"Inc"","Lawrenceville,"GA"","2014","Bartow Morgan,"Jr."","n/a","18067.2","5.835%","n/a"
"Brand Group Holdings,"Inc"","Tampa,"FL"","2014","Patricia MacLaurin Morgan Farrior","n/a","12078.5","3.901%","n/a"
"Brand Group Holdings,"Inc"","Atlanta,"GA"","2014","Richard Brand Morgan","n/a","5307.4","1.714%","n/a"
"Brand Group Holdings,"Inc"","Atlanta,"GA"","2014","The Arden Trust","n/a","155","0.050%","n/a"
"Brand Group Holdings,"Inc"","Lawrenceville,"GA"","2014","Paul Mangum Morgan","n/a","8691.7","2.807%","n/a"
"Brand Group Holdings,"Inc"","Atlanta,"GA"","2014","Patricia Morgan Thomas","n/a","2491.5","0.805%","n/a"
"Brand Group Holdings,"Inc"","Atlanta,"GA"","2014","The Morgan Family Trust","n/a","410.8","0.133%","n/a"
INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Brand Group Holdings,"Inc"","CEO","Bartow Morgan,"Jr."","General Partner","Morgan Insurance Partnership","2014","n/a","n/a"
"Brand Group Holdings,"Inc"","CEO","Bartow Morgan,"Jr."","Member Manager","BQ Capital LLC","2014","n/a","n/a"
"Brand Group Holdings,"Inc"","CEO","Bartow Morgan,"Jr."","Member Manager","BBLP,"LLC"","2014","n/a","n/a"
"Brand Group Holdings,"Inc"","CEO","Bartow Morgan,"Jr."","Member Manager","Pointe Brand,"III"","2014","n/a","n/a"
"Brand Group Holdings,"Inc"","Director of Commercial Real Estate Lending","Christopher A. Smith","n/a","n/a","2014","Director of Commercial Real Estate Lending","n/a"
"Brand Group Holdings,"Inc"","Director","J. T. King","Managing Partner","Cape Investments,"LLC"","2014","Chief Investment Officer","n/a"
"Brand Group Holdings,"Inc"","Director","J. T. King","Managing Partner","Cape Fund L.P.","2014","Chief Investment Officer","n/a"
"Brand Group Holdings,"Inc"","Director","J. T. King","Managing Partner","Cape Fund II L.P","2014","Chief Investment Officer","n/a"
"Brand Group Holdings,"Inc"","Director","J. Littleton Glover,"Jr."","n/a","n/a","2014","CEO/President","n/a"
"Brand Group Holdings,"Inc"","Director","R. Lee Tucker,"Jr."","Partner","Mahaffey Pickens Tucker,"LLP"","2014","Attorney","n/a"
"Brand Group Holdings,"Inc"","Director","R. Lee Tucker,"Jr."","President","Lee Tucker Attorney at Law. PC","2014","Attorney","n/a"
"Brand Group Holdings,"Inc"","Director","R. Lee Tucker,"Jr."","Manager","MPT Office Building,"LLC"","2014","Attorney","n/a"
"Brand Group Holdings,"Inc"","Director","R. Lee Tucker,"Jr."","Manager","XB Metro Holdings,"LLC"","2014","Attorney","n/a"
"Brand Group Holdings,"Inc"","Director","R. Lee Tucker,"Jr."","Manager","JSLM Investment,"LLC"","2014","Attorney","n/a"
"Brand Group Holdings,"Inc"","Director","R. Lee Tucker,"Jr."","Member","RL Spectrum Investment,"LLC"","2014","Attorney","n/a"
"Brand Group Holdings,"Inc"","Director","R. Lee Tucker,"Jr."","Manager","BWL Investments I,"LLC"","2014","Attorney","n/a"
"Brand Group Holdings,"Inc"","Director","Sunny Park","President","General Building Maintenance,"Inc."","2014","CEO","n/a"
"Brand Group Holdings,"Inc"","Director","Sunny Park","President","Global Sun Investments,"Inc."","2014","CEO","n/a"
"Brand Group Holdings,"Inc"","Director","Sunny Park","President","Grove Equity Group,"LLC"","2014","CEO","n/a"
"Brand Group Holdings,"Inc"","Director","Sunny Park","EVP","Ellis Services & Solutions Enterprises,"LLC"","2014","CEO","n/a"
"Brand Group Holdings,"Inc"","Director","Sunny Park","EVP","Vetconnexx. LLC","2014","CEO","n/a"
"Brand Group Holdings,"Inc"","Director","Sunny Park","President","Good Neighboring Foundation","2014","CEO","n/a"
"Brand Group Holdings,"Inc"","Director","Homer Stark","n/a","n/a","2014","Retired Superior Court Judge","n/a"
"Brand Group Holdings,"Inc"","Director","A. Harold Craig","n/a","n/a","2014","Retired","n/a"
"Brand Group Holdings,"Inc"","Director","Patricia Morgan Thomas","n/a","n/a","2014","Homemaker","n/a"
"Brand Group Holdings,"Inc"","Director","Mack Meeks","Member","Brand Partners Management,"LLC"","2014","Retired Land Surveyor Engineer","n/a"
"Brand Group Holdings,"Inc"","Director","Mack Meeks","Trustee","Mack L. Meeks Revocable Trust","2014","Retired Land Surveyor Engineer","n/a"
"Brand Group Holdings,"Inc"","Director","Mack Meeks","Partner","Meeks Land Co.. LLLP","2014","Retired Land Surveyor Engineer","n/a"
"Brand Group Holdings,"Inc"","Director","Mack Meeks","Partner","Francis Farm Partners","2014","Retired Land Surveyor Engineer","n/a"
"Brand Group Holdings,"Inc"","Director","James Henderson","n/a","n/a","2014","Former Superior Court Judge","n/a"
"Brand Group Holdings,"Inc"","Director","Jon D. Birts","n/a","n/a","2014","Retired President of","n/a"
"Brand Group Holdings,"Inc"","Chairman","David R. Bowen","n/a","n/a","2014","Retired","n/a"
"Brand Group Holdings,"Inc"","Director","David Panton","n/a","n/a","2014","Real Estate Developer","n/a"
"Brand Group Holdings,"Inc"","President","Richard Fairey","n/a","n/a","2014","n/a","n/a"
"Brand Group Holdings,"Inc"","CFO","Robert Cochran","n/a","n/a","2014","n/a","n/a"
"Brand Group Holdings,"Inc"","Chief Credit Officer","Ray K. Williams","n/a","n/a","2014","n/a","n/a"
"Brand Group Holdings,"Inc"","Director","Keith Taylor","n/a","n/a","2014","Principal","n/a"
"Brand Group Holdings,"Inc"","Executive Chairman","Michael Coles","n/a","n/a","2014","Executive Chairman & President","n/a"
"Brand Group Holdings,"Inc"","Director","John McKinley","n/a","n/a","2014","n/a","n/a"
```
