```text
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"CBB Bancorp","White,"GA"","2019","Dwain Montgomery","Common Stock","44050","5.79%","n/a"
"CBB Bancorp","Cartersville,"GA"","2019","Larry Pogue","Common Stock","47700","6.27%","n/a"
"CBB Bancorp","Cartersville,"GA"","2019","Eric Strickland as Custodian Thomas Andrew Strickland","Common Stock","3000",".39%","n/a"
"CBB Bancorp","Cartersville,"GA"","2019","Eric Strickland as Custodian Ethan Strickland","Common Stock","1000",".13%","n/a"
"CBB Bancorp","Cartersville,"GA"","2019","Georgia Investment Fund 100 LLC","Common Stock","37450","4.92%","n/a"
"CBB Bancorp","Cartersville,"GA"","2019","Total of Strickland Family","Common Stock","41450","5.44%","n/a"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"CBB Bancorp","Director,"Director and President/COO"","David Caswell","n/a","n/a","2019","n/a","n/a"
"CBB Bancorp","Director,"Director and CEO"","Richard E. Drews,"Jr."","n/a","n/a","2019","n/a","n/a"
"CBB Bancorp","Director,"President"","Danny Gilreath","President","Gilreath Carpet,"Inc."","2019","Gilreath Carpet,"Inc."","n/a"
"CBB Bancorp","Director,"President"","Danny Gilreath","President","Cottage Leasing Inc.","2019","Gilreath Carpet,"Inc."","n/a"
"CBB Bancorp","Director,"President"","Danny Gilreath","Single Member","TyDiffy,"LLC"","2019","Gilreath Carpet,"Inc."","n/a"
"CBB Bancorp","Director,"President"","Danny Gilreath","Member","Parkview Leasing,"LLC"","2019","Gilreath Carpet,"Inc."","n/a"
"CBB Bancorp","Director","Thomas Lewis","Vice President","Harris Georgia Corporation","2019","Retired","n/a"
"CBB Bancorp","Director","Thomas Lewis","General Manager","Joshua Principle Group,"LLC."","2019","Retired","n/a"
"CBB Bancorp","Director","Dwain Montgomery","None - Retired","n/a","2019","Retired","n/a"
"CBB Bancorp","Director","Larry Pogue","President","Dynaflux,"Inc."","2019","Retired","n/a"
"CBB Bancorp","Director","Larry Pogue","President","Pogue Holding Company,"Inc."","2019","Retired","n/a"
"CBB Bancorp","Director","Ted Perry","Member","Preferred Vascular Services,"LLC"","2019","Surgeon Preferred Vascular Services,"LLC."","n/a"
"CBB Bancorp","Director","Ted Perry","Single Member","Porter Street Properties,"LLC"","2019","Surgeon Preferred Vascular Services,"LLC."","n/a"
"CBB Bancorp","Director","Ted Perry","Single Member","Sterling Commercial Properties,"LLC"","2019","Surgeon Preferred Vascular Services,"LLC."","n/a"
"CBB Bancorp","Director","Ted Perry","Member","Curryville Farms,"LLLP"","2019","Surgeon Preferred Vascular Services,"LLC."","n/a"
"CBB Bancorp","Director","Ted Perry","Single Member","Hanging Mountain Farms,"LLC"","2019","Surgeon Preferred Vascular Services,"LLC."","n/a"
"CBB Bancorp","Director","Ted Perry","Member","NW Atlanta Vascular Services,"LLC"","2019","Surgeon Preferred Vascular Services,"LLC."","n/a"
"CBB Bancorp","Director","Ted Perry","Medical Director","Cloverleaf Medical,"LLC"","2019","Surgeon Preferred Vascular Services,"LLC."","n/a"
"CBB Bancorp","Director","Ted Perry","Medical Director","Munchkin Medical Services","2019","Surgeon Preferred Vascular Services,"LLC."","n/a"
"CBB Bancorp","Director","Ted Perry","Owner and Principal","Macon Vascular Services","2019","Surgeon Preferred Vascular Services,"LLC."","n/a"
"CBB Bancorp","Director","Ted Perry","Member","SE Atlanta Vascular Services,"LLC"","2019","Surgeon Preferred Vascular Services,"LLC."","n/a"
"CBB Bancorp","Director","Ted Perry","Member","Cleveland Vascular Care,"LLC"","2019","Surgeon Preferred Vascular Services,"LLC."","n/a"
"CBB Bancorp","Director","Ted Perry","Member","SW Atlanta Vascular Services,"LLC"","2019","Surgeon Preferred Vascular Services,"LLC."","n/a"
"CBB Bancorp","Director","Ted Perry","Member","NE Atlanta Vascular Services,"LLC"","2019","Surgeon Preferred Vascular Services,"LLC."","n/a"
```
