Here are the two CSV tables extracted from the document:
```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"CBC Holding Company","Fitzgerald,"GA"","2014","Sidney S. Anderson,"Jr."","n/a","110301","18.15%","n/a"
"CBC Holding Company","Fitzgerald,"GA"","2014","A.B.C Dorminy,"III"","n/a","35006","5.76%","n/a"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"CBC Holding Company","Chief Executive Officer and President","George M. Ray","n/a","n/a","2014","Semi-retired banker","n/a"
"CBC Holding Company","Director (Community Banking Company of Fitzgerald","George M. Ray","n/a","n/a","2014","Semi-retired banker","n/a"
"CBC Holding Company","Chairman of the Board","John T. Croley,"Jr."","Attorney,"sole practitioner"","n/a","2014","Attorney,"sole practitioner"","n/a"
"CBC Holding Company","Chairman of the Board (Community Banking Co. of Fitzgerald)","John T. Croley,"Jr."","Attorney,"sole practitioner"","n/a","2014","Attorney,"sole practitioner"","n/a"
"CBC Holding Company","Director Emeritus","Sidney S. Anderson,"Jr."","General Manager","Dixie Peanut Company","2014","General Manager","n/a"
"CBC Holding Company","Directory Emeritus (Community Banking Co. of Fitzgerald)","Sidney S. Anderson,"Jr."","General Manager","Dixie Peanut Company","2014","General Manager","n/a"
"CBC Holding Company","Director","Lee Phillip Liles","Agency Manager -","Georgia Farm Bureau Mutual Insurance Co.","2014","Agency Manager -","n/a"
"CBC Holding Company","Director (Community Banking Co. of Fitzgerald)","Lee Phillip Liles","Agency Manager -","Georgia Farm Bureau Mutual Insurance Co.","2014","Agency Manager -","n/a"
"CBC Holding Company","Director","Hulin Reeves,"Jr."","Farmer","n/a","2014","Farmer","n/a"
"CBC Holding Company","Director (Community Banking Co. of Fitzgerald)","Hulin Reeves,"Jr."","Farmer","n/a","2014","Farmer","n/a"
"CBC Holding Company","Treasurer","James Thomas Casper,"III"","Certified Public Accountant","Worthington and Casper,"CPA","P.C."","2014","Certified Public Accountant","n/a"
"CBC Holding Company","Treasurer (Community Banking Co. of Fitzgerald)","James Thomas Casper,"III"","Certified Public Accountant","Worthington and Casper,"CPA","P.C."","2014","Certified Public Accountant","n/a"
"CBC Holding Company","Vice Chairman","A.B.C. Dorminy,"III"","President","ABCD Farms,"Inc."","2014","President (ABCD Farms,"Inc.)"","n/a"
