```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership"
"CBC Holding Company","Fitzgerald","2023","Sidney S. Anderson,"Jr."","n/a","114368","19.75%"
"CBC Holding Company","Fitzgerald","2023","A. B. C. Dorminy,"III"","n/a","40006","6.91%"
"CBC Holding Company","Fitzgerald","2023","Cede & Co.","n/a","33998","5.87%"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year"
"CBC Holding Company","President","J Corey Gibbs","President/CEO","Community Banking Co. of Fitzgerald","2023"
"CBC Holding Company","Director Emeritus","Sidney S. Anderson,"Jr."","Director Emeritus","Community Banking Co. of Fitzgerald","2023"
"CBC Holding Company","Director","Lee Phillip Liles","Director","Community Banking Co. of Fitzgerald","2023"
"CBC Holding Company","Director","Hulin Reeves,"Jr."","Director","Community Banking Co. of Fitzgerald","2023"
"CBC Holding Company","Treasurer","James Thomas Casper,"III"","Treasurer","Community Banking Co. of Fitzgerald","2023"
"CBC Holding Company","Vice Chairman","A.B.C. Dorminy,"III"","Vice Chairman","Community Banking Co. of Fitzgerald","2023"
"CBC Holding Company","Director","Steven L. Mitchell","Director","Community Banking Co. of Fitzgerald","2023"
"CBC Holding Company","Director","Louis E,"Harper","Jr."","Director","Community Banking Co. of Fitzgerald","2023"
"CBC Holding Company","Secretary","John Edward Smith,"III"","Secretary","Community Banking Co. of Fitzgerald","2023"
"CBC Holding Company","Chairman of the Board","Jack Paulk","Chairman of the Board","Community Banking Co. of Fitzgerald","2023"
"CBC Holding Company","Director","Art Anderson","Director","Community Banking Co. of Fitzgerald","2023"
"CBC Holding Company","Director","Larry E. Stevenson","n/a","Community Banking Co. of Fitzgerald","2023"
"CBC Holding Company","Director","Howard A. Wiley","Director","Community Banking Co. of Fitzgerald","2023"
"CBC Holding Company","Director","Eric H. Stone","Director","Community Banking Co. of Fitzgerald","2023"
"CBC Holding Company","Director","Jason L. Holt","Director","Community Banking Co. of Fitzgerald","2023"
"CBC Holding Company","Director","Kyle Cook","Director","Community Banking Co. of Fitzgerald","2023"
```
