Here are the requested CSV tables extracted from the document:
```csv
SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership"
"CB&T Holding Corporation","New Orleans","2017","Gary N. Solomon,"Sr."","Common Stock","47862","31.58%"
"CB&T Holding Corporation","New Orleans","2017","Martha N. Solomon","Common Stock","47861","31.58%"
"CB&T Holding Corporation","New Orleans","2017","Sam M. and Gloria S. Newman Grandchildren's Irrevocable Class Trust #1","Common Stock","44115","29.10%"
```
```csv
INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year"
"CB&T Holding Corporation","Director","Gary N. Solomon,"Sr."","Director & Chairman","Crescent Bank & Trust","2017"
"CB&T Holding Corporation","Director & Secretary","Martha N. Solomon","Director & Secretary","Crescent Bank & Trust","2017"
"CB&T Holding Corporation","n/a","Sam M. and Gloria S. Newman Grandchildren's Irrevocable Class Trust #1","Shareholder","n/a","2017"
"CB&T Holding Corporation","Director","John Meltzer","Director","Crescent Bank & Trust","2017"
"CB&T Holding Corporation","Director","Robert Redfearn","Director","Crescent Bank & Trust","2017"
"CB&T Holding Corporation","Director","Daniel Buckman","Director","Crescent Bank & Trust","2017"
"CB&T Holding Corporation","Director","Fred B. Morgan,"III"","Director","Crescent Bank & Trust","2017"
"CB&T Holding Corporation","Director","Ronald Briggs","Director","Crescent Bank & Trust","2017"
"CB&T Holding Corporation","Director","Gary N. Solomon,"Jr."","Director","Crescent Bank & Trust","2017"
"CB&T Holding Corporation","Director","Sam M. Solomon","Director","Crescent Bank & Trust","2017"
"CB&T Holding Corporation","Director","Conway S. Solomon","Director","Crescent Bank & Trust","2017"
"CB&T Holding Corporation","Director","Brian C. Gibbs","Director","Crescent Bank & Trust","2017"
"CB&T Holding Corporation","Senior Executive Vice President","Charles L. Petrey","Senior Executive Vice President","Crescent Bank & Trust","2017"
"CB&T Holding Corporation","Chief Financial Officer","Stephen M. Notarianni","Chief Financial Officer/Executive Vice President","Crescent Bank & Trust","2017"
```
