```csv
SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership"
"Citco Community Bancshares,"Inc."","ELIZABETΗΤΟΝ","2015","JOE LAPORTE III","A","2040","25.19%"
"Citco Community Bancshares,"Inc."","ELIZABETΗΤΟΝ","2015","JOE LAPORTE III","B","84885","18.24%"
"Citco Community Bancshares,"Inc."","ELIZABETΗΤΟΝ","2015","JOSEPH LAPORTE,"III"","B","10105","2.17%"
"Citco Community Bancshares,"Inc."","ELIZABETΗΤΟΝ","2015","JOSEPH LAPORTE,"III"","B","10105","2.17%"
"Citco Community Bancshares,"Inc."","ELIZABETΗΤΟΝ","2015","JOSEPH LAPORTE,"III"","B","10105","2.17%"
"Citco Community Bancshares,"Inc."","ELIZABETΗΤΟΝ","2015","SAM LAPORTE","A","2020","24.54%"
"Citco Community Bancshares,"Inc."","ELIZABETΗΤΟΝ","2015","SAM LAPORTE","B","103550","22.25%"
"Citco Community Bancshares,"Inc."","ELIZABETΗΤΟΝ","2015","SAM LAPORTE","B","5335","1.15%"
"Citco Community Bancshares,"Inc."","ELIZABETΗΤΟΝ","2015","SAM LAPORTE","B","5335","1.15%"
"Citco Community Bancshares,"Inc."","HOUSTON","2015","STEPHEN LAPORTE","A","2020","24.94%"
"Citco Community Bancshares,"Inc."","HOUSTON","2015","STEVE LAPORTE","B","89746","19.28%"
"Citco Community Bancshares,"Inc."","HOUSTON","2015","STEPHEN LAPORTE","B","12237","2.63%"
"Citco Community Bancshares,"Inc."","HOUSTON","2015","STEPHEN LAPORTE","B","12237","2.63%"
"Citco Community Bancshares,"Inc."","HOUSTON","2015","CHRIS LAPORTE","A","2020","24.94%"
"Citco Community Bancshares,"Inc."","HOUSTON","2015","CHRIS LAPORTE","B","114221","24.54%"
```csv
INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year"
"Citco Community Bancshares,"Inc."","Director/Chairman/CEO/President","Joe LaPorte,"III"","Director/Chairman/CEO/Assitant Trust Officer","Citizens Bank","2015"
"Citco Community Bancshares,"Inc."","Director/Chairman/CEO/President","Joe LaPorte,"III"","Director/Chairman/CEO/President","Citco Life Insurance Company,"Inc."","2015"
"Citco Community Bancshares,"Inc."","Director/Chairman/CEO/President","Joe LaPorte,"III"","Director/Chairman/CEO/President","Citizens Investment Services,"Inc."","2015"
"Citco Community Bancshares,"Inc."","Director/Chairman/CEO/President","Joe LaPorte,"III"","Director/Chairman/CEO/President","Tri Cities Finance Company Inc.","2015"
"Citco Community Bancshares,"Inc."","Director/Chairman/CEO/President","Joe LaPorte,"III"","Director/Chairman/CEO/President","Magnolia Investments","2015"
"Citco Community Bancshares,"Inc."","Director/Chairman/CEO/President","Joe LaPorte,"III"","Chairman","Acclivity Financial,"LLC"","2015"
"Citco Community Bancshares,"Inc."","Director/Chairman/CEO/President","Joe LaPorte,"III"","Director/Chairman/CEO","Small Business Resources,"Inc."","2015"
"Citco Community Bancshares,"Inc."","Director/Chairman/CEO/President","Joe LaPorte,"III"","Chief Manager","LAP,"LLC"","2015"
"Citco Community Bancshares,"Inc."","Director/Chairman/CEO/President","Joe LaPorte,"III"","Director/Chairman/CEO/President","Citco Title Co,"Inc."","2015"
"Citco Community Bancshares,"Inc."","Director/Chairman/CEO/President","Joe LaPorte,"III"","Director/Chief Manager","Citco Admin LLC","2015"
"Citco Community Bancshares,"Inc."","n/a","Sam J. LaPorte","Director/Vice Chairman/Trust Officer","Citizens Bank","2015"
"Citco Community Bancshares,"Inc."","Director/Secretary","Sam J. LaPorte","n/a","Citco Community Bancshares,"Inc."","2015"
"Citco Community Bancshares,"Inc."","Director","Christopher L. LaPorte","n/a","Citco Community Bancshares,"Inc."","2015"
"Citco Community Bancshares,"Inc."","n/a","Christopher L. LaPorte","Director/President","GSC Group,"Inc."","2015"
"Citco Community Bancshares,"Inc."","n/a","Christopher L. LaPorte","Director","Citizens Bank Tri Cities Foundation,"LTD (non-profit)"","2015"
"Citco Community Bancshares,"Inc."","n/a","Christopher L. LaPorte","Member","Lakelap,"LLC"","2015"
"Citco Community Bancshares,"Inc."","n/a","Christopher L. LaPorte","Chairman","Coastal Financial Holdings,"Inc."","2015"
"Citco Community Bancshares,"Inc."","n/a","Christopher L. LaPorte","Chairman","Coastal Investment Group,"Inc."","2015"
"Citco Community Bancshares,"Inc."","n/a","Christopher L. LaPorte","Owner","Christopher LaPorte Family Trust","2015"
"Citco Community Bancshares,"Inc."","n/a","Christopher L. LaPorte","Manager","Red Hawk Ranch LLC","2015"
"Citco Community Bancshares,"Inc."","n/a","Christopher L. LaPorte","Manager","Main at Braeswood LLC","2015"
"Citco Community Bancshares,"Inc."","n/a","Christopher L. LaPorte","Partner","Indian Sky Ranch LLC","2015"
"Citco Community Bancshares,"Inc."","n/a","Christopher L. LaPorte","Vice Manager","KLAP LLC","2015"
"Citco Community Bancshares,"Inc."","Director/Vice President","Stephen J. LaPorte","Director","Citizens Bank","2015"
"Citco Community Bancshares,"Inc."","Director/Vice President","Stephen J. LaPorte","Director","Small Business Resources,"Inc."","2015"
"Citco Community Bancshares,"Inc."","Director/Vice President","Stephen J. LaPorte","Director","Citizens Bank Tri Cities Foundation,"LTD (non-profit)"","2015"
"Citco Community Bancshares,"Inc."","Director/Vice President","Stephen J. LaPorte","Member","Lakelap,"LLC"","2015"
"Citco Community Bancshares,"Inc."","Director/Vice President","Stephen J. LaPorte","Vice Manager","KLAP LLC","2015"
```
