```text
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Citizens Bancorp,"Inc."","Knoxville,"TN"","2014","Newkirk Family","Common Stock","21178","10.170%","n/a"
"Citizens Bancorp,"Inc."","Strawberry Plans,"TN"","2014","Rudder Family","Common Stock","21166","10.165%","n/a"
"Citizens Bancorp,"Inc."","Knoxville,"TN"","2014","Russell Family","Common Stock","20797","9.987%","n/a"
"Citizens Bancorp,"Inc."","Tazewell,"TN"","2014","Roger Ball","Common Stock","15950","7.660%","n/a"
"Citizens Bancorp,"Inc."","Tazewell,"TN"","2014","Ball Family","Common Stock","1001","0.480%","n/a"
"Citizens Bancorp,"Inc."","Amelia Island,"FL"","2014","Russell Family Payne Rev Living Trust","Common Stock","13333","6.403%","n/a"
"Citizens Bancorp,"Inc."","New Tazewell,"TN"","2014","Lewis Family","Common Stock","12999","6.243%","n/a"
"Citizens Bancorp,"Inc."","Sneedville,"TN"","2014","Harrison Family","Common Stock","12143","5.831%","n/a"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Citizens Bancorp,"Inc."","Chairman","Roger A. Ball","Chairman","Ball Realty & Auction,"Inc."","2014","n/a","n/a"
"Citizens Bancorp,"Inc."","Chairman","Roger A. Ball","Partner","Ball Limited,"LLP"","2014","n/a","n/a"
"Citizens Bancorp,"Inc."","Chairman","Roger A. Ball","Partner","Ball Family Invest.","2014","n/a","n/a"
"Citizens Bancorp,"Inc."","Chairman","Roger A. Ball","Owner/Pres","Ball Ready Mix,"Inc."","2014","n/a","n/a"
"Citizens Bancorp,"Inc."","President Treasurer","Ken Jones","n/a","n/a","2014","n/a","n/a"
"Citizens Bancorp,"Inc."","Secretary","Frances Hensley","n/a","n/a","2014","n/a","n/a"
"Citizens Bancorp,"Inc."","Director","Thomas J. Harrison","n/a","n/a","2014","Manager Sneedville Elect. & Fumiture Co.","n/a"
"Citizens Bancorp,"Inc."","Director","C. Larry Lamb","Partner","Lamb Family Limited Partnership-","2014","Retired from In Home Medical","n/a"
"Citizens Bancorp,"Inc."","Director","C. Larry Lamb","Panter","D & T Rentals-","2014","Retired from In Home Medical","n/a"
"Citizens Bancorp,"Inc."","Director","C. Larry Lamb","Partner","D & L Properties-","2014","Retired from In Home Medical","n/a"
"Citizens Bancorp,"Inc."","Director","Nancy Large","n/a","n/a","2014","Retired Clinical Nutritionist","n/a"
"Citizens Bancorp,"Inc."","Director","Nan S. Cole","n/a","n/a","2014","n/a","n/a"
"Citizens Bancorp,"Inc."","Director","William M. Russell","n/a","n/a","2014","Managing Gen. Partner Russell Brothers.","n/a"
```
