```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Citizens Bancorp of Oviedo,"Inc."","Winter Park,"FL"","2016","Anna Ondick","n/a","38812","6.30%","n/a"
"Citizens Bancorp of Oviedo,"Inc."","Oviedo,"Florida"","2016","Jonathan S. Lukas","n/a","33346","5.41%","n/a"
"Citizens Bancorp of Oviedo,"Inc."","Oviedo,"Florida"","2016","Arthur Evans","n/a","39007","6.33%","n/a"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Citizens Bancorp of Oviedo,"Inc."","Director","Bernard O. Blackwood","President","Blackwood Construction","2016","Construction","131034"
"Citizens Bancorp of Oviedo,"Inc."","President/CEO","Richard H. Lee","n/a","n/a","2016","None","131034"
"Citizens Bancorp of Oviedo,"Inc."","President/CEO","Richard H. Lee","n/a","Lee Farms LLC","2016","None","131034"
"Citizens Bancorp of Oviedo,"Inc."","Vice Chair & Director","Anna Ondick","President","n/a","2016","Retired","131034"
"Citizens Bancorp of Oviedo,"Inc."","Director","David Duda","President & CEO","A Duda & Sons Inc","2016","President & CEO of A Duda & Sons Inc","131034"
"Citizens Bancorp of Oviedo,"Inc."","Director","Don Drummer","Retired","n/a","2016","None","131034"
"Citizens Bancorp of Oviedo,"Inc."","Director","Jonathan S. Lukas","President","Red Fox Trucking,"Inc."","2016","President of Trucking company","131034"
"Citizens Bancorp of Oviedo,"Inc."","Director","W. Rex Clonts","President","Clonts Groves","2016","Farmer","131034"
"Citizens Bancorp of Oviedo,"Inc."","Director","W. Rex Clonts","President","Clonts Farms","2016","Farmer","131034"
"Citizens Bancorp of Oviedo,"Inc."","Director","Robert G. Martin","n/a","n/a","2016","None","131034"
"Citizens Bancorp of Oviedo,"Inc."","Director","Louis P. Tulp","Real Estate Agent","Axel Real Estate","2016","Real Estate Agent","131034"
"Citizens Bancorp of Oviedo,"Inc."","Chairman & Director","Arthur F. Evans","President of","Nelson & Co.","2016","Mangement of Citrus and Property","131034"
"Citizens Bancorp of Oviedo,"Inc."","Director","Don Jacobs","n/a","First Chair Investments LLC","2016","Retired","131034"
"Citizens Bancorp of Oviedo,"Inc."","Executive Vice President","Terry Vargo","n/a","n/a","2016","None","131034"
"Citizens Bancorp of Oviedo,"Inc."","Executive Vice President","Tim Slattery","n/a","n/a","2016","None","131034"
"Citizens Bancorp of Oviedo,"Inc."","Executive Vice President/CFO","Gregory E. Smith","n/a","n/a","2016","None","131034"
```
