```csv
SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
```
```csv
INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Citizens B & T Holdings,"Inc."","Director/Chairman","Michael W. Alred","Board member","Marshall Health System","2022","n/a","n/a"
"Citizens B & T Holdings,"Inc."","Director/Chairman","Michael W. Alred","Board member","Dayspring Christian Counseling","2022","n/a","n/a"
"Citizens B & T Holdings,"Inc."","Director/Chairman","Michael W. Alred","Elder/Trustee","Grace Fellowship Presbyterian Church","2022","n/a","n/a"
"Citizens B & T Holdings,"Inc."","CEO/President/Director","Charles A. Williams","City of Guntersville Board Member","Public Building Authority,","2022","n/a","n/a"
"Citizens B & T Holdings,"Inc."","CFO/EVP","Terri Waddell","Managing Member","South Life Real Estate,"LLC"","2022","n/a","n/a"
"Citizens B & T Holdings,"Inc."","COO/EVP","Susan Tully","Secretary","Tully Landscape,"Inc."","2022","n/a","n/a"
"Citizens B & T Holdings,"Inc."","EVP","Corey Williams","managing member","Williams Properties,"LLC"","2022","n/a","n/a"
"Citizens B & T Holdings,"Inc."","EVP","Corey Williams","Member","Lakeview Farms,"LLC"","2022","n/a","n/a"
"Citizens B & T Holdings,"Inc."","EVP","Corey Williams","Member","Williams Franklin Properties","2022","n/a","n/a"
"Citizens B & T Holdings,"Inc."","EVP","Gary Smith","Senior Pastor","White Oak Baptist Church","2022","n/a","n/a"
"Citizens B & T Holdings,"Inc."","Director","K. Scotty Hawk","member","Clowdus Family Properties,"LLC"","2022","n/a","n/a"
"Citizens B & T Holdings,"Inc."","Director","K. Scotty Hawk","Member","Garber Equipment","2022","n/a","n/a"
"Citizens B & T Holdings,"Inc."","Director","Laura Kappler Roberts","President/CEO/Owner","Kappler,"Inc."","2022","n/a","n/a"
"Citizens B & T Holdings,"Inc."","Director","Laura Kappler Roberts","Director/Owner","KSG Realty LLC","2022","n/a","n/a"
"Citizens B & T Holdings,"Inc."","Director","Robert L. Hembree","Pres","TDF Finance,"Inc"","2022","TDF Finance Inc","n/a"
"Citizens B & T Holdings,"Inc."","Director","Robert L. Hembree","Pres","The Driving Factor","2022","TDF Finance Inc","n/a"
"Citizens B & T Holdings,"Inc."","Director","Robert L. Hembree","Pres","Auto Sales,"Pres"","2022","TDF Finance Inc","n/a"
"Citizens B & T Holdings,"Inc."","Director","Robert J. Weathers","Pres","Weathers Hardware & Appliance,"Inc."","2022","Weathers Hardware & Appliance","n/a"
"Citizens B & T Holdings,"Inc."","Director","Robert J. Weathers","Pres","Rentals of Marshall County,"Inc. dba Weathers Rental Center"","2022","Weathers Hardware & Appliance","n/a"
"Citizens B & T Holdings,"Inc."","Director","Robert J. Weathers","partner","Magnolia Real Estate,"LLC"","2022","Weathers Hardware & Appliance","n/a"
"Citizens B & T Holdings,"Inc."","Director","Robert J. Weathers","owner","Bob Weathers Properties","2022","Weathers Hardware & Appliance","n/a"
"Citizens B & T Holdings,"Inc."","Director","Robert J. Weathers","Partner","Sand Mountain Investment Club II","2022","Weathers Hardware & Appliance","n/a"
"Citizens B & T Holdings,"Inc."","Director","Robert J. Weathers","partner","Independent Square,"LLC"","2022","Weathers Hardware & Appliance","n/a"
"Citizens B & T Holdings,"Inc."","Director","Joseph J. Chorba,"Jr."","CEO","Chorba Contracting,"Inc."","2022","Chorba Contracting,"Inc"","n/a"
"Citizens B & T Holdings,"Inc."","Director","Joseph J. Chorba,"Jr."","Partner","Fly By Night","2022","Chorba Contracting,"Inc"","n/a"
"Citizens B & T Holdings,"Inc."","Director","Joseph J. Chorba,"Jr."","Partner","Barnett & Chorba","2022","Chorba Contracting,"Inc"","n/a"
"Citizens B & T Holdings,"Inc."","Director","Joseph J. Chorba,"Jr."","member","R & J Properties LLC","2022","Chorba Contracting,"Inc"","n/a"
"Citizens B & T Holdings,"Inc."","Director","Joseph J. Chorba,"Jr."","member","LH Waters,"LLC"","2022","Chorba Contracting,"Inc"","n/a"
"Citizens B & T Holdings,"Inc."","Director","Joseph J. Chorba,"Jr."","member","Big Spring Watershed,"LLC"","2022","Chorba Contracting,"Inc"","n/a"
