```csv
SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Citizens Bank & Trust Company","University Park,"MD"","2018","WSS Family Trust","n/a","6242.00","21.31%","n/a"
"Citizens Bank & Trust Company","St. Simons Island,"GA"","2018","Lynda S. Franklin","n/a","6284.00","21.24%","n/a"
"Citizens Bank & Trust Company","Eastman,"GA"","2018","Lynda S. Franklin","n/a","6284.00","21.24%","n/a"
"Citizens Bank & Trust Company","Los Angeles,"CA"","2018","Jay-Gould W. Stuckey","n/a","2104","7.50%","n/a"
"Citizens Bank & Trust Company","Tallahassee,"FL"","2018","Russell D. Franklin,"III"","n/a","1668","5.72%","n/a"
```
```csv
INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Citizens Bank & Trust Company","Director Emeritus","W. S. Stuckey,"Jr."","n/a","Stuckey Timberland,"Inc."","2018","Business Executive","364131"
"Citizens Bank & Trust Company","Director Emeritus","W. S. Stuckey,"Jr."","n/a","Stuckey's Corporation","2018","Business Executive","364131"
"Citizens Bank & Trust Company","Director Emeritus","W. S. Stuckey,"Jr."","n/a","Atlantis,"Inc."","2018","Business Executive","364131"
"Citizens Bank & Trust Company","Director Emeritus","W. S. Stuckey,"Jr."","n/a","Stuckey's Family Favorites Incorporated","2018","Business Executive","364131"
"Citizens Bank & Trust Company","Director Emeritus","W. S. Stuckey,"Jr."","n/a","Jackie's Gun and Pawn","2018","Business Executive","364131"
"Citizens Bank & Trust Company","Director Emeritus","W. S. Stuckey,"Jr."","n/a","Stuckey's / DQ of Bagdad,"LLC"","2018","Business Executive","364131"
"Citizens Bank & Trust Company","Director Emeritus","W. S. Stuckey,"Jr."","n/a","Stuckey's / DQ of Summerton,"LLC"","2018","Business Executive","364131"
"Citizens Bank & Trust Company","Director Emeritus","W. S. Stuckey,"Jr."","n/a","Stuckey Holdings,"LLC"","2018","Business Executive","364131"
"Citizens Bank & Trust Company","Director Emeritus","Lynda S. Franklin","n/a","Stuckey Timberland,"Inc."","2018","Business Executive","364131"
"Citizens Bank & Trust Company","Director Emeritus","Lynda S. Franklin","n/a","Franklin,"Inc."","2018","Business Executive","364131"
"Citizens Bank & Trust Company","Director Emeritus","Lynda S. Franklin","n/a","Franklin Investments,"LP"","2018","Business Executive","364131"
"Citizens Bank & Trust Company","Director Emeritus","Lynda S. Franklin","n/a","Tijuana Trading Co.","2018","Business Executive","364131"
"Citizens Bank & Trust Company","Director Emeritus","Edward R. Davis,"Jr."","Director","Stuckey Timberland,"Inc."","2018","Retired","364131"
"Citizens Bank & Trust Company","Director Emeritus","Edward R. Davis,"Jr."","Director","Bank of Dudley","2018","Retired","364131"
"Citizens Bank & Trust Company","Director Emeritus","Edward R. Davis,"Jr."","Director","Stuckey Holdings,"LLC"","2018","Retired","364131"
"Citizens Bank & Trust Company","Director","Gregory W. Griffith","n/a","Stuckey's Corporation","2018","Certified Public Accountant","364131"
"Citizens Bank & Trust Company","Director","Gregory W. Griffith","n/a","Stuckey Holdings,"LLC"","2018","Certified Public Accountant","364131"
"Citizens Bank & Trust Company","Director","Gregory W. Griffith","n/a","Stuckey's Family Favorites Incorporated","2018","Certified Public Accountant","364131"
"Citizens Bank & Trust Company","Director","Gregory W. Griffith","n/a","WSS Family Trust","2018","Certified Public Accountant","364131"
"Citizens Bank & Trust Company","Director","Russell D. Franklin,"III"","n/a","Stuckey Timberland,"Inc."","2018","Professor","364131"
"Citizens Bank & Trust Company","Director","Russell D. Franklin,"III"","n/a","Franklin Investments,"LP"","2018","Professor","364131"
"Citizens Bank & Trust Company","Director","Russell D. Franklin,"III"","n/a","Franklin,"Inc."","2018","Professor","364131"
"Citizens Bank & Trust Company","Director","Jay-Gould Stuckey","n/a","Stuckey Timberland,"Inc."","2018","Artist","364131"
"Citizens Bank & Trust Company","Director","Wade B. Hall","Director","Citizens Bank and Trust Company","2018","Forester","364131"
"Citizens Bank & Trust Company","Director","Wade B. Hall","Director","Stuckey Timberland,"Inc."","2018","Forester","364131"
"Citizens Bank & Trust Company","Director","Wade B. Hall","Director","Non-Typical Properties,"LLC"","2018","Forester","364131"
"Citizens Bank & Trust Company","Director","Wade B. Hall","Director","Southern Hills Development,"LLC"","2018","Forester","364131"
"Citizens Bank & Trust Company","Director","Wade B. Hall","Director","Stuckey Holdings,"LLC"","2018","Forester","364131"
"Citizens Bank & Trust Company","Director","Henry Barclay,"III"","n/a","Stuckey Timberland,"Inc."","2018","Certified Public Accountant in public practice","364131"
"Citizens Bank & Trust Company","Chairman/CEO","G. Mike Odom,"Jr."","n/a","Stuckey Timberland,"Inc."","2018","Bank Executive","364131"
"Citizens Bank & Trust Company","Chairman/CEO","G. Mike Odom,"Jr."","n/a","The Mulberry Company,"LLC"","2018","Bank Executive","364131"
"Citizens Bank & Trust Company","Chairman/CEO","G. Mike Odom,"Jr."","n/a","Briarcrest Enterprises,"LLC"","2018","Bank Executive","364131"
"Citizens Bank & Trust Company","Chairman/CEO","G. Mike Odom,"Jr."","n/a","17 Ventures,"LLC"","2018","Bank Executive","364131"
