```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Citizens Investors","Winter Park,"FL"","2014","Bush Investments,"Inc."","n/a","52518","5.73%","3813443"
"Citizens Investors","Savannah,"Georgia"","2014","Mark V. Smith","n/a","71018","7.74%","3813443"
"Citizens Investors","Savannah,"Georgia"","2014","Mark V. Smith Investments,"Inc."","n/a","50000","5.45%","3813443"
"Citizens Investors","Savannah Georgia","2014","Michael J. Kistler","n/a","101045","11.02%","3813443"
"Citizens Investors","Winter Park,"Florida"","2014","Prince Investments,"Inc"","n/a","52518","5.73%","3813443"
"Citizens Investors","Savannah,"Georgia"","2014","James G. Lindley Jr. and Stephanie Lindley","n/a","50000","5.45%","3813443"
"Citizens Investors","Savannah,"Georgia"","2014","Citizens Investors,"LLC"","n/a","39189","20.77%","3813443"
"Citizens Investors","Savannah,"Georgia"","2014","Mark V. Smith Investments,"Inc."","n/a","17021","10.72%","3813443"
"Citizens Investors","Charleston,"South Carolina"","2014","Pickney Street,"LLC"","n/a","14979","7.94%","3813443"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"S Bank","Managing Member","Michael J. Kistler","President:","Development Associates,"Inc"","2014","Real Estate Development","n/a"
"S Bank","Managing Member","Michael J. Kistler","Manager:","DAI Partners,"LLC"","2014","Real Estate Development","n/a"
"S Bank","Managing Member","Michael J. Kistler","Manager:","Golf Associates,"LLC"","2014","Real Estate Development","n/a"
"S Bank","Managing Member","Michael J. Kistler","Manager:","North Godley Highlands,"LLC"","2014","Real Estate Development","n/a"
"S Bank","Managing Member","Michael J. Kistler","Manager:","DAI South Carolina,"LLC"","2014","Real Estate Development","n/a"
"S Bank","Managing Member","Michael J. Kistler","Manager:","Hutch Holdings,"LLC"","2014","Real Estate Development","n/a"
"S Bank","Managing Member","Michael J. Kistler","Manager:","DAI I,"LLC"","2014","Real Estate Development","n/a"
"S Bank","Managing Member","Michael J. Kistler","Manager:","Godley Station Holdings,"LLC"","2014","Real Estate Development","n/a"
"S Bank","Managing Member","Michael J. Kistler","Manager:","DAI IV,"LLC"","2014","Real Estate Development","n/a"
"S Bank","Managing Member","Michael J. Kistler","Manager:","DAI Claxton,"LLC"","2014","Real Estate Development","n/a"
"S Bank","Managing Member","Michael J. Kistler","Manager:","Stephenson Avenue Financial Center,"LLC"","2014","Real Estate Development","n/a"
"S Bank","Managing Member","Michael J. Kistler","Manager:","17 Park of Commerce,"LLC"","2014","Real Estate Development","n/a"
"S Bank","Managing Member","Michael J. Kistler","Manager:","9 Park of Commerce,"LLC"","2014","Real Estate Development","n/a"
"S Bank","Managing Member","Michael J. Kistler","Manager:","Nordic Contractors,"LLC"","2014","Real Estate Development","n/a"
"S Bank","Managing Member","Michael J. Kistler","Manager:","DAI AB Plaza,"LLC"","2014","Real Estate Development","n/a"
"S Bank","Managing Member","Michael J. Kistler","Manager:","DAI Parkway Plaza,"LLC"","2014","Real Estate Development","n/a"
"S Bank","Managing Member","Michael J. Kistler","Manager:","Morgan Center,"LLC"","2014","Real Estate Development","n/a"
"S Bank","Managing Member","Michael J. Kistler","Manager:","N515KJ,"LLC"","2014","Real Estate Development","n/a"
"S Bank","Managing Member","Michael J. Kistler","Manager:","FS Savannah,"LLC"","2014","Real Estate Development","n/a"
"S Bank","Managing Member","Michael J. Kistler","Manager:","FOA Holdings,"LLC"","2014","Real Estate Development","n/a"
"S Bank","Managing Member","Michael J. Kistler","Manager:","Kistler Partners,"LLC"","2014","Real Estate Development","n/a"
"S Bank","Managing Member","Michael J. Kistler","Manager:","Berkeley Hall Partners,"LLC"","2014","Real Estate Development","n/a"
"S Bank","Managing Member","Michael J. Kistler","Manager:","Turtle Partners,"LLC"","2014","Real Estate Development","n/a"
"S Bank","Director","Jeffrey R. Tucker","Partner","Hirsch & Tucker,"LLC"","2014","Certified Public Accountant","n/a"
"S Bank","Chairman of the Board","Mark V. Smith","Managing partner","Bay Street Investors","2014","Hotel Owner","n/a"
"S Bank","Chairman of the Board","Mark V. Smith","Managing partner","Prince Bush Smith Hotels","2014","Hotel Owner","n/a"
"S Bank","Chairman of the Board","Mark V. Smith","Managing partner","Savannah Investors","2014","Hotel Owner","n/a"
"S Bank","Chairman of the Board","Mark V. Smith","Managing partner","Savannah Investors - H","2014","Hotel Owner","n/a"
"S Bank","Chairman of the Board","Mark V. Smith","Managing partner","Oglethorpe Investors","2014","Hotel Owner","n/a"
"S Bank","Chairman of the Board","Mark V. Smith","CEO","Chatam Water Company","2014","Hotel Owner","n/a"
"S Bank","Chairman of the Board","Mark V. Smith","CEO","South Atlantic Utilities,"Inc."","2014","Hotel Owner","n/a"
"S Bank","Chairman of the Board","Mark V. Smith","CEO","Middle Georgia Water Company","2014","Hotel Owner","n/a"
"S Bank","Chairman of the Board","Mark V. Smith","CEO","Coastal Georgia Water Company","2014","Hotel Owner","n/a"
"S Bank","Chairman of the Board","Mark V. Smith","CEO","Water Utility Management,"LLC"","2014","Hotel Owner","n/a"
"S Bank","Chairman of the Board","Mark V. Smith","CEO","May River Water Company","2014","Hotel Owner","n/a"
"S Bank","Managing Member","Patrick T. O'Conner","Partner","Oliver Maner,"LLP"","2014","Lawyer","n/a"
"S Bank","Director","Elsie R. Chisholm","Attorney","Bouhan Falligant,"LLP"","2014","Attorney","n/a"
"S Bank","Vice President","Don C. Martin","Vice President","Rotary,"Inc"","2014","Rotary,"Inc. - Vice President"","n/a"
"S Bank","Director","Jeanie Anderson","Partner","J&J Farms","2014","n/a","n/a"
"S Bank","President,"CEO","& Director"","Dana Potts","n/a","n/a","2014","n/a","n/a"
"S Bank","Director","Thomas J. Hussey","Branch Manager","Raymond James","2014","Raymond James - Branch Manager","n/a"
```
