```text
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Clinton Bancshares,"Inc."","Clinton,"LA"","2017","Leslie D. Ligon,"Jr."","n/a","1296","13.99%","n/a"
"Clinton Bancshares,"Inc."","Clinton,"LA"","2017","Dennis R. Aucoin","n/a","869","9.38%","n/a"
"Clinton Bancshares,"Inc."","Ethel,"LA"","2017","Rubye L. Engquist","n/a","650","7.02%","n/a"
"Clinton Bancshares,"Inc."","Clinton,"La."","2017","Ann Reiley Jones","n/a","568","6.13%","n/a"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Clinton Bancshares,"Inc"","Director and Chairman","Leslie D. Ligon,"Jr."","Employee","Ligon Law Office","2017","Lawyer","n/a"
"Clinton Bancshares,"Inc"","Director and Chairman","Leslie D. Ligon,"Jr."","10% Owner","Feliciana Title Co.","2017","Lawyer","n/a"
"Clinton Bancshares,"Inc"","Director and Chairman","Leslie D. Ligon,"Jr."","100% Owner","Mill Site,"LLC"","2017","Lawyer","n/a"
"Clinton Bancshares,"Inc"","Director and President","Thomas B. Legleu","None","None","2017","Banker","n/a"
"Clinton Bancshares,"Inc"","Director","Robert D. Ligon","100% owner","Ligon Law Office","2017","Attorney","n/a"
"Clinton Bancshares,"Inc"","Director","Robert D. Ligon","100% owner","AA Abstract,"LLC"","2017","Attorney","n/a"
"Clinton Bancshares,"Inc"","Director","Robert D. Ligon","90% owner","Feliciana Title,"Co."","2017","Attorney","n/a"
"Clinton Bancshares,"Inc"","Director","Dennis R. Aucoin","100% owner","Slaughter Logging,"LLC"","2017","Logger","n/a"
"Clinton Bancshares,"Inc"","Director","James Nugent","25% owner","Nugent Steel Co.","2017","Businessman","n/a"
"Clinton Bancshares,"Inc"","Director","James Nugent","50% owner","Jefferson Oaks","2017","Businessman","n/a"
"Clinton Bancshares,"Inc"","Director","James Nugent","34% owner","Nugent Properties,"LLC"","2017","Businessman","n/a"
"Clinton Bancshares,"Inc"","Director","James Nugent","34% owner","Ironwood,"LLC"","2017","Businessman","n/a"
"Clinton Bancshares,"Inc"","Director","James Nugent","15% owner","Big Creek,"LLC"","2017","Businessman","n/a"
"Clinton Bancshares,"Inc"","Director","James Nugent","10% owner","Hollywood at Norwood,"LLC"","2017","Businessman","n/a"
"Clinton Bancshares,"Inc"","Director","Ross Maggio","NONE","NONE","2017","Cattleman","n/a"
"Clinton Bancshares,"Inc"","Director","John W. Barton,"Jr."","10% owner","Beech Grove Management,"Inc."","2017","Attorney","n/a"
"Clinton Bancshares,"Inc"","Director","John W. Barton,"Jr."","25% owner","Beech Grove Land Co.","2017","Attorney","n/a"
"Clinton Bancshares,"Inc"","Director","John W. Barton,"Jr."","Non equity partner","Breazeal,"Sachre","& Wilson"","2017","Attorney","n/a"
"Clinton Bancshares,"Inc"","Director","John W. Barton,"Jr."","14.25% owner","Bercham Associates,"LLC"","2017","Attorney","n/a"
"Clinton Bancshares,"Inc"","Director","John W. Barton,"Jr."","14.25% owner","Bercham Holding,"Co.","Inc."","2017","Attorney","n/a"
"Clinton Bancshares,"Inc"","Director","John W. Barton,"Jr."","10% owner","Bayou Choctaw,"LLC"","2017","Attorney","n/a"
"Clinton Bancshares,"Inc"","Director","John W. Barton,"Jr."","40% owner","Black River Point,"LLC"","2017","Attorney","n/a"
"Clinton Bancshares,"Inc"","Director","John W. Barton,"Jr."","40% owner","Lottie Land West,"LLC"","2017","Attorney","n/a"
"Clinton Bancshares,"Inc"","Director","John W. Barton,"Jr."","2% owner","Mickens Road Land Co.","2017","Attorney","n/a"
"Clinton Bancshares,"Inc"","Director","Phil T. Graham","50% owner","Heritage Land & Investments,"LLC"","2017","Certified Public Accountant","n/a"
"Clinton Bancshares,"Inc"","Director","Phil T. Graham","100% owner","Phil T. Graham CPA APAC","2017","Certified Public Accountant","n/a"
"Clinton Bancshares,"Inc"","Director","Phil T. Graham","50% owner","Heritage Rental Property,"LLC"","2017","Certified Public Accountant","n/a"
"Clinton Bancshares,"Inc"","Director","Reginald A. Covington","NONE","NONE","2017","Retired","n/a"
"Clinton Bancshares,"Inc"","Director","Charlene Smith","NONE","NONE","2017","Retired","n/a"
```
