Here are the two CSV tables extracted from the document:
```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Coffee County Bancshares,"Inc."","Manchester,"TN"","2020","Daniel Powers","Common Stock","49.83489","18%","n/a"
"Coffee County Bancshares,"Inc."","Manchester,"TN"","2020","Howard Vaden,"Jr."","Common Stock","25.1909","9%","n/a"
"Coffee County Bancshares,"Inc."","Manchester,"TN"","2020","James D. Riddle","Common Stock","33.86232","12%","n/a"
"Coffee County Bancshares,"Inc."","Nashville,"TN"","2020","Nancy Davis","Common Stock","20.17272","7%","n/a"
"Coffee County Bancshares,"Inc."","Manchester,"TN"","2020","Edward Henley","Common Stock","30.51687","11%","n/a"
"Coffee County Bancshares,"Inc."","Manchester,"TN"","2020","Kenneth C. Kirby","Common Stock","23.05323","8%","n/a"
"Coffee County Bancshares,"Inc."","Manchester,"TN"","2020","Pamela Powers","Common Stock","28.85438","10%","n/a"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Coffee County Bancshares,"Inc."","Director & Secretary","James D. Riddle","President","Riddle Trucking & Concrete","2020","Trucking & Concrete","n/a"
"Coffee County Bancshares,"Inc."","Director & Secretary","James D. Riddle","Partner","Murfreesboro Properties","2020","Trucking & Concrete","n/a"
"Coffee County Bancshares,"Inc."","Director & Secretary","James D. Riddle","Partner","Coffee County Ready Mix","2020","Trucking & Concrete","n/a"
"Coffee County Bancshares,"Inc."","Director & Secretary","James D. Riddle","Partner","Hunters Court Properties","2020","Trucking & Concrete","n/a"
"Coffee County Bancshares,"Inc."","Director & Secretary","James D. Riddle","Partner","CHRR Properties","2020","Trucking & Concrete","n/a"
"Coffee County Bancshares,"Inc."","Director & Secretary","James D. Riddle","Partner","BLR Investments","2020","Trucking & Concrete","n/a"
"Coffee County Bancshares,"Inc."","Director & Secretary","James D. Riddle","Partner","A&B Properties","2020","Trucking & Concrete","n/a"
"Coffee County Bancshares,"Inc."","Director & Secretary","James D. Riddle","Partner","Klondike Properties","2020","Trucking & Concrete","n/a"
"Coffee County Bancshares,"Inc."","Director & Secretary","James D. Riddle","Partner","Murfreesboro Funeral Home","2020","Trucking & Concrete","n/a"
"Coffee County Bancshares,"Inc."","Board Chairman Director","Edward Henley","President & Owner","Henley Propane,"Inc."","2020","Propane Dealer","n/a"
"Coffee County Bancshares,"Inc."","Board Chairman Director","Edward Henley","Owner","Henley Farms","2020","Propane Dealer","n/a"
"Coffee County Bancshares,"Inc."","Board Chairman Director","Edward Henley","Owner","Hilltop Trailer Court","2020","Propane Dealer","n/a"
"Coffee County Bancshares,"Inc."","Board Chairman Director","Edward Henley","Co-Owner","Henley Mini Storage","2020","Propane Dealer","n/a"
"Coffee County Bancshares,"Inc."","Director","B. Rush Bricken","n/a","n/a","2020","TN State Representative","n/a"
"Coffee County Bancshares,"Inc."","President Director","Daniel Powers","President","Char-el Apartments","2020","Real Estate Investments","n/a"
"Coffee County Bancshares,"Inc."","President Director","Daniel Powers","Owner","Powers Storage,"LLC"","2020","Real Estate Investments","n/a"
"Coffee County Bancshares,"Inc."","President Director","Daniel Powers","Owner","Powers Real Estate Rentals","2020","Real Estate Investments","n/a"
"Coffee County Bancshares,"Inc."","President Director","Daniel Powers","Partner","Piggy Back Financial Group","2020","Real Estate Investments","n/a"
"Coffee County Bancshares,"Inc."","President Director","Daniel Powers","Partner","Murfreesboro Funeral Home","2020","Real Estate Investments","n/a"
"Coffee County Bancshares,"Inc."","Vice President Director","Kenneth C. Kirby","n/a","n/a","2020","n/a","n/a"
"Coffee County Bancshares,"Inc."","Vice President Director","Jerry White","Owner/President","Al White Motors,"Inc."","2020","Automobile Dealership Owner","n/a"
"Coffee County Bancshares,"Inc."","Vice President Director","Jerry White","Owner/President","White and Company","2020","Automobile Dealership Owner","n/a"
"Coffee County Bancshares,"Inc."","Vice President Director","Carter Sain","n/a","n/a","2020","n/a","n/a"
"Coffee County Bancshares,"Inc."","Controller","Angie D. Morris","n/a","n/a","2020","n/a","n/a"
"Coffee County Bancshares,"Inc."","n/a","Brandon Hall","n/a","n/a","2020","n/a","n/a"
"Coffee County Bancshares,"Inc."","n/a","Amanda Montes","n/a","n/a","2020","n/a","n/a"
```
