```text
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Community Bankshares,"Inc."","LaGrange,"GA"","2016","George W. Baker,"Jr."","Common Stock","641115","16.27%","n/a"
"Community Bankshares,"Inc."","LaGrange,"GA"","2016","E. David Hart,"Jr."","Common Stock","396238","10.06%","n/a"
"Community Bankshares,"Inc."","LaGrange GA","2016","C. Christopher Joseph","Common Stock","645630","16.39%","n/a"
"Community Bankshares,"Inc."","Union Springs,"AL"","2016","Thomas May","Common Stock","642115","16.30%","n/a"
"Community Bankshares,"Inc."","Gainsville,"GA"","2016","Thomas W. Sheffield","Common Stock","642115","16.30%","n/a"
"Community Bankshares,"Inc."","LaGrange,"GA"","2016","William R. Stump,"Jr."","Common Stock","653085","16.58%","n/a"
"Community Bankshares,"Inc."","Cornelia,"GA"","2016","Nancy H. Stovall","Common Stock","320695","8.14%","n/a"
"Community Bankshares,"Inc."","Prattville,"AL"","2016","Roger Townley","Common Stock","641125","16.27%","n/a"
"Community Bankshares,"Inc."","Cornelia,"GA"","2016","Wingate Family","Common Stock","501000","12.72%","n/a"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Community Bankshares,"Inc."","Director","George W. Baker,"Jr."","Director","Community Bank & Trust- West Georgia","2016","Dentist","n/a"
"Community Bankshares,"Inc."","Principal Securities Holder","E. David Hart,"Jr."","President","Mountville Mills,"Inc."","2016","President/Mountville Mills,"Inc. (Mfg)"","n/a"
"Community Bankshares,"Inc."","Director","C. Christopher Joseph","Partner","Gay & Joseph,"PC"","2016","CPA","n/a"
"Community Bankshares,"Inc."","Director","Thomas May","Director","Community Bank & Trust-Alabama","2016","Retired","n/a"
"Community Bankshares,"Inc."","President & CEO,"Director (Chairman)"","William R. Stump,"Jr."","Pres.,"CEO and Chairman of BOD"","Community Bank & Trust - West Georgia","2016","n/a","n/a"
"Community Bankshares,"Inc."","Director","Roger Townley","Director","Community Bank & Trust - Alabama","2016","Retired","n/a"
"Community Bankshares,"Inc."","Director","Thomas W. Sheffield","Diretor","Community Bank & Trust - West Georgia","2016","Retired","n/a"
"Community Bankshares,"Inc."","Principal Securities Holder","Linda H. Wingate","n/a","n/a","2016","Retired","n/a"
"Community Bankshares,"Inc."","EVP/AL Division","Dave G. Bryant","Pres.,"CEO and Director"","Community Bank & Trust - Alabama","2016","n/a","n/a"
"Community Bankshares,"Inc."","EVP & Chief Credit Officer","George H. Riddle,"III"","EVP & Chief Credit Officer","Community Bank & Trust - West GA","2016","n/a","n/a"
"Community Bankshares,"Inc."","EVP & CFO","Emily A. Lowery","EVP & CFO","Community Bank & Trust - West GA","2016","n/a","n/a"
"Community Bankshares,"Inc."","SVP,"Corp Sec. & Dir. HR"","Kay L. Carlisle","SVP,"Corp. Sec. & Dir HR"","Community Bank & Trust - West GA","2016","n/a","n/a"
```
