```csv
SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Community Bancshares of Mississippi,"ESOP"","Memphis,"TN"","2016","First Tennessee Bank,"National Association"","Sole Trustee","n/a","n/a","n/a"
"Community Bancshares of Mississippi","Flowood,"Mississippi"","2016","Thomas W. Colbert","n/a","435010","23.37%","n/a"
"Community Bancshares of Mississippi","Flowood,"Mississippi"","2016","Colbert Stock,"L.P."","n/a","244807","13.15%","n/a"
"Community Bancshares of Mississippi","Brandon,"Mississippi"","2016","Community Bancshares of Mississippi,"Inc. Employee Stock Ownership Plan"","n/a","321446","17.27%","n/a"
"Community Bancshares Coast,"Inc."","Brandon,"Mississippi"","2016","Community Banchsares of Mississippi,"Inc."","n/a","476744","100.00%","n/a"
```
```csv
INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Community Bancshares of Mississippi,"ESOP"","Sole Trustee","First Tennessee Bank,"National Association"","n/a","n/a","2016","n/a","n/a"
"Community Bancshares of Mississippi","Senior Chairman of the Board","Thomas W. Colbert","Chairman Emeritus","Community Bank of Mississippi","2016","Banker","n/a"
"Community Bancshares of Mississippi","Senior Chairman of the Board","Thomas W. Colbert","Chairman Emeritus","Community Bank,"Ellisville","Mississippi"","2016","Banker","n/a"
"Community Bancshares of Mississippi","Senior Chairman of the Board","Thomas W. Colbert","Director Emeritus","Community Bank,"Coast"","2016","Banker","n/a"
"Community Bancshares of Mississippi","Senior Chairman of the Board","Thomas W. Colbert","Director Emeritus","Community Bank,"North Mississippi"","2016","Banker","n/a"
"Community Bancshares of Mississippi","Senior Chairman of the Board","Thomas W. Colbert","Chairman of the Board","Bankers Capital Corporation","2016","Banker","n/a"
"Community Bancshares of Mississippi","Senior Chairman of the Board","Thomas W. Colbert","Chairman and President","Colbert Foundation","2016","Banker","n/a"
"Community Bancshares of Mississippi","Senior Chairman of the Board","Thomas W. Colbert","General and Limited Partner","Colbert Stock,"L.P."","2016","Banker","n/a"
"Community Bancshares of Mississippi","Senior Chairman of the Board","Thomas W. Colbert","General and Limited Partner","Colbert Family,"L.P."","2016","Banker","n/a"
"Community Bancshares of Mississippi","Senior Chairman of the Board","Thomas W. Colbert","Sole Member","Refuge LLC","2016","Banker","n/a"
"Community Bancshares of Mississippi","Senior Chairman of the Board","Thomas W. Colbert","Chairman and Director","CB Foundation,"Inc."","2016","Banker","n/a"
"Community Bancshares of Mississippi","Chairman of the Board","Freddie J. Bagley","Vice Chairman","Community Bank of Mississippi","2016","Banker","n/a"
"Community Bancshares of Mississippi","Chairman of the Board","Freddie J. Bagley","Senior Chairman of the Board","Community Bank,"Ellisville","Mississippi"","2016","Banker","n/a"
"Community Bancshares of Mississippi","Chairman of the Board","Freddie J. Bagley","Director Emeritus","Community Bank,"Coast"","2016","Banker","n/a"
"Community Bancshares of Mississippi","Chairman of the Board","Freddie J. Bagley","Director Emeritus","Community Bank,"North Mississippi"","2016","Banker","n/a"
"Community Bancshares of Mississippi","Chairman of the Board","Freddie J. Bagley","President and Director","CB Foundation","2016","Banker","n/a"
"Community Bancshares of Mississippi","President Chief Executive Officer","Charles W. Nicholson,"Jr."","Senior Chairman of the Board","Community Bank,"Coast"","2016","Banker","n/a"
"Community Bancshares of Mississippi","President Chief Executive Officer","Charles W. Nicholson,"Jr."","Chairman of the Board","Community Bank of Mississippi","2016","Banker","n/a"
"Community Bancshares of Mississippi","President Chief Executive Officer","Charles W. Nicholson,"Jr."","President and CEO","Community Bancshares of MS,"Inc."","2016","Banker","n/a"
"Community Bancshares of Mississippi","Vice Chairman Chief Operating Officer","David M. Hughes","Chairman of the Board","Community Bank,"Coast"","2016","Banker","n/a"
"Community Bancshares of Mississippi","Vice Chairman Chief Operating Officer","David M. Hughes","Vice Chairman and COO","Community Bancshares of MS,"Inc."","2016","Banker","n/a"
"Community Bancshares of Mississippi","Vice Chairman Chief Operating Officer","David M. Hughes","Director","Community Operations,"Inc."","2016","Banker","n/a"
"Community Bancshares of Mississippi","Vice Chairman Administration","B. Darrell Brown","Vice Chairman","Community Bank of Mississippi","2016","Banker","n/a"
"Community Bancshares of Mississippi","Vice Chairman Administration","B. Darrell Brown","Director","Community Operations,"Inc."","2016","Banker","n/a"
"Community Bancshares of Mississippi","Vice Chairman Chief Credit Officer","Wyman M. Jones","Vice Chairman","Community Bank,"North Mississippi"","2016","Banker","n/a"
"Community Bancshares of Mississippi","Vice Chairman Chief Finanical Officer","Timothy P. Gray","CEO,"Director"","Community Bancshares Coast,"Inc."","2016","Banker","n/a"
"Community Bancshares of Mississippi","Vice Chairman Chief Finanical Officer","Timothy P. Gray","Chief Financial Officer","Community Operations,"Inc."","2016","Banker","n/a"
"Community Bancshares of Mississippi","Vice Chairman Chief Finanical Officer","Timothy P. Gray","Senior VP and CFO","Bankers Capital Corporation","2016","Banker","n/a"
