```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Community Capital Bancshares,"Inc."","Cordele,"GA"","2018","Earle P. Spurlock","n/a","64186","5.21%","n/a"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Community Capital Bancshares,"Inc."","Director","James L. Bacon,"III",","Member","Oakland Plantation Partners,"LLC"","2018","Retired","n/a"
"Community Capital Bancshares,"Inc."","Director","Ben J. Barrow,","Managing Partner & Sec./Treas.","Artesian Contracting Co.,"Inc."","2018","Commercial Building Contractor","n/a"
"Community Capital Bancshares,"Inc."","Director","Ben J. Barrow,","Manager","Rohan Properties,"LLC"","2018","Commercial Building Contractor","n/a"
"Community Capital Bancshares,"Inc."","Director","Ben J. Barrow,","Manager","BAM Group,"LLC"","2018","Commercial Building Contractor","n/a"
"Community Capital Bancshares,"Inc."","Director","Ben J. Barrow,","Manager","RBM,"LLC"","2018","Commercial Building Contractor","n/a"
"Community Capital Bancshares,"Inc."","Director","Ben J. Barrow,","Manager","Barrow-Scott Farms,"LLC"","2018","Commercial Building Contractor","n/a"
"Community Capital Bancshares,"Inc."","Director","Ben J. Barrow,","Manager","Flogil,"LLC"","2018","Commercial Building Contractor","n/a"
"Community Capital Bancshares,"Inc."","Director","Ben J. Barrow,","Manager","Pace Canopy,"LLC"","2018","Commercial Building Contractor","n/a"
"Community Capital Bancshares,"Inc."","Director & Vice Chairman","Walker D. Davis,","Member","Davis Family Properties,"LLC"","2018","Business Owner","n/a"
"Community Capital Bancshares,"Inc."","Director & Vice Chairman","Walker D. Davis,","Member","Fluff & Fold,"LLC"","2018","Business Owner","n/a"
"Community Capital Bancshares,"Inc."","Director & Vice Chairman","Walker D. Davis,","Member","SSMS,"LLC"","2018","Business Owner","n/a"
"Community Capital Bancshares,"Inc."","Director & Vice Chairman","Walker D. Davis,","Member","Plantation Cattle,"LLC"","2018","Business Owner","n/a"
"Community Capital Bancshares,"Inc."","Director & Vice Chairman","Walker D. Davis,","Secretary","Route Master,"Inc."","2018","Business Owner","n/a"
"Community Capital Bancshares,"Inc."","Director & Vice Chairman","Walker D. Davis,","President","Route Master II,"Inc."","2018","Business Owner","n/a"
"Community Capital Bancshares,"Inc."","Director & Vice Chairman","Walker D. Davis,","Secretary","Route Master LH,"Inc."","2018","Business Owner","n/a"
"Community Capital Bancshares,"Inc."","Director","Mary Helen Dykes,","Director","GMJ","2018","Retired","n/a"
"Community Capital Bancshares,"Inc."","Director","Mary Helen Dykes,","Director & President","McCormack Foundation","2018","Retired","n/a"
"Community Capital Bancshares,"Inc."","Director","Mary Helen Dykes,","Director","McCormack Siblings,"LLC"","2018","Retired","n/a"
"Community Capital Bancshares,"Inc."","Director,"Chairman","President & CEO"","James L. Flatt,","n/a","n/a","2018","Banker","n/a"
"Community Capital Bancshares,"Inc."","Director","Justin Jones,","Owner","Little H Farms,"LLC"","2018","Farming","n/a"
"Community Capital Bancshares,"Inc."","Director","Justin Jones,","Co-Owner","Jones West Farms,"LLC"","2018","Farming","n/a"
"Community Capital Bancshares,"Inc."","Director","Justin Jones,","Co-Owner","Jones Bros. Farms,"GP"","2018","Farming","n/a"
"Community Capital Bancshares,"Inc."","Director","Justin Jones,","Co-Owner","Looney Birds,"LLC"","2018","Farming","n/a"
"Community Capital Bancshares,"Inc."","Director","Justin Jones,","Co-Owner","Jones West Citrus Farms","2018","Farming","n/a"
"Community Capital Bancshares,"Inc."","Director","Justin Jones,","Co-Owner","Mooselips,"LLC"","2018","Farming","n/a"
"Community Capital Bancshares,"Inc."","Director","Justin Jones,","Co-Owner","Sowega Moose,"LLC"","2018","Farming","n/a"
"Community Capital Bancshares,"Inc."","Director","Laurence Kirk Jones,","President","Jones Farms of Warwick,"Inc."","2018","Farming","n/a"
"Community Capital Bancshares,"Inc."","Director","Laurence Kirk Jones,","Partner","Doles Grain,"LLC"","2018","Farming","n/a"
"Community Capital Bancshares,"Inc."","Director","Laurence Kirk Jones,","Partner & Officer","Doles Peanut Co.","2018","Farming","n/a"
"Community Capital Bancshares,"Inc."","Director","William J. McAfee,","Partner","Radiation Oncology Associates,"PC"","2018","Physician","n/a"
"Community Capital Bancshares,"Inc."","Director","William J. McAfee,","Managing Partner","Fowltown Farms,"LLC"","2018","Physician","n/a"
"Community Capital Bancshares,"Inc."","Director","William J. McAfee,","Partner","Sherwood Properties","2018","Physician","n/a"
"Community Capital Bancshares,"Inc."","Director","William J. McAfee,","Partner","Pinecrest Partners,"LP"","2018","Physician","n/a"
"Community Capital Bancshares,"Inc."","Director","William J. McAfee,","Partner","Fowltown Investments Santa Rosa,"LLC"","2018","Physician","n/a"
"Community Capital Bancshares,"Inc."","Director","William J. McAfee,","Partner","McAfee Properties,"Inc."","2018","Physician","n/a"
"Community Capital Bancshares,"Inc."","Director","William J. McAfee,","Partner","Marc & Jay Rents","2018","Physician","n/a"
"Community Capital Bancshares,"Inc."","Director","F. Faison Middleton,"IV",","Managing Partner","Watson Spence,"LLP"","2018","Attorney","n/a"
"Community Capital Bancshares,"Inc."","Director","F. Faison Middleton,"IV",","Member","Three Twenty Residence,"LLC"","2018","Attorney","n/a"
"Community Capital Bancshares,"Inc."","Director","F. Faison Middleton,"IV",","Member / Manager","Frabo Properties,"LLC"","2018","Attorney","n/a"
"Community Capital Bancshares,"Inc."","Director","F. Faison Middleton,"IV",","Member / Manager","North Worth Timber Co.,"LLC"","2018","Attorney","n/a"
"Community Capital Bancshares,"Inc."","Director","John L. Reese,"IV",","Director","LRA Constructors,"Inc."","2018","Commercial Building Contractor","n/a"
"Community Capital Bancshares,"Inc."","Director","Jenny Y. Savelle,","CEO/CFO","Bishop Clean Care,"Inc."","2018","Business Owner","n/a"
"Community Capital Bancshares,"Inc."","Director","Jenny Y. Savelle,","President","KLW Trading Inc.","2018","Business Owner","n/a"
"Community Capital Bancshares,"Inc."","Director","Jenny Y. Savelle,","Member","KLW Global,"LLC"","2018","Business Owner","n/a"
"Community Capital Bancshares,"Inc."","Director","Bridges Sinyard,","Vice President","Adams Exterminators,"Inc."","2018","Business Manager","n/a"
"Community Capital Bancshares,"Inc."","Director","Bridges Sinyard,","Manager","Smada Investments","2018","Business Manager","n/a"
"Community Capital Bancshares,"Inc."","Director","Bridges Sinyard,","Manager","Smada Rentals","2018","Business Manager","n/a"
"Community Capital Bancshares,"Inc."","Director","Jeffrey D. Wiggins,","Member","DJ's II Carwash,"Inc."","2018","Business Owner","n/a"
"Community Capital Bancshares,"Inc."","Director","Jeffrey D. Wiggins,","Member","Oasis Car Wash,"Inc."","2018","Business Owner","n/a"
"Community Capital Bancshares,"Inc."","Director","Jeffrey D. Wiggins,","Member","Wiggins Enterprises,"LLC"","2018","Business Owner","n/a"
"Community Capital Bancshares,"Inc."","Director","Jeffrey D. Wiggins,","Member","Artesian Holdings,"LLC"","2018","Business Owner","n/a"
"Community Capital Bancshares,"Inc."","Director","Jeffrey D. Wiggins,","Member","J-Co Enterprises of GA,"LLC"","2018","Business Owner","n/a"
"Community Capital Bancshares,"Inc."","Director","Jeffrey D. Wiggins,","Member","Sowega Warehousing","2018","Business Owner","n/a"
"Community Capital Bancshares,"Inc."","Director","Jeffrey D. Wiggins,","Member","Remerton Mill","2018","Business Owner","n/a"
"Community Capital Bancshares,"Inc."","Director","Jeffrey D. Wiggins,","Member","Kiokee Creek,"LLP"","2018","Business Owner","n/a"
"Community Capital Bancshares,"Inc."","Director","Lawrence B. Willson,","President & CEO","Sunnyland Farms,"Inc."","2018","Business Owner","n/a"
"Community Capital Bancshares,"Inc."","Director","Lawrence B. Willson,","Sole Member","Willson Farming Co.,"LLC"","2018","Business Owner","n/a"
```
