```text
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"CSRA Bank Corp","Wrens,"GA"","2022","Jerry D./Susan O. Dowdy","Common Stock","19000","9.02%","n/a"
"CSRA Bank Corp","Wrens,"GA"","2022","Elaine A. Jones","Common Stock","13875","6.59%","n/a"
"CSRA Bank Corp","Wrens,"GA"","2022","Marian Lamb","Common Stock","12812","6.08%","n/a"
"CSRA Bank Corp","Wrens,"GA"","2022","Atwell-Rabun Properties LLC","Common Stock","17394","8.26%","n/a"
"CSRA Bank Corp","Wrens,"GA"","2022","Robert B. Lewis","Common Stock","17424","8.27%","n/a"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"CSRA Bank Corp","Director","Robert W. Culpepper","Realtor","DeFoor Realty Group","2022","Realtor","n/a"
"CSRA Bank Corp","Director","Mark D. Davis","Partner","Jones,"Jones","Davis","CPAs","LLC"","2022","Accountant","n/a"
"CSRA Bank Corp","Director","Mark D. Davis","Owner","Red Raider Realty,"LLC"","2022","Accountant","n/a"
"CSRA Bank Corp","Director","Mark D. Davis","co-owner","Affordable Properties and Rentals","2022","Accountant","n/a"
"CSRA Bank Corp","Director & Chairman","Jerry D. Dowdy","President","Thames Pecan Co.,"Inc"","2022","Pecan production/Retired","n/a"
"CSRA Bank Corp","Director & Chairman","Jerry D. Dowdy","President","Atwell Pecan Co","2022","Pecan production/Retired","n/a"
"CSRA Bank Corp","Director & Chairman","Jerry D. Dowdy","Member","Orchards Gourmet Nuts","2022","Pecan production/Retired","n/a"
"CSRA Bank Corp","Director & Chairman","Jerry D. Dowdy","Partner","Desirable Investments,"LLP"","2022","Pecan production/Retired","n/a"
"CSRA Bank Corp","Director","James E. Fleming,"Jr."","Co-owner","BFH Projects,"LLC"","2022","Pharmacist","n/a"
"CSRA Bank Corp","Director","James E. Fleming,"Jr."","Co-owner","The Louisville Project LLC","2022","Pharmacist","n/a"
"CSRA Bank Corp","Director","J. Brian Whitaker","President/CEO","Avera Industrial Supply,"Inc."","2022","Retail hardware sales","n/a"
"CSRA Bank Corp","Director","Mac T. Reeves","President","Green's Cut Properties,"Inc."","2022","Timber sales","n/a"
"CSRA Bank Corp","Director","James L Gay","n/a","J & C Farm Inc.","2022","Famer","n/a"
"CSRA Bank Corp","Director","Charlotte L Glimore","Secretary","Rocky Comfort Forest Products","2022","Retired","n/a"
"CSRA Bank Corp","Director","Eugene Lee Clark","n/a","n/a","2022","n/a","n/a"
"CSRA Bank Corp","Executive VP/CFO","James H. Standard,"Jr."","n/a","n/a","2022","n/a","n/a"
"CSRA Bank Corp","CEO/President","David T. Jopling","Member/Partner","Jopling Investments LLC","2022","n/a","n/a"
"CSRA Bank Corp","Senior Lender/SVP","Patrick Miller","n/a","n/a","2022","n/a","n/a"
```
