```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"DNB Financial Services,"Inc."","Douglas,"Ga"","2021","Elton D. Brooks,"Jr."","n/a","100000","12.0724%","n/a"
"DNB Financial Services,"Inc."","Douglas,"Ga"","2021","Luke E. Morgan","n/a","83000","10.0213%","n/a"
"DNB Financial Services,"Inc."","West Green,"Ga"","2021","Kerry Van Moore","n/a","81333","9.8200%","n/a"
"DNB Financial Services,"Inc."","Douglas,"Ga"","2021","Stuart S. Smith","n/a","66575","8.0382%","n/a"
"DNB Financial Services,"Inc."","Douglas,"Ga"","2021","Dr. Gregory G. Goggans","n/a","58333","7.0832%","n/a"
"DNB Financial Services,"Inc."","Douglas,"Ga"","2021","Margie Amin","n/a","52000","6.2784%","n/a"
"DNB Financial Services,"Inc."","Douglas,"Ga"","2021","Diann V. Lott","n/a","45000","5.4332%","n/a"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"DNB Financial Services,"Inc."","Director & President","Elton D. Brooks,"Jr."","n/a","n/a","2021","n/a","n/a"
"DNB Financial Services,"Inc."","Director","Luke E. Morgan","n/a","n/a","2021","n/a","n/a"
"DNB Financial Services,"Inc."","EVP & CFO","Tonia Guthrie","n/a","n/a","2021","n/a","n/a"
"DNB Financial Services,"Inc."","Director & Chairman","Dr. Gregory G. Goggans","n/a","Gregory Goggans,"DMD","MS"","2021","Orthodontist","n/a"
"DNB Financial Services,"Inc."","Director","Kerry Van Moore","n/a","Part-Time Aviation,"LLC"","2021","Farmer","n/a"
"DNB Financial Services,"Inc."","Director","Elton D. Brooks,"III"","n/a","n/a","2021","Farmer","n/a"
"DNB Financial Services,"Inc."","Director","Nathaniel A. Carter,"Jr."","n/a","Specialized Structures,"Inc."","2021","CEO","n/a"
"DNB Financial Services,"Inc."","Director","Nathaniel A. Carter,"Jr."","n/a","Ware Forest,"Inc"","2021","CEO","n/a"
"DNB Financial Services,"Inc."","Director","Nathaniel A. Carter,"Jr."","n/a","Madison Timberlands,"LLC"","2021","CEO","n/a"
"DNB Financial Services,"Inc."","Director","Nathaniel A. Carter,"Jr."","n/a","Hamilton Timberlands,"LLC"","2021","CEO","n/a"
"DNB Financial Services,"Inc."","Director","Nathaniel A. Carter,"Jr."","n/a","BC W Groves,"Inc."","2021","CEO","n/a"
"DNB Financial Services,"Inc."","Director","Nathaniel A. Carter,"Jr."","n/a","Pineland Aviation-Hanger","2021","CEO","n/a"
"DNB Financial Services,"Inc."","Director","Nathaniel A. Carter,"Jr."","n/a","Toasty Foods of Douglas,"LLC"","2021","CEO","n/a"
"DNB Financial Services,"Inc."","Director","Nathaniel A. Carter,"Jr."","n/a","Toasty Foods of Brunswick,"LLC"","2021","CEO","n/a"
"DNB Financial Services,"Inc."","Director","Nathaniel A. Carter,"Jr."","n/a","BenTec,"LLC"","2021","CEO","n/a"
"DNB Financial Services,"Inc."","Director","Nathaniel A. Carter,"Jr."","n/a","Southeast Modular-Ellaville","2021","CEO","n/a"
"DNB Financial Services,"Inc."","Director","Nathaniel A. Carter,"Jr."","n/a","301 Land Investment,"LLC"","2021","CEO","n/a"
"DNB Financial Services,"Inc."","Director","Nathaniel A. Carter,"Jr."","n/a","Med. Cab. Of Ocilla,"LLC"","2021","CEO","n/a"
"DNB Financial Services,"Inc."","Director","Nathaniel A. Carter,"Jr."","n/a","Med. Cab. Of Douglas,"LLC"","2021","CEO","n/a"
"DNB Financial Services,"Inc."","Director","Nathaniel A. Carter,"Jr."","n/a","Med. Cab. Of Alma,"LLC"","2021","CEO","n/a"
"DNB Financial Services,"Inc."","Director","Nathaniel A. Carter,"Jr."","n/a","Med. Cab. Of Hazlehurst,"LLC"","2021","CEO","n/a"
"DNB Financial Services,"Inc."","Director","Nathaniel A. Carter,"Jr."","n/a","Med. Cab. Of Waycross-Downtown,"LLC"","2021","CEO","n/a"
"DNB Financial Services,"Inc."","Director","Nathaniel A. Carter,"Jr."","n/a","Carter Marketing,"LLC"","2021","CEO","n/a"
"DNB Financial Services,"Inc."","Director","Nathaniel A. Carter,"Jr."","n/a","TMC RX Mgt.,"LLC"","2021","CEO","n/a"
"DNB Financial Services,"Inc."","Director","Nathaniel A. Carter,"Jr."","n/a","Vidalia SC,"LLC"","2021","CEO","n/a"
"DNB Financial Services,"Inc."","Director","Nathaniel A. Carter,"Jr."","n/a","CT Realty,"LLC"","2021","CEO","n/a"
"DNB Financial Services,"Inc."","Director","Nathaniel A. Carter,"Jr."","n/a","MPC,"LLC"","2021","CEO","n/a"
"DNB Financial Services,"Inc."","Director","Nathaniel A. Carter,"Jr."","n/a","Med. Cab. Of Waycross,"LLC"","2021","CEO","n/a"
"DNB Financial Services,"Inc."","Director","Nathaniel A. Carter,"Jr."","n/a","Yellow Fly Plantation,"LLC"","2021","CEO","n/a"
"DNB Financial Services,"Inc."","Director","Nathaniel A. Carter,"Jr."","n/a","YellowFly Water,"LLC"","2021","CEO","n/a"
"DNB Financial Services,"Inc."","Director","Nathaniel A. Carter,"Jr."","n/a","Dover Hall Plantation,"LLC"","2021","CEO","n/a"
"DNB Financial Services,"Inc."","Director","Nathaniel A. Carter,"Jr."","n/a","Kingsway Productions,"LLC"","2021","CEO","n/a"
"DNB Financial Services,"Inc."","Director","David Lott","n/a","Superior Financial Management Services,"LLC"","2021","n/a","n/a"
"DNB Financial Services,"Inc."","Director","David Lott","n/a","Douglas Investment Company,"LLC"","2021","n/a","n/a"
"DNB Financial Services,"Inc."","Director","David Lott","n/a","LN Property Associates,"LLC"","2021","n/a","n/a"
"DNB Financial Services,"Inc."","Director","David Lott","n/a","Crown Properties Group,"LLC"","2021","n/a","n/a"
"DNB Financial Services,"Inc."","Director","David Lott","n/a","Evergreen Subdivision,"LLC"","2021","n/a","n/a"
"DNB Financial Services,"Inc."","Director","David Lott","n/a","FDD,"LLC"","2021","n/a","n/a"
"DNB Financial Services,"Inc."","EVP & SLO","Michael Lott","n/a","n/a","2021","n/a","n/a"
```
