```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"First Citizens Financial Corporation","Dallas,"TX"","2015","Jonathan C. Seib","Common Stock","50000","3.16%","3549180"
"First Citizens Financial Corporation","Dallas,"TX"","2015","Jonathan C. Seib","Warrants","50000","2.97%","3549180"
"First Citizens Financial Corporation","Big Canoe,"GA"","2015","Charles M. Buckner","Common Stock","10000",".63%","3549180"
"First Citizens Financial Corporation","Big Canoe,"GA"","2015","Charles M. Buckner","Warrants","35000","2.15%","3549180"
"First Citizens Financial Corporation","Dahlonega,"GA"","2015","Leibel Family in Concert","Common Stock","52000","3.29%","3549180"
"First Citizens Financial Corporation","Dahlonega,"GA"","2015","Leibel Family in Concert","Warrants","32000","1.92%","3549180"
"First Citizens Financial Corporation","Dahlonega,"GA"","2015","Tanner Family in Concert","Common Stock","67500","4.27%","3549180"
"First Citizens Financial Corporation","Dahlonega,"GA"","2015","Tanner Family in Concert","Warrants","22500","1.34%","3549180"
"First Citizens Financial Corporation","Dawsonville,"GA"","2015","Pearson Family in Concert","Common Stock","95000","6.01%","3549180"
"First Citizens Financial Corporation","Dawsonville,"GA"","2015","Pearson Family in Concert","Warrants","80000","4.53%","3549180"
"First Citizens Financial Corporation","Ellijay,"GA"","2015","Sanford Family in Concert","Common Stock","55250","3.49%","3549180"
"First Citizens Financial Corporation","Ellijay,"GA"","2015","Sanford Family in Concert","Warrants","40000","2.39%","3549180"
"First Citizens Financial Corporation","Jasper,"GA"","2015","Lowe Family in Concert","Common Stock","200000","12.65%","3549180"
"First Citizens Financial Corporation","Dallas,"TX"","2015","Todd A. Seib","Common Stock","50000","3.16%","3549180"
"First Citizens Financial Corporation","Dallas,"TX"","2015","Todd A. Seib","Warrants","50000","2.97%","3549180"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"First Citizens Financial Corporation","Chairman of the Board Director","Michael L. Berg","Chairman of Dawson County Commissioners","Dawson County Commissioners","2015","County Commissioner","3549180"
"First Citizens Financial Corporation","Director/Secretary","Kevin K. Tanner","State House of Representatives","State House of Representatives","2015","Real Estate Development","3549180"
"First Citizens Financial Corporation","Director/Secretary","Kevin K. Tanner","Owner of Security Company","Tru-Vision Security Consultants,"Inc."","2015","Real Estate Development","3549180"
"First Citizens Financial Corporation","Director/Secretary","Kevin K. Tanner","Owner of R/E Investment,"LLC"","Tanco Investments,"LLC"","2015","Real Estate Development","3549180"
"First Citizens Financial Corporation","Director/Secretary","Kevin K. Tanner","Principal of R/E Development,"LLC"","Tanwal Investments,"LLC"","2015","Real Estate Development","3549180"
"First Citizens Financial Corporation","Director","Steven K. Leibel","Owner/Attorney","Steven Leibel,"PC"","2015","Attorney","3549180"
"First Citizens Financial Corporation","Director","John D. Pearson","Vice-President","Cold River Development,"Inc."","2015","Real Estate Development","3549180"
"First Citizens Financial Corporation","Director","John D. Pearson","Vice-President","Peco's,"Inc."","2015","Real Estate Development","3549180"
"First Citizens Financial Corporation","Director","John D. Pearson","Vice-President","Cold River Partners,"Inc."","2015","Real Estate Development","3549180"
"First Citizens Financial Corporation","Director","Eugene E. Pearson,"Jr."","President","Cold River Development,"Inc."","2015","Real Estate Development","3549180"
"First Citizens Financial Corporation","Director","Eugene E. Pearson,"Jr."","President","Peco's,"Inc."","2015","Real Estate Development","3549180"
"First Citizens Financial Corporation","Director","Eugene E. Pearson,"Jr."","President","Cold River Partners,"Inc."","2015","Real Estate Development","3549180"
"First Citizens Financial Corporation","President & CEO","John L. Lewis","n/a","Lewis Financial Group,"Inc."","2015","None","3549180"
"First Citizens Financial Corporation","Senior Vice-President & CFO","W. Bryan Hendrix","n/a","n/a","2015","None","3549180"
"First Citizens Financial Corporation","n/a","Michael T. Underwood","n/a","n/a","2015","None","3549180"
"First Citizens Financial Corporation","n/a","Lowe Family in Concert","Ryker Lowe,"President"","Jasper Jeep Dodge Chrysler,"LLC"","2015","Auto Dealership/Sales","3549180"
```
