```csv
SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"First Mercantile Financial Corporation","St Pete Beach,"FL"","2016","The Larry E Vickers Family","common stock","258794","22.57%","n/a"
"First Mercantile Financial Corporation","Annapolis,"MD"","2016","The Mark Davis Family","common stock","133189","11.62%","n/a"
"First Mercantile Financial Corporation","Cookeville,"TN"","2016","The Brad Wood Family","common stock","128046","11.18%","n/a"
"First Mercantile Financial Corporation","Cookeville,"TN"","2016","Putnam 1st Mercantile KSOP","common stock","88504","7.72%","n/a"
"First Mercantile Financial Corporation","Cookeville,"TN"","2016","The Terry Kendall Family","common stock","86200","7.51%","n/a"
```
```csv
INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"First Mercantile Financial Corporation","Chairman & Director","Larry E Vickers","Director","Southeastern Bancorp","2016","retired banker","n/a"
"First Mercantile Financial Corporation","Chairman & Director","Larry E Vickers","Director","Merantile LLC","2016","retired banker","n/a"
"First Mercantile Financial Corporation","Chairman & Director","Larry E Vickers","Director","Heneger & Vickers","2016","retired banker","n/a"
"First Mercantile Financial Corporation","Chairman & Director","Larry E Vickers","Director","Vickers Foundation","2016","retired banker","n/a"
"First Mercantile Financial Corporation","Director","Mark Davis,"M.D."","President","TranDavis PA","2016","medical doctor","n/a"
"First Mercantile Financial Corporation","Director","Mark Davis,"M.D."","Partner","Merantile LLC","2016","medical doctor","n/a"
"First Mercantile Financial Corporation","Director","Brad Wood","Director of Operations","Bradmark Industrial Coatings","2016","Director of Operations (Bradmark Industrial Coatings)","n/a"
"First Mercantile Financial Corporation","Director","Brad Wood","Director of Operations","Merantile LLC","2016","Director of Operations (Bradmark Industrial Coatings)","n/a"
"First Mercantile Financial Corporation","President & Director","Christopher Holloway","CEO/President & Director","n/a","2016","CEO / President of Putnam 1st Mercantile","n/a"
"First Mercantile Financial Corporation","Director","Ted McWilliams","Auctioneer","Tays Auctions","2016","auctioneer","n/a"
"First Mercantile Financial Corporation","Director","James T Martin","n/a","n/a","2016","retired banker","n/a"
"First Mercantile Financial Corporation","Director","Ricky Sherrell","President","Encompass Mfg","2016","President of Encompass Mfg","n/a"
"First Mercantile Financial Corporation","Director","Ricky Sherrell","President","Sherrell Investments","2016","President of Encompass Mfg","n/a"
"First Mercantile Financial Corporation","Director","Ricky Sherrell","President","MSI,"Inc"","2016","President of Encompass Mfg","n/a"
"First Mercantile Financial Corporation","Director","Anthony Moore","Pesident & CEO","Southeastern Bancorp","2016","Pesident & CEO of First Federal Bank","n/a"
"First Mercantile Financial Corporation","Director","Anthony Moore","Pesident & CEO","Cumberland Bancorp","2016","Pesident & CEO of First Federal Bank","n/a"
"First Mercantile Financial Corporation","Director","Anthony Moore","Pesident & CEO","First Investment Services","2016","Pesident & CEO of First Federal Bank","n/a"
"First Mercantile Financial Corporation","Director","Anthony Moore","Partner","Canterbury Properties","2016","Pesident & CEO of First Federal Bank","n/a"
"First Mercantile Financial Corporation","Director","Anthony Moore","Partner","A and A Proeprties","2016","Pesident & CEO of First Federal Bank","n/a"
"First Mercantile Financial Corporation","Director","Anthony Moore","Pesident & CEO","Autumn Place Inc","2016","Pesident & CEO of First Federal Bank","n/a"
"First Mercantile Financial Corporation","Director","Anthony Moore","Pesident & CEO","First Investment Services,"LLC"","2016","Pesident & CEO of First Federal Bank","n/a"
"First Mercantile Financial Corporation","Director","Anthony Moore","Pesident & CEO","Dogwood Development","2016","Pesident & CEO of First Federal Bank","n/a"
"First Mercantile Financial Corporation","Director","Anthony Moore","Pesident & CEO","Quality Aircraft Sales,"LLC"","2016","Pesident & CEO of First Federal Bank","n/a"
"First Mercantile Financial Corporation","Director","Anthony Moore","Pesident & CEO","Dickson Entertainment Equip Co. LLC","2016","Pesident & CEO of First Federal Bank","n/a"
"First Mercantile Financial Corporation","Director","Anthony Moore","Pesident & CEO","Canterbury Entertainment Properties","2016","Pesident & CEO of First Federal Bank","n/a"
"First Mercantile Financial Corporation","Director","Anthony Moore","Pesident & CEO","Square Mile Box Seat Properties","2016","Pesident & CEO of First Federal Bank","n/a"
"First Mercantile Financial Corporation","Director","Anthony Moore","Pesident & CEO","Manhatttan Group Properites LLC","2016","Pesident & CEO of First Federal Bank","n/a"
"First Mercantile Financial Corporation","Director","Anthony Moore","Pesident & CEO","Storekeeper Properties LLC","2016","Pesident & CEO of First Federal Bank","n/a"
"First Mercantile Financial Corporation","Director","Anthony Moore","Pesident & CEO","50-601 Music Row LLC","2016","Pesident & CEO of First Federal Bank","n/a"
"First Mercantile Financial Corporation","Director","Terry Kendall","President","Lakeland Electric Inc","2016","President of Lakeland Electric,"Inc"","n/a"
"First Mercantile Financial Corporation","Director","Terry Kendall","member","Burkesville Propeties","2016","President of Lakeland Electric,"Inc"","n/a"
"First Mercantile Financial Corporation","Director","Terry Kendall","Partner","Mercantile LLC","2016","President of Lakeland Electric,"Inc"","n/a"
"First Mercantile Financial Corporation","Director","Mohanlal Patel","Motel Owner","Motel 6 - Cookeville,"TN"","2016","Motel Owner","n/a"
```
