```text
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"First Southwest Corporation","McComb,"USA"","2022","James W. Covington","n/a","80338","27.4%","n/a"
"First Southwest Corporation","McComb,"USA"","2022","First Bank ESOP","n/a","45974","15.7%","n/a"
"First Southwest Corporation","Summit,"USA"","2022","Stella C Dodd","n/a","19440","6.6%","n/a"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"First Southwest Corporation","Chairman & CEO; Chairman & CEO of First Bank; Director First Bank","James W. Covington","Member","Covington Family,"LLC"","2022","Banker","n/a"
"First Southwest Corporation","Chairman & CEO; Chairman & CEO of First Bank; Director First Bank","James W. Covington","Partner","E.D. Covington L.P.","2022","Banker","n/a"
"First Southwest Corporation","Chairman & CEO; Chairman & CEO of First Bank; Director First Bank","James W. Covington","Member","YBrake Farms,"LLC"","2022","Banker","n/a"
"First Southwest Corporation","President and COO of First Bank; Director First Bank","Charlie H Lewis,"IV"","n/a","n/a","2022","Banker","n/a"
"First Southwest Corporation","Director; Director First Bank","E. G. Covington,"III"","Member","Covington Family,"LLC"","2022","Owner HydroClean","n/a"
"First Southwest Corporation","Director; Director First Bank","Victor H. Morrish","Retired","n/a","2022","Business Owner","n/a"
"First Southwest Corporation","Director; Director First Bank","Harrell E. Holloway,"Jr"","Partner","Alford Holloway & Smith,"CPA's"","2022","Accountant","n/a"
"First Southwest Corporation","Director; Director First Bank","Lucius Lampton,"MD"","Physician","Physican Magnolia Clinic","2022","Physican","n/a"
"First Southwest Corporation","Director; Director First Bank","Clifton Van Cleave","President","Buffalo Serivces Inc.","2022","Business Manager","n/a"
"First Southwest Corporation","Director; Director First Bank","Clifton Van Cleave","President","BKWIK,"LLC"","2022","Business Manager","n/a"
"First Southwest Corporation","Director; Director First Bank","Clifton Van Cleave","President","PFCT,"LLC"","2022","Business Manager","n/a"
"First Southwest Corporation","Director; Director First Bank","Johnny H. Nance","Retired","n/a","2022","Business Owner","n/a"
"First Southwest Corporation","Director; Director First Bank","Frankie J Montalvo","President","McComb Diesel,"Inc"","2022","Business Owner","n/a"
"First Southwest Corporation","Director; Director First Bank","Frankie J Montalvo","President","Fiber Plus,"LLC"","2022","Business Owner","n/a"
"First Southwest Corporation","Director; Director First Bank","Frankie J Montalvo","President","GilLilRay LLC","2022","Business Owner","n/a"
"First Southwest Corporation","Director; Director First Bank","L Grant Bennett","Law Office of L. Grant Bennett,"Sr"","n/a","2022","Attorney","n/a"
"First Southwest Corporation","n/a","First Bank Employees Stock Ownership Plan","n/a","n/a","2022","n/a","n/a"
"First Southwest Corporation","Sr Vice President","Stella C Dodd","n/a","n/a","2022","n/a","n/a"
"First Southwest Corporation","Sr Vice President","Vickie M Webb","n/a","n/a","2022","n/a","n/a"
"First Southwest Corporation","Sr Vice President","Richard C Dodd","n/a","n/a","2022","n/a","n/a"
```
