```text
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"First Vernon Bancshares,"Inc."","Vernon,"AL"","2015","Samuel F. Johnson","n/a","23784","41.21%","1139998"
"First Vernon Bancshares,"Inc."","Vernon,"AL"","2015","Samuel F. Johnson","n/a","10203","17.68%","1139998"
"First Vernon Bancshares,"Inc."","Vernon,"AL"","2015","Rebecca Lea Johnson","n/a","1506","2.61%","1139998"
"First Vernon Bancshares,"Inc."","Vernon,"AL"","2015","Rebecca Lea Johnson","n/a","32784","56.80%","1139998"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"First Vernon Bancshares,"Inc."","Secretary and Treasurer","Samuel F. Johnson","Chairman of the Board and Chief Executive Officer","Bank of Vernon & First Vernon Bancshares,"Inc."","2015","Banking","n/a"
"First Vernon Bancshares,"Inc."","Secretary and Treasurer","Rebecca Lea Johnson","Vice President and Director","Bank of Vernon & First Vernon Bancshares,"Inc."","2015","Banking","n/a"
"First Vernon Bancshares,"Inc."","Secretary and Treasurer","Rex Larry Huggins","Director","Bank of Vernon & First Vernon Bancshares,"Inc."","2015","Retired (Banking)","n/a"
"First Vernon Bancshares,"Inc."","Secretary and Treasurer","Samuel A. Johnson","Co-Chief Executive Officer,"Chief Financial Officer","and Director"","Bank of Vernon & First Vernon Bancshares,"Inc."","2015","Banking","n/a"
"First Vernon Bancshares,"Inc."","Secretary and Treasurer","Judy B. Biggers","Executive Vice President & Chief Operations Officer","Bank of Vernon & First Vernon Bancshares,"Inc."","2015","Banking","n/a"
"First Vernon Bancshares,"Inc."","Secretary and Treasurer","Don Callaway","Director","Bank of Vernon & First Vernon Bancshares,"Inc."","2015","Retired (Banking)","n/a"
"First Vernon Bancshares,"Inc."","Secretary and Treasurer","Jonathan A. Brown","Director","Bank of Vernon & First Vernon Bancshares,"Inc."","2015","District Judge","n/a"
"First Vernon Bancshares,"Inc."","Secretary and Treasurer","Charles Cook","Director","Bank of Vernon & First Vernon Bancshares,"Inc."","2015","(Retired) Pharmacist","n/a"
"First Vernon Bancshares,"Inc."","Secretary and Treasurer","W. Russell Brown","Director","Bank of Vernon & First Vernon Bancshares,"Inc."","2015","Insurance Executive","n/a"
"First Vernon Bancshares,"Inc."","Secretary and Treasurer","Justin Shelton","Director","Bank of Vernon & First Vernon Bancshares,"Inc."","2015","Media Executive & Remarketing/Export Executive","n/a"
"First Vernon Bancshares,"Inc."","Secretary and Treasurer","Larry W. Clark","Director","Bank of Vernon & First Vernon Bancshares,"Inc."","2015","President of Car Dealership","n/a"
"First Vernon Bancshares,"Inc."","Secretary and Treasurer","Charles W. Rigdon","Director","Bank of Vernon & First Vernon Bancshares,"Inc."","2015","President of Car Dealership","n/a"
"First Vernon Bancshares,"Inc."","Secretary and Treasurer","Marsha Granen","Vice President","Bank of Vernon & First Vernon Bancshares,"Inc."","2015","Banking","n/a"
"First Vernon Bancshares,"Inc."","Secretary and Treasurer","Joy Spencer","Co-Chief Executive Officer,"President"","Bank of Vernon & First Vernon Bancshares,"Inc."","2015","Banking","n/a"
"First Vernon Bancshares,"Inc."","Secretary and Treasurer","Karl Williams","Executive Vice President & Senior Credit Officer","Bank of Vernon & First Vernon Bancshares,"Inc."","2015","Banking","n/a"
"First Vernon Bancshares,"Inc."","Secretary and Treasurer","Larry W. Clark","n/a","Larry Clark Chevrolet-President","2015","n/a","n/a"
"First Vernon Bancshares,"Inc."","Secretary and Treasurer","Larry W. Clark","n/a","Clark Ford-President","2015","n/a","n/a"
"First Vernon Bancshares,"Inc."","Secretary and Treasurer","Larry W. Clark","n/a","Monroe Towing and Recovery- Owner","2015","n/a","n/a"
"First Vernon Bancshares,"Inc."","Secretary and Treasurer","Larry W. Clark","n/a","Rollingwood RE Dev. LLC","2015","n/a","n/a"
"First Vernon Bancshares,"Inc."","Secretary and Treasurer","Larry W. Clark","n/a","Clark Properties of Amory","2015","n/a","n/a"
"First Vernon Bancshares,"Inc."","Secretary and Treasurer","Charles W. Rigdon","n/a","Columbus Nissan,"Inc."","2015","n/a","n/a"
"First Vernon Bancshares,"Inc."","Secretary and Treasurer","Charles W. Rigdon","n/a","Columbus Hyundai,"LLC"","2015","n/a","n/a"
"First Vernon Bancshares,"Inc."","Secretary and Treasurer","Charles W. Rigdon","n/a","Rigdon & Street Properties,"LLC"","2015","n/a","n/a"
"First Vernon Bancshares,"Inc."","Secretary and Treasurer","Charles W. Rigdon","n/a","Tradewinds Investments,"LLC"","2015","n/a","n/a"
"First Vernon Bancshares,"Inc."","Secretary and Treasurer","W. Russell Brown","n/a","Brown & Associates,"LLC"","2015","n/a","n/a"
"First Vernon Bancshares,"Inc."","Secretary and Treasurer","Justin Shelton","n/a","Justin International-President","2015","n/a","n/a"
"First Vernon Bancshares,"Inc."","Secretary and Treasurer","Justin Shelton","n/a","Packet Media","2015","n/a","n/a"
```
