```csv
SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"First Vernon Bancshares,"Inc."","Vernon,"AL"","2020","Samuel F. Johnson","n/a","23784","41.21%","n/a"
"First Vernon Bancshares,"Inc."","Vernon,"AL"","2020","Samuel F. Johnson","n/a","10270","17.79%","n/a"
"First Vernon Bancshares,"Inc."","Vernon,"AL"","2020","Rebecca Lea Johnson","n/a","1506","2.61%","n/a"
"First Vernon Bancshares,"Inc."","Vernon,"AL"","2020","Rebecca Lea Johnson","n/a","32784","56.80%","n/a"
```
```csv
INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Bank of Vernon & First Vernon Bancshares,"Inc."","Director","Samuel F. Johnson","n/a","n/a","2020","Banking","n/a"
"Bank of Vernon & First Vernon Bancshares,"Inc."","1st Vice-Chairman","Samuel F. Johnson","n/a","n/a","2020","Banking","n/a"
"Bank of Vernon & First Vernon Bancshares,"Inc."","Vice President","Rebecca Lea Johnson","n/a","n/a","2020","n/a","n/a"
"Bank of Vernon & First Vernon Bancshares,"Inc."","Director","Rebecca Lea Johnson","n/a","n/a","2020","n/a","n/a"
"Bank of Vernon & First Vernon Bancshares,"Inc."","2nd Vice-Chairman","Rebecca Lea Johnson","n/a","n/a","2020","n/a","n/a"
"Bank of Vernon & First Vernon Bancshares,"Inc."","Director","Rex Larry Huggins","n/a","n/a","2020","Retired Banking","n/a"
"First Vernon Bancshares,"Inc."","Chairman","Samuel A. Johnson","n/a","n/a","2020","n/a","n/a"
"First Vernon Bancshares,"Inc."","Co-Chief Executive Officer","Samuel A. Johnson","n/a","n/a","2020","n/a","n/a"
"First Vernon Bancshares,"Inc."","Chief Financial Officer","Samuel A. Johnson","n/a","n/a","2020","n/a","n/a"
"Bank of Vernon & First Vernon Bancshares,"Inc."","Director","Samuel A. Johnson","n/a","n/a","2020","n/a","n/a"
"Bank of Vernon & First Vernon Bancshares,"Inc."","Executive Vice President","Judy B. Biggers","n/a","n/a","2020","Banking","n/a"
"Bank of Vernon & First Vernon Bancshares,"Inc."","Chief Operations Officer","Judy B. Biggers","n/a","n/a","2020","Banking","n/a"
"Bank of Vernon & First Vernon Bancshares,"Inc."","Director","Don Callaway","n/a","n/a","2020","Retired Banking","n/a"
"Bank of Vernon & First Vernon Bancshares,"Inc."","Director","Jonathan A. Brown","n/a","n/a","2020","Retired District Judge/Attorney","n/a"
"Bank of Vernon & First Vernon Bancshares,"Inc."","Director","Charles Cook","n/a","n/a","2020","Retired Pharmacist","n/a"
"Bank of Vernon & First Vernon Bancshares,"Inc."","Director","W. Russell Brown","n/a","Brown & Associates,"LLC"","2020","Insurance Executive","n/a"
"Bank of Vernon & First Vernon Bancshares,"Inc."","Director","W. Russell Brown","n/a","J&R Legacy LLC","2020","Insurance Executive","n/a"
"Bank of Vernon & First Vernon Bancshares,"Inc."","Director","W. Russell Brown","n/a","Action Auto,"Inc."","2020","Insurance Executive","n/a"
"Bank of Vernon & First Vernon Bancshares,"Inc."","Director","Justin Shelton","n/a","Justin International","2020","Media Executive & Remarketing/ Export Executive","n/a"
"Bank of Vernon & First Vernon Bancshares,"Inc."","Director","Justin Shelton","n/a","Packet Media","2020","Media Executive & Remarketing/ Export Executive","n/a"
"Bank of Vernon & First Vernon Bancshares,"Inc."","Director","Justin Shelton","n/a","CCT","2020","Media Executive & Remarketing/ Export Executive","n/a"
"Bank of Vernon & First Vernon Bancshares,"Inc."","Director","Larry W. Clark","n/a","Larry Clark Chevrolet","2020","President of Car Dealership","n/a"
"Bank of Vernon & First Vernon Bancshares,"Inc."","Director","Larry W. Clark","n/a","Clark Ford","2020","President of Car Dealership","n/a"
"Bank of Vernon & First Vernon Bancshares,"Inc."","Director","Larry W. Clark","n/a","Monroe Towing and Recovery","2020","President of Car Dealership","n/a"
"Bank of Vernon & First Vernon Bancshares,"Inc."","Director","Larry W. Clark","n/a","Rollingwood RE Dev. LLC","2020","President of Car Dealership","n/a"
"Bank of Vernon & First Vernon Bancshares,"Inc."","Director","Larry W. Clark","n/a","Clark Properties of Amory","2020","President of Car Dealership","n/a"
"Bank of Vernon & First Vernon Bancshares,"Inc."","Director","Charles W. Rigdon","n/a","Columbus Nissan,"Inc."","2020","President of Car Dealership","n/a"
"Bank of Vernon & First Vernon Bancshares,"Inc."","Director","Charles W. Rigdon","n/a","Columbus Hyundai,"LLC"","2020","President of Car Dealership","n/a"
"Bank of Vernon & First Vernon Bancshares,"Inc."","Director","Charles W. Rigdon","n/a","Rigdon & Street Properties,"LLC"","2020","President of Car Dealership","n/a"
"Bank of Vernon & First Vernon Bancshares,"Inc."","Director","Charles W. Rigdon","n/a","Tradewinds Investments,"LLC"","2020","President of Car Dealership","n/a"
"Bank of Vernon & First Vernon Bancshares,"Inc."","Director and Vice President","Marsha Granen","n/a","n/a","2020","Banking","n/a"
"Bank of Vernon & First Vernon Bancshares,"Inc."","Co-Chief Executive Officer","Joy Spencer","n/a","n/a","2020","Banking","n/a"
"Bank of Vernon & First Vernon Bancshares,"Inc."","President","Joy Spencer","n/a","n/a","2020","Banking","n/a"
"Bank of Vernon & First Vernon Bancshares,"Inc."","Executive Vice President","Karl Williams","n/a","n/a","2020","Banking","n/a"
"Bank of Vernon & First Vernon Bancshares,"Inc."","Senior Credit Officer","Karl Williams","n/a","n/a","2020","Banking","n/a"
```
