```text
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"First Volunteer Corporation","Longboat Key,"FL"","2015","Anderson,"Robert R."","n/a","76023","15.22%","n/a"
"First Volunteer Corporation","Longboat Key,"FL"","2015","Anderson,"Doralynn G."","n/a","76023","15.22%","n/a"
"First Volunteer Corporation","Longboat Key,"FL"","2015","Anderson Volunteer Holding,"Limited Partnership"","n/a","100000","20.02%","n/a"
"First Volunteer Corporation","Chatsworth,"GA"","2015","Mosteller,"Bobby T/Betty"","n/a","45269","9.06%","n/a"
"First Volunteer Corporation","Chatsworth,"GA"","2015","Mosteller,"Michelle"","n/a","33631","6.73%","n/a"
"First Volunteer Corporation","Chatsworth,"GA"","2015","Bartley,"Maria"","n/a","33631","6.73%","n/a"
"First Volunteer Corporation","Dalton,"GA"","2015","Mosteller,"Randy C./Suzanne"","n/a","42350","8.48%","n/a"
"First Volunteer Corporation","Dalton,"GA"","2015","Watts,"Jr.","G. H. & Family"","n/a","56206","11.25%","n/a"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"First Volunteer Corporation","Principal Shareholder","Anderson Volunteer Holding,"Limited Partner"","n/a","n/a","2015","Investor","n/a"
"First Volunteer Corporation","Director,"First Volunteer Bank"","Anderson,"Doralynn G."","n/a","n/a","2015","Investor","n/a"
"First Volunteer Corporation","Director,"First Volunteer Bank"","Anderson,"Howard"","n/a","Sprint","2015","National RF Engineering Business Operations Manager","n/a"
"First Volunteer Corporation","Chairman of the Board,"First Volunteer Corporation"","Anderson,"Robert R."","n/a","n/a","2015","Banker","n/a"
"First Volunteer Corporation","Principal Shareholder","Anderson,"Robert R."","n/a","n/a","2015","Banker","n/a"
"First Volunteer Corporation","Principal Shareholder","Bartley,"Maria"","n/a","n/a","2015","Investor","n/a"
"First Volunteer Corporation","Director,"First Volunteer Bank"","Berry,"Michael P."","President & Owner Berry Construction & Affiliated Companies","Berry Construction","2015","Construction","n/a"
"First Volunteer Corporation","Director,"First Volunteer Bank"","Berry,"Michael P."","President & Owner Berry Construction & Affiliated Companies","DG Enterprises","2015","Construction","n/a"
"First Volunteer Corporation","Executive Vice President","Cartwright,"Judy G."","n/a","n/a","2015","Banker","n/a"
"First Volunteer Corporation","Chief Information Officer","Cartwright,"Judy G."","n/a","n/a","2015","Banker","n/a"
"First Volunteer Corporation","Secretary,"First Volunteer Corporation"","Cartwright,"Judy G."","n/a","n/a","2015","Banker","n/a"
"First Volunteer Corporation","Secretary,"First Volunteer Bank"","Cartwright,"Judy G."","n/a","n/a","2015","Banker","n/a"
"First Volunteer Corporation","Director,"First Volunteer Bank"","Gallant,"Thomas G. III"","n/a","Marion Environmental","2015","Enviromental Assessment/Clean-Up","n/a"
"First Volunteer Corporation","Director,"First Volunteer Bank"","Gallant,"Thomas G. III"","n/a","MEA/Aqual Treat,"Inc."","2015","Enviromental Assessment/Clean-Up","n/a"
"First Volunteer Corporation","Director,"First Volunteer Bank"","Gallant,"Thomas G. III"","n/a","T & E Leasing","2015","Enviromental Assessment/Clean-Up","n/a"
"First Volunteer Corporation","Director,"First Volunteer Bank"","Goodwin,"Dwayne"","n/a","n/a","2015","Owner & CEO,"The Goodwin Group Holdings","LLC dba Save-a-Lot Food Stores"","n/a"
"First Volunteer Corporation","Executive Vice President","Griffin,"Donald W."","n/a","n/a","2015","Banker","n/a"
"First Volunteer Corporation","Human Resources Executive","Griffin,"Donald W."","n/a","n/a","2015","Banker","n/a"
"First Volunteer Corporation","Executive Vice President","Harrison,"Mark"","n/a","n/a","2015","Banker","n/a"
"First Volunteer Corporation","Chief Credit Officer","Harrison,"Mark"","n/a","n/a","2015","Banker","n/a"
"First Volunteer Corporation","Director,"First Volunteer Bank"","Hewgley,"John A."","n/a","n/a","2015","Insurance Agent","n/a"
"First Volunteer Corporation","Director,"First Volunteer Corporation"","Hewgley,"John A."","n/a","n/a","2015","Insurance Agent","n/a"
"First Volunteer Corporation","Director,"First Volunteer Bank"","Hutcherson,"James D."","Partner - Henderson,"Hutcherson & McCullough","PC"","Henderson,"Hutcherson & McCullough","PC"","2015","CPA","n/a"
"First Volunteer Corporation","Director,"First Volunteer Bank"","Hutcherson,"James D."","Partner - Henderson,"Hutcherson & McCullough","PC"","Freight Depot Partners. LLC","2015","CPA","n/a"
"First Volunteer Corporation","Director,"First Volunteer Bank"","Jackson,"Danny"","President - Walter Jackson Chevrolet","Walter Jackson Chevrolet","2015","Auto Dealer","n/a"
"First Volunteer Corporation","Executive Vice President","Jones,"Ronald C."","n/a","n/a","2015","Banker","n/a"
"First Volunteer Corporation","Commercial Lending Executive","Jones,"Ronald C."","n/a","n/a","2015","Banker","n/a"
"First Volunteer Corporation","Director,"First Volunteer Bank"","Morgan,"John R."","Partner - Thornbury,"Morgan & Richardson"","Thornbury,"Morgan & Richardson"","2015","Attorney","n/a"
"First Volunteer Corporation","Principal Shareholder","Mosteller,"Betty"","n/a","n/a","2015","Investor","n/a"
"First Volunteer Corporation","Director,"First Volunteer Corporation"","Mosteller,"Bobby T."","n/a","n/a","2015","Retired - Carpet Industry","n/a"
"First Volunteer Corporation","Principal Shareholder","Mosteller,"Michelle"","n/a","n/a","2015","Investor,"School Teacher"","n/a"
