```text
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"F&M Financial Corporation","Clarksville,"TN"","2022","Gaylon M. Lawrence,"Jr."","n/a","n/a","100%","n/a"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"F&M Bank","President,"Chairman and CEO"","William S. Stuard,"Jr."","n/a","None","2022","n/a","n/a"
"F&M Bank","Director/Principal Shareholder","Gaylon M. Lawrence,"Jr."","n/a","See Attachment A","2022","Business Owner","n/a"
"F&M Bank","EVP/CFO","C. DeWayne Olive","Owner","Olive Management Advisory Services","2022","n/a","n/a"
"F&M Bank","EVP/CFO","C. DeWayne Olive","Treasurer","Church of Christ at Trenton Crossing","2022","n/a","n/a"
"F&M Bank","Outside Lawrence Director","Jason West","Owner","Pointe West,"LLC"","2022","Executive Manager - Mountain Top Investments","n/a"
"F&M Bank","Outside Lawrence Director","Jason West","Owner","Pointe West Farms","2022","Executive Manager - Mountain Top Investments","n/a"
"F&M Bank","Outside Lawrence Director","Jason West","Owner","JKW Family Ltd Partnership","2022","Executive Manager - Mountain Top Investments","n/a"
"F&M Bank","Outside Lawrence Director","Jason West","Owner","Blue Ribbon Capital","2022","Executive Manager - Mountain Top Investments","n/a"
"F&M Bank","Outside Lawrence Director","Jason West","Owner","Old Castor River","2022","Executive Manager - Mountain Top Investments","n/a"
"F&M Bank","Outside Lawrence Director","Jason West","Partner","A&B Developers,"LLC"","2022","Executive Manager - Mountain Top Investments","n/a"
"F&M Bank","Outside Lawrence Director","Jason West","Partner","Kansas Webfeet LLC","2022","Executive Manager - Mountain Top Investments","n/a"
"F&M Bank","Executive Vice President","John Peck","n/a","None","2022","n/a","n/a"
```
