```csv
SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Forsyth Bancshares,"Inc."","Cumming,"Georgia"","2016","C & E Family Partnership","n/a","202876","5.85%","n/a"
"Forsyth Bancshares,"Inc."","Cumming,"Georgia"","2016","John Paul McGruder","n/a","176471","5.09%","n/a"
```
```csv
INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Forsyth Bancshares,"Inc."","Director","Jack W. Allen","President","Ingram Funeral Home","2016","Business Owner","n/a"
"Forsyth Bancshares,"Inc."","Director","Jack W. Allen","President","MMW Services LLC","2016","Business Owner","n/a"
"Forsyth Bancshares,"Inc."","Director","Jack W. Allen","President","Colonnade Crematory","2016","Business Owner","n/a"
"Forsyth Bancshares,"Inc."","Director","Catherine M. Amos","Partner","Slate Properties LLC","2016","Property Management","n/a"
"Forsyth Bancshares,"Inc."","Director","Catherine M. Amos","Partner","FC Cell Tower,"LLC"","2016","Property Management","n/a"
"Forsyth Bancshares,"Inc."","Director","Catherine M. Amos","Partner","640 River Farm,"LLC"","2016","Property Management","n/a"
"Forsyth Bancshares,"Inc."","Director & Vice Chairman","Jeffrey S. Bagley","Superior Court Judge","Bobby Bagley Family Limited Partnership","2016","Judge","n/a"
"Forsyth Bancshares,"Inc."","Director","Michael P. Bennett","General Manager","Parallise Prop","2016","Farmer","n/a"
"Forsyth Bancshares,"Inc."","Director","Michael P. Bennett","Owner","Bennett & Bryant Electrical,"LLC"","2016","Farmer","n/a"
"Forsyth Bancshares,"Inc."","Director","Michael P. Bennett","General Manager","Bennett Partners,"LLLP"","2016","Farmer","n/a"
"Forsyth Bancshares,"Inc."","Director","Bryan L. Bettis","Vice President","Midway Bldg. Supply Inc.","2016","Sales,"Building Supplies"","n/a"
"Forsyth Bancshares,"Inc."","Director","Bryan L. Bettis","Sec-Treasurer","Bettis Brothers LLC","2016","Sales,"Building Supplies"","n/a"
"Forsyth Bancshares,"Inc."","Director","Charles R. Castleberry","Managing Partner","LaRayoe,"LLC"","2016","Sales,"Light Fixtures"","n/a"
"Forsyth Bancshares,"Inc."","Director","Charles R. Castleberry","Managing Partner","B & C Properties","2016","Sales,"Light Fixtures"","n/a"
"Forsyth Bancshares,"Inc."","Director","Charles R. Castleberry","Owner","Castleberry Construction & Mgt.,"LLC"","2016","Sales,"Light Fixtures"","n/a"
"Forsyth Bancshares,"Inc."","Director","Charles R. Castleberry","Managing Partner","Westlake Leasing II,"LLC"","2016","Sales,"Light Fixtures"","n/a"
"Forsyth Bancshares,"Inc."","Director","E. Scott Hansard","President","Hansard Insurance","2016","Business Owner","n/a"
"Forsyth Bancshares,"Inc."","Director","E. Scott Hansard","Partner","H&H Investments","2016","Business Owner","n/a"
"Forsyth Bancshares,"Inc."","Director","Charles D. Ingram","n/a","n/a","2016","Investment Manager","n/a"
"Forsyth Bancshares,"Inc."","Director","John P. McGruder","Veterinarian","Crestview Animal Hospital,"LLC"","2016","Veterinarian","n/a"
"Forsyth Bancshares,"Inc."","Director","John P. McGruder","Director","Water Tower,"LLC"","2016","Veterinarian","n/a"
"Forsyth Bancshares,"Inc."","Director","John P. McGruder","Owner","Carroll House","2016","Veterinarian","n/a"
"Forsyth Bancshares,"Inc."","Director","John P. McGruder","Managing Partner","Five Springs Farm","2016","Veterinarian","n/a"
"Forsyth Bancshares,"Inc."","Director","John P. McGruder","Partner","Compless LLC","2016","Veterinarian","n/a"
"Forsyth Bancshares,"Inc."","Director","John P. McGruder","Gen. Partner","JMH Investment Partners LLLP","2016","Veterinarian","n/a"
"Forsyth Bancshares,"Inc."","Director","John P. McGruder","Partner","Etowah 306 Partners","2016","Veterinarian","n/a"
"Forsyth Bancshares,"Inc."","Director","John P. McGruder","Partner","Cherokee Cove Partnership","2016","Veterinarian","n/a"
"Forsyth Bancshares,"Inc."","Director","John P. McGruder","Partner","Pilgrim Mill Family Partnership,"LLLP"","2016","Veterinarian","n/a"
"Forsyth Bancshares,"Inc."","Director","John P. McGruder","Partner","JMH B Fund LLC","2016","Veterinarian","n/a"
"Forsyth Bancshares,"Inc."","Director","John P. McGruder","Manager","Harviell LLC","2016","Veterinarian","n/a"
"Forsyth Bancshares,"Inc."","Director & Chairman","James J. Myers","President","James J. Myers,"CPA","PC"","2016","CPA","n/a"
"Forsyth Bancshares,"Inc."","Director & Chairman","James J. Myers","President","Twenty West Corp","2016","CPA","n/a"
"Forsyth Bancshares,"Inc."","Director & Chairman","James J. Myers","Secretary","LMW Holdings,"Inc."","2016","CPA","n/a"
"Forsyth Bancshares,"Inc."","Director & Chairman","James J. Myers","Member","North Castleberry LLC","2016","CPA","n/a"
"Forsyth Bancshares,"Inc."","Director & Chairman","James J. Myers","Managing Member","Myers & Barnes LLC","2016","CPA","n/a"
"Forsyth Bancshares,"Inc."","Director","Kevin J. Tallant","Partner","Miles,"Hansford & Tallant","LLC"","2016","Lawyer","n/a"
"Forsyth Bancshares,"Inc."","Director","Jerry M. Wood","Owner","Wood Properties","2016","Property Developer","n/a"
"Forsyth Bancshares,"Inc."","CEO/President Director","Timothy M. Perry","Manager","Masters Court Properties,"LLC"","2016","N/A","n/a"
"Forsyth Bancshares,"Inc."","CEO/President Director","Timothy M. Perry","Partner","Sawnee Mtn. Investments,"LLC"","2016","N/A","n/a"
"Forsyth Bancshares,"Inc."","CFO & Secretary","Timothy D. Foreman","n/a","n/a","2016","N/A","n/a"
```
