```text
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"FSB BANCSHARES,"INC."","Church Point,"Louisiana"","2021","Estate of Theresa Burleigh","n/a","6388","12.36%","n/a"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"FSB BANCSHARES,"INC"","Director","Francis Burleigh,"III"","Sales Representative","J&M Industires","2021","Salesman","n/a"
"FSB BANCSHARES,"INC"","Director","Jeff Daigle","Owner & Manager","Main Street Shell","2021","Convenience Store","n/a"
"FSB BANCSHARES,"INC"","Director","Alfred Daigle","n/a","n/a","2021","Retired","n/a"
"FSB BANCSHARES,"INC"","Director","Ann Voitier","Attorney - Self Employed","n/a","2021","Attorney","n/a"
"FSB BANCSHARES,"INC"","Director","Thomas Murrel","n/a","n/a","2021","Retired","n/a"
"FSB BANCSHARES,"INC"","Director","Steve Barry","n/a","n/a","2021","Retired","n/a"
"FSB BANCSHARES,"INC"","Director","George Brouillette","President","Evangeline Brokerage","2021","Lumber Yard","n/a"
"FSB BANCSHARES,"INC"","Director","George Brouillette","General Manager","Jeff Davis Living Center","2021","Lumber Yard","n/a"
"FSB BANCSHARES,"INC"","Director","Phillip Smith","General Manager","Jeff Davis Living Center","2021","Nursing Home","n/a"
"FSB BANCSHARES,"INC"","Chariman","Daniel Domingue","n/a","n/a","2021","Retired","n/a"
"FSB BANCSHARES,"INC"","President & CEO","Troy Kibodeaux","n/a","n/a","2021","Banker","n/a"
"FSB BANCSHARES,"INC"","Executive Vice President & CLO","Christine Benoit","n/a","n/a","2021","Banker","n/a"
"FSB BANCSHARES,"INC"","Executive Vice President & COO","Jo Ann Duplichin","n/a","n/a","2021","Banker","n/a"
```
