Here are the two CSV tables as requested:
```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"FSB,"LLC"","Florence,"AL"","2018","Charles C Anderson","Common Stock","1918627","40%","5141195"
"FSB,"LLC"","Florence,"AL"","2018","Joel R Anderson","Common Stock","1839550","38%","5141195"
"FSB,"LLC"","Muscle Shoals,"AL"","2018","Chester L McKinney,"Jr."","Common Stock","238200","5%","5141195"
"FSB,"LLC"","Muscle Shoals,"AL"","2018","Todd C Ouellette","Common Stock","238200","5%","5141195"
"FSB,"LLC"","Killen,"AL"","2018","George D Pillow,"Jr."","Common Stock","238200","5%","5141195"
"First Southern Bancshares,"Inc."","Florence,"AL"","2018","FSB,"LLC"","Common Stock","4763977","100%","5141195"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"FSB,"LLC"","Director/Chairman of the Board","Charles C Anderson","AAA&W LLC-LLC Manager","AAA&W LLC","2018","Anderson & Anderson,"LLC - Partner"","5141195"
"FSB,"LLC"","Director/Chairman of the Board","Charles C Anderson","AAA&W LLC-LLC Manager","AGP Cloverdale Capital","2018","Anderson & Anderson,"LLC - Partner"","5141195"
"FSB,"LLC"","Director/Chairman of the Board","Charles C Anderson","AAA&W LLC-LLC Manager","AGP Strategic Income,"LLC"","2018","Anderson & Anderson,"LLC - Partner"","5141195"
"FSB,"LLC"","Director/Chairman of the Board","Charles C Anderson","AAA&W LLC-LLC Manager","American Republics/SPV","2018","Anderson & Anderson,"LLC - Partner"","5141195"
"FSB,"LLC"","Director/Chairman of the Board","Charles C Anderson","AAA&W LLC-LLC Manager","Anderson & Anderson,"LLC"","2018","Anderson & Anderson,"LLC - Partner"","5141195"
"FSB,"LLC"","Director/Chairman of the Board","Charles C Anderson","AAA&W LLC-LLC Manager","Anderson International Partners,"II","LLC"","2018","Anderson & Anderson,"LLC - Partner"","5141195"
"FSB,"LLC"","Director/Chairman of the Board","Charles C Anderson","AAA&W LLC-LLC Manager","Anderson Jen Capital,"LLC"","2018","Anderson & Anderson,"LLC - Partner"","5141195"
"FSB,"LLC"","Director/Chairman of the Board","Charles C Anderson","AAA&W LLC-LLC Manager","Florence Boulevard East,"LLC"","2018","Anderson & Anderson,"LLC - Partner"","5141195"
"FSB,"LLC"","Director/Chairman of the Board","Charles C Anderson","AAA&W LLC-LLC Manager","KLNH Fund,"LLC"","2018","Anderson & Anderson,"LLC - Partner"","5141195"
"FSB,"LLC"","Director/Chairman of the Board","Charles C Anderson","AAA&W LLC-LLC Manager","Rarities,"LLC"","2018","Anderson & Anderson,"LLC - Partner"","5141195"
"FSB,"LLC"","Director/Chairman of the Board","Charles C Anderson","AAA&W LLC-LLC Manager","Southview Properties,"LLC"","2018","Anderson & Anderson,"LLC - Partner"","5141195"
"FSB,"LLC"","Director/Chairman of the Board","Charles C Anderson","AAA&W LLC-LLC Manager","Stack's LLC","2018","Anderson & Anderson,"LLC - Partner"","5141195"
"FSB,"LLC"","Director","Joel R Anderson","A-Mark Precious Metals,"Inc"","n/a","2018","Anderson & Anderson,"LLC - Partner"","5141195"
"FSB,"LLC"","Director","Joel R Anderson","A-Mark Precious Metals,"Inc"","AAA&W LLC","2018","Anderson & Anderson,"LLC - Partner"","5141195"
"FSB,"LLC"","Director","Joel R Anderson","A-Mark Precious Metals,"Inc"","American Promotional Events,"Inc"","2018","Anderson & Anderson,"LLC - Partner"","5141195"
