Here are the two CSV tables as requested:
```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Great Oaks Financial Holdings,"Inc."","University Park,"MD"","2020","WSS Family Trust","n/a","6542.00","21.12%","n/a"
"Great Oaks Financial Holdings,"Inc."","St. Simons Island,"GA"","2020","Lynda S. Franklin","n/a","6331.00","20.44%","n/a"
"Great Oaks Financial Holdings,"Inc."","Los Angeles,"CA"","2020","Jay-Gould W. Stuckey","n/a","2455","7.93%","n/a"
"Great Oaks Financial Holdings,"Inc."","Tallahassee,"FL"","2020","Russell D. Franklin,"III"","n/a","1549","5.00%","n/a"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Great Oaks Financial Holdings,"Inc."","Director Emeritus","Lynda S. Franklin","Business Executive","Stuckey Timberland,"Inc."","2020","Business Executive","n/a"
"Great Oaks Financial Holdings,"Inc."","Director Emeritus","Lynda S. Franklin","Business Executive","Franklin,"Inc."","2020","Business Executive","n/a"
"Great Oaks Financial Holdings,"Inc."","Director Emeritus","Lynda S. Franklin","Business Executive","Franklin Investments,"LP"","2020","Business Executive","n/a"
"Great Oaks Financial Holdings,"Inc."","Director Emeritus","Lynda S. Franklin","Business Executive","Tijuana Trading Co.","2020","Business Executive","n/a"
"Great Oaks Financial Holdings,"Inc."","Director Emeritus","Lynda S. Franklin","Business Executive","Saunders Stuckey & Mullis,"Inc."","2020","Business Executive","n/a"
"Great Oaks Financial Holdings,"Inc."","Director Emeritus","Lynda S. Franklin","Business Executive","Southern Hills Dev LLC","2020","Business Executive","n/a"
"Great Oaks Financial Holdings,"Inc."","Director","Russell D. Franklin,"III"","Professor","Stuckey Timberland,"Inc."","2020","Professor","n/a"
"Great Oaks Financial Holdings,"Inc."","Director","Russell D. Franklin,"III"","Professor","Franklin Investments,"LP"","2020","Professor","n/a"
"Great Oaks Financial Holdings,"Inc."","Director","Russell D. Franklin,"III"","Professor","Franklin,"Inc."","2020","Professor","n/a"
"Great Oaks Financial Holdings,"Inc."","Director","Jay-Gould Stuckey","Artist","Stuckey Timberland,"Inc."","2020","Artist","n/a"
"Great Oaks Financial Holdings,"Inc."","Director","Wade B. Hall","Forester","Stuckey Timberland,"Inc."","2020","Forester","n/a"
"Great Oaks Financial Holdings,"Inc."","Director","Wade B. Hall","Forester","Non-Typical Properties,"LLC"","2020","Forester","n/a"
"Great Oaks Financial Holdings,"Inc."","Director","Wade B. Hall","Forester","Southern Hills Development,"LLC"","2020","Forester","n/a"
"Great Oaks Financial Holdings,"Inc."","Director","Wade B. Hall","Forester","Stuckey Holdings,"LLC"","2020","Forester","n/a"
"Great Oaks Financial Holdings,"Inc."","Director","Henry Barclay,"III"","Certified Public Accountant","Stuckey Timberland,"Inc."","2020","Certified Public Accountant","n/a"
"Great Oaks Financial Holdings,"Inc."","Director","Henry Barclay,"III"","Certified Public Accountant","Lehmann,"Ullman and Barclay","LLP"","2020","Certified Public Accountant","n/a"
"Great Oaks Financial Holdings,"Inc."","Director","Henry Barclay,"III"","Certified Public Accountant","2908 Clairmaont Avenue Associates","2020","Certified Public Accountant","n/a"
"Great Oaks Financial Holdings,"Inc."","Chairman/CEO","G. Mike Odom,"Jr."","Banker","Stuckey Timberland,"Inc."","2020","Banker","n/a"
"Great Oaks Financial Holdings,"Inc."","Chairman/CEO","G. Mike Odom,"Jr."","Banker","The Mulberry Company,"LLC"","2020","Banker","n/a"
"Great Oaks Financial Holdings,"Inc."","Chairman/CEO","G. Mike Odom,"Jr."","Banker","Briarcrest Enterprises,"LLC"","2020","Banker","n/a"
"Great Oaks Financial Holdings,"Inc."","Chairman/CEO","G. Mike Odom,"Jr."","Banker","17 Ventures,"LLC"","2020","Banker","n/a"
"Great Oaks Financial Holdings,"Inc."","Chairman/CEO","G. Mike Odom,"Jr."","Banker","Stuckey Holdings,"LLC"","2020","Banker","n/a"
"Great Oaks Financial Holdings,"Inc."","Chairman/CEO","G. Mike Odom,"Jr."","Banker","Great Oaks Holdings,"LLC"","2020","Banker","n/a"
"Great Oaks Financial Holdings,"Inc."","Director","John C. Wright","Retired","Stuckey Timberland,"Inc."","2020","Retired","n/a"
"Great Oaks Financial Holdings,"Inc."","Director","John C. Wright","Retired","Stuckey Holdings,"LLC"","2020","Retired","n/a"
"Great Oaks Financial Holdings,"Inc."","Director","John T. McGoldrick,"Jr."","Attorney","Stuckey Timberland,"Inc."","2020","Attorney","n/a"
"Great Oaks Financial Holdings,"Inc."","Director","John T. McGoldrick,"Jr."","Attorney","The Lewis Foundation","2020","Attorney","n/a"
"Great Oaks Financial Holdings,"Inc."","Director","John T. McGoldrick,"Jr."","Attorney","Martin Snow LLP","2020","Attorney","n/a"
"Great Oaks Financial Holdings,"Inc."","Director","John T. McGoldrick,"Jr."","Attorney","Martin and Snow Building,"LLC"","2020","Attorney","n/a"
"Great Oaks Financial Holdings,"Inc."","Director - Great Oaks Bank","Wade B. Hall","Forester","n/a","2020","Forester","n/a"
"Great Oaks Financial Holdings,"Inc."","Vice Chairman & President / CEO - Great Oaks Bank","G. Mike Odom,"Jr."","Banker","n/a","2020","Banker","n/a"
"Great Oaks Financial Holdings,"Inc."","Director - Great Oaks Bank","Wade B. Hall","Forester","n/a","2020","Forester","n/a"
```
