```csv
SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Great Southern Capital Corporation","Meridian,"USA"","2019","Great Southern Capital Corporation Employee Stock Ownership Trust","common stock","26350","19.18%","n/a"
"Great Southern Capital Corporation","Dallas,"TX"","2019","Celia Speed Boisfontaine","common stock","25572","18.61%","n/a"
"Great Southern Capital Corporation","Oxford,"MS"","2019","James Thomas Speed,"Jr."","common stock","24172","17.59%","n/a"
"Great Southern Capital Corporation","Memphis,"TN"","2019","Samuel Carter Speed","common stock","24172","17.59%","n/a"
"Great Southern Capital Corporation","Madison,"MS"","2019","Margaret Speed Robertson","common stock","24172","17.59%","n/a"
```
```csv
INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Great Southern Bank","Director","Fred H. Blackledge","n/a","n/a","2019","Retired-contract trucking business","101738"
"Great Southern Bank","Director & Vice President","Celia Boisfontaine","Partner","Pinehaven,"LLP"","2019","Homemaker","101738"
"Great Southern Bank","Director & Vice President","Celia Boisfontaine","Partner","Speed Investors LLC","2019","Homemaker","101738"
"Great Southern Bank","Director","Carl Douglas Deweese","Owner","Deweese Assets Solutions,"LLC"","2019","Retail","101738"
"Great Southern Bank","Director","Carl Douglas Deweese","Partner","Deweese Properties,"LLC"","2019","Retail","101738"
"Great Southern Bank","Director","Carl Douglas Deweese","Owner","Deweese Libations,"LLC"","2019","Retail","101738"
"Great Southern Bank","Director","Carl Douglas Deweese","Owner","Deweese Transactions,"LLC"","2019","Retail","101738"
"Great Southern Bank","Director & Vice President","Jeff McCoy","Director & President","Central Financial Services,"Inc."","2019","Banker","101738"
"Great Southern Bank","Director & Chairman","S. Carter Speed","Broker","Southern Land Company","2019","Forester & Real Estate Broker","101738"
"Great Southern Bank","Director & Chairman","S. Carter Speed","Partner","Pinehaven LLP","2019","Forester & Real Estate Broker","101738"
"Great Southern Bank","Director & Chairman","S. Carter Speed","Partner","Speed Investors LLC","2019","Forester & Real Estate Broker","101738"
"Great Southern Bank","Director","Lea Speed","Self-employed","Canon Investments,"LLC"","2019","Attorney","101738"
"Great Southern Bank","Director","Lea Speed","Self-employed","Meda Properties,"LLC"","2019","Attorney","101738"
"Great Southern Bank","Director","Lea Speed","Self-employed","CY Holdings,"LLC"","2019","Attorney","101738"
"Great Southern Bank","Director & Vice President","James Thomas Speed,"Jr."","Partner","Pinehaven LLP","2019","Free lance writer","101738"
"Great Southern Bank","Director & Vice President","James Thomas Speed,"Jr."","Partner","Speed Investors LLC","2019","Free lance writer","101738"
"Great Southern Bank","Director & Vice President","James Thomas Speed,"Jr."","Owner","Mister Edinburg,"LLC"","2019","Free lance writer","101738"
"Great Southern Bank","Director & Vice President","James Thomas Speed,"Jr."","Owner","LeRoux,"LLC"","2019","Free lance writer","101738"
"Great Southern Bank","Director & Vice President","James Thomas Speed,"Jr."","","Speed Consulting,"LLC"","2019","Free lance writer","101738"
"Great Southern Bank","Director","Wallace Strickland","Retired - Hospital Administrator","n/a","2019","n/a","101738"
"Great Southern Bank","Director & President","Leslie W. Usher","n/a","n/a","2019","Banker","101738"
"Great Southern Bank","President & Director","Teddy Rigdon","n/a","n/a","2019","President - Small Loan Office","101738"
"Great Southern Bank","District Supervisor & Director","David Monsour","n/a","n/a","2019","District Supervisor - Small Loan Office","101738"
"Great Southern Bank","Treasurer","Steven L. Cooksey","n/a","n/a","2019","Banker","101738"
"Great Southern Bank","Secretary","Joann Walker","n/a","n/a","2019","Banker","101738"
"Great Southern Bank","Director","Roy Patten","Retired","n/a","2019","Retired - auto dealership","101738"
"Great Southern Bank","Secretary/Treasurer","Stephanie Dickerson","n/a","n/a","2019","Secretary","101738"
"Great Southern Bank","n/a","Margaret Speed Robertson","Partner","Pinehaven LLP","2019","Homemaker","101738"
"Great Southern Bank","n/a","Margaret Speed Robertson","Partner","Speed Investors LLC","2019","Homemaker","101738"
"Great Southern Bank","Director","David C. Majure II","Owner","Southeast Ace LLC","2019","Retail","101738"
"Great Southern Bank","Director","David C. Majure II","Owner","Harbor Hospitality LLC","2019","Retail","101738"
"Great Southern Bank","Director","David C. Majure II","Owner","East Beach Partners LLC","2019","Retail","101738"
"Great Southern Bank","Director","David C. Majure II","Owner","JTM LLC","2019","Retail","101738"
"Great Southern Bank","Director","David C. Majure II","","Fred's Pharmacy of Quitman LLC","2019","Retail","101738"
```
