```text
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Heartland Bancshares,"Inc"","Lake Placid,"FL"","2021","James C. Clinard","Common Stock","55105","7.21%","n/a"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Heartland Bancshares,"Inc"","Director & CEO","James Clinard","Managing Member","Clinard Farms LLC","2021","n/a","2800491"
"Heartland Bancshares,"Inc"","Director & CEO","James Clinard","Managing Member","Clinard Family LLC","2021","n/a","2800491"
"Heartland Bancshares,"Inc"","Director","James B. Belflower","n/a","n/a","2021","Retired Banker","2800491"
"Heartland Bancshares,"Inc"","Director,"Secretary & Treasurer"","Andrew S. Bible","Vice President","Sebring Florist Inc.","2021","n/a","2800491"
"Heartland Bancshares,"Inc"","Director,"Secretary & Treasurer"","Andrew S. Bible","Managing Member","Floral Investments of FL,"LLC"","2021","n/a","2800491"
"Heartland Bancshares,"Inc"","n/a","Jerry T. Whidden","Senior Lender","n/a","2021","n/a","2800491"
"Heartland Bancshares,"Inc"","Director","Roger D. Gurganus","Director","Twin Lakes Pointe,"Inc"","2021","Farmer/ Developer","2800491"
"Heartland Bancshares,"Inc"","Director","Roger D. Gurganus","President","Rosan Group Inc","2021","Farmer/ Developer","2800491"
"Heartland Bancshares,"Inc"","Director","Roger D. Gurganus","Vice President","Heartland Construction Inc","2021","Farmer/ Developer","2800491"
"Heartland Bancshares,"Inc"","Director","Roger D. Gurganus","Vice President","Oaks Village Inc","2021","Farmer/ Developer","2800491"
"Heartland Bancshares,"Inc"","Director","William R. Handley","Member","Lakeside Investment Group LLC","2021","Builder","2800491"
"Heartland Bancshares,"Inc"","Director","William R. Handley","Member","Parkside Village of Sebring LLC","2021","Builder","2800491"
"Heartland Bancshares,"Inc"","Director","William R. Handley","Member","Handley Macon LLC","2021","Builder","2800491"
"Heartland Bancshares,"Inc"","Director","William R. Handley","Member","Shoppes at Robin Center LLC","2021","Builder","2800491"
"Heartland Bancshares,"Inc"","Director","William R. Handley","Member","H&W Land Acquisitions","2021","Builder","2800491"
"Heartland Bancshares,"Inc"","Director","Bert J. Harris III","Partner","Swaine and Harris,"P.A."","2021","Attorney","2800491"
"Heartland Bancshares,"Inc"","Director","Bert J. Harris III","Director","BJ Harris & Son Inc","2021","Attorney","2800491"
"Heartland Bancshares,"Inc"","Director","Bert J. Harris III","Director","Lake Childs Citrus Inc","2021","Attorney","2800491"
"Heartland Bancshares,"Inc"","Director","Bert J. Harris III","Manager","Black Bear Citrus LLC","2021","Attorney","2800491"
"Heartland Bancshares,"Inc"","Director","Bert J. Harris III","Partner","Central Avenue Partnership","2021","Attorney","2800491"
"Heartland Bancshares,"Inc"","Director","Issac G. Nagib","n/a","n/a","2021","Physical Therapist","2800491"
"Heartland Bancshares,"Inc"","Director","S. Allen Skipper","President","Algin Cattle Company","2021","Surgeon","2800491"
"Heartland Bancshares,"Inc"","Director","John F. Smoak,"III"","President","J3 Citrus,"Inc"","2021","Citrus/ Cattle","2800491"
"Heartland Bancshares,"Inc"","Director","John F. Smoak,"III"","President","Buck Lake Citrus Inc","2021","Citrus/ Cattle","2800491"
"Heartland Bancshares,"Inc"","Director","John F. Smoak,"III"","Managing Member","Trigen Investements LLC","2021","Citrus/ Cattle","2800491"
"Heartland Bancshares,"Inc"","Director","John F. Smoak,"III"","Managing Member","Smoak Land LLC","2021","Citrus/ Cattle","2800491"
"Heartland Bancshares,"Inc"","Director","Malcolm C. Watters,"Jr."","President","Malcolm C Watters Caretaking Inc","2021","Citrus Grower","2800491"
"Heartland Bancshares,"Inc"","Director","Malcolm C. Watters,"Jr."","President","Watters Groves Inc","2021","Citrus Grower","2800491"
"Heartland Bancshares,"Inc"","Chairman of the Board","Lawrence B. Wells","President","Wells Insurance Agency,"Inc"","2021","Insurance Agent","2800491"
"Heartland Bancshares,"Inc"","Chairman of the Board","Lawrence B. Wells","Vice President","Wells Crop Insurance Agency,"Inc"","2021","Insurance Agent","2800491"
"Heartland Bancshares,"Inc"","Director","Stanley H. Wells","Partner","Wells Family LTD Partnership","2021","Auto Dealer","2800491"
"Heartland Bancshares,"Inc"","Director","Stanley H. Wells","Member","Wells Brothers LLC","2021","Auto Dealer","2800491"
"Heartland Bancshares,"Inc"","n/a","Janice T Walker","Senior VP Deposit Operations","n/a","2021","n/a","2800491"
```
