```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Heartland Bancshares,"Inc"","Lake Placid,"FL"","2021","James C. Clinard","Common Stock","55205","7.47%","n/a"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Heartland Bancshares,"Inc"","Director & President","James Clinard","Managing Member","Clinard Farms LLC","2022","n/a","n/a"
"Heartland Bancshares,"Inc"","Director & CEO","James Clinard","Managing Member","Clinard Family LLC","2022","n/a","n/a"
"Heartland Bancshares,"Inc"","Director","James B. Belflower","n/a","n/a","2022","Retired Banker","n/a"
"Heartland Bancshares,"Inc"","Director,"Secretary & Treasurer"","Andrew S. Bible","Vice President","Sebring Florist Inc.","2022","n/a","n/a"
"Heartland Bancshares,"Inc"","Director,"Secretary & Treasurer"","Andrew S. Bible","Managing Member","Floral Investments of FL,"LLC"","2022","n/a","n/a"
"Heartland Bancshares,"Inc"","Senior Lender","Jerry T. Whidden","n/a","n/a","2022","n/a","n/a"
"Heartland Bancshares,"Inc"","Director","Roger D. Gurganus","Director","Twin Lakes Pointe,"Inc"","2022","Farmer/ Developer","n/a"
"Heartland Bancshares,"Inc"","Director","Roger D. Gurganus","President","Rosan Group Inc","2022","Farmer/ Developer","n/a"
"Heartland Bancshares,"Inc"","Director","Roger D. Gurganus","Vice President","Heartland Construction Inc","2022","Farmer/ Developer","n/a"
"Heartland Bancshares,"Inc"","Director","Roger D. Gurganus","Vice President","Oaks Village Inc","2022","Farmer/ Developer","n/a"
"Heartland Bancshares,"Inc"","Director","William R. Handley","Member","Lakeside Investment Group LLC","2022","Builder","n/a"
"Heartland Bancshares,"Inc"","Director","William R. Handley","Member","Parkside Village of Sebring LLC","2022","Builder","n/a"
"Heartland Bancshares,"Inc"","Director","William R. Handley","Member","Handley Macon LLC","2022","Builder","n/a"
"Heartland Bancshares,"Inc"","Director","William R. Handley","Member","Shoppes at Robin Center LLC","2022","Builder","n/a"
"Heartland Bancshares,"Inc"","Director","William R. Handley","Member","H&W Land Acquisitions","2022","Builder","n/a"
"Heartland Bancshares,"Inc"","Director","Bert J. Harris III","Partner","Swaine and Harris,"P.A."","2022","Attorney","n/a"
"Heartland Bancshares,"Inc"","Director","Bert J. Harris III","Director","BJ Harris & Son Inc","2022","Attorney","n/a"
"Heartland Bancshares,"Inc"","Director","Bert J. Harris III","Director","Lake Childs Citrus Inc","2022","Attorney","n/a"
"Heartland Bancshares,"Inc"","Director","Bert J. Harris III","Manager","Black Bear Citrus LLC","2022","Attorney","n/a"
"Heartland Bancshares,"Inc"","Director","Bert J. Harris III","Partner","Central Avenue Partnership","2022","Attorney","n/a"
"Heartland Bancshares,"Inc"","Director","Issac G. Nagib","n/a","n/a","2022","Physical Therapist","n/a"
"Heartland Bancshares,"Inc"","Director","S. Allen Skipper","President","Algin Cattle Company","2022","Surgeon","n/a"
"Heartland Bancshares,"Inc"","Director","John F. Smoak,"III"","President","J3 Citrus,"Inc"","2022","Citrus/Cattle","n/a"
"Heartland Bancshares,"Inc"","Director","John F. Smoak,"III"","President","Buck Lake Citrus Inc","2022","Citrus/Cattle","n/a"
"Heartland Bancshares,"Inc"","Director","John F. Smoak,"III"","Managing Member","Trigen Investements LLC","2022","Citrus/Cattle","n/a"
"Heartland Bancshares,"Inc"","Director","John F. Smoak,"III"","Managing Member","Smoak Land LLC","2022","Citrus/Cattle","n/a"
"Heartland Bancshares,"Inc"","Director","Malcolm C. Watters,"Jr."","President","Malcolm C Watters Caretaking Inc","2022","Citrus Grower","n/a"
"Heartland Bancshares,"Inc"","Director","Malcolm C. Watters,"Jr."","President","Watters Groves Inc","2022","Citrus Grower","n/a"
"Heartland Bancshares,"Inc"","Chairman of the Board","Lawrence B. Wells","President","Wells Insurance Agency,"Inc"","2022","Insurance Agent","n/a"
"Heartland Bancshares,"Inc"","Chairman of the Board","Lawrence B. Wells","Vice President","Wells Crop Insurance Agency,"Inc"","2022","Insurance Agent","n/a"
"Heartland Bancshares,"Inc"","Chairman of the Board","Lawrence B. Wells","Secretary/Treasurer","L & C Groves,"Inc."","2022","Insurance Agent","n/a"
"Heartland Bancshares,"Inc"","Chairman of the Board","Lawrence B. Wells","Member","Justiflied LLC","2022","Insurance Agent","n/a"
"Heartland Bancshares,"Inc"","Chairman of the Board","Lawrence B. Wells","Owner","Destiny Ranch","2022","Insurance Agent","n/a"
"Heartland Bancshares,"Inc"","Director","Stanley H. Wells","Partner","Wells Family LTD Partnership","2022","Auto Dealer","n/a"
"Heartland Bancshares,"Inc"","Director","Stanley H. Wells","Member","Wells Brothers LLC","2022","Auto Dealer","n/a"
"Heartland Bancshares,"Inc"","Senior VP Deposit Operations","Janice T Walker","n/a","n/a","2022","n/a","n/a"
```
