Here are the two CSV tables extracted from the document:
```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Lafourche Bancshares,"Inc."","Cut Off,"LA"","2016","June Theriot","common stock","31114","55.57%","n/a"
"Lafourche Bancshares,"Inc."","Lafayette,"LA"","2016","Elaine Blanchard Mora","common stock","5839","10.43%","n/a"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Lafourche Bancshares,"Inc."","Director","Neil B. Angelette","Owner/Manager","Angelette Picciola,"LLC"","2016","Civil Engineer","n/a"
"Lafourche Bancshares,"Inc."","Vice President & Director","Brad Bruce","n/a","n/a","2016","n/a","n/a"
"Lafourche Bancshares,"Inc."","Director","Wayne Estay","President","Wayne Estay Shrimp Co.,"Inc."","2016","Self-employed","n/a"
"Lafourche Bancshares,"Inc."","Director","Wayne Estay","Vice President","Eveready Marine,"Inc."","2016","Self-employed","n/a"
"Lafourche Bancshares,"Inc."","Director","Wayne Estay","Treasurer","Estay Properties","2016","Self-employed","n/a"
"Lafourche Bancshares,"Inc."","Director and Secretary","George J. Ledet,"Jr."","Attorney (Self-employed)","n/a","2016","Attorney","n/a"
"Lafourche Bancshares,"Inc."","Director","Brad Prejeant","Owner","Cajun Cattle Co,"LLC"","2016","Senior V P of Shipyard Operations","n/a"
"Lafourche Bancshares,"Inc."","Director","Brad Prejeant","Owner","The Trucking Co. LLC","2016","Senior V P of Shipyard Operations","n/a"
"Lafourche Bancshares,"Inc."","Director","Brad Prejeant","Owner","CWP Family II,"LLC"","2016","Senior V P of Shipyard Operations","n/a"
"Lafourche Bancshares,"Inc."","Director","Brad Prejeant","President","Thunder Enterprises","2016","Senior V P of Shipyard Operations","n/a"
"Lafourche Bancshares,"Inc."","Director","Sharon St. Pierre","Sec./Treasurer","M/V Mom and Dad,"Inc."","2016","n/a","n/a"
"Lafourche Bancshares,"Inc."","Director / Board Chairperson","June Theriot","President","Galliano Enterprises,"Inc."","2016","n/a","n/a"
"Lafourche Bancshares,"Inc."","Director / Board Chairperson","June Theriot","President","Adams and Theriot,"Inc."","2016","n/a","n/a"
"Lafourche Bancshares,"Inc."","Director / Board Chairperson","June Theriot","President","Plaisance and Theriot,"Inc."","2016","n/a","n/a"
