```text
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"MACON BANCTRUST,"INC"","Gallatin,"TN"","2016","Gregory Investments,"LLC"","n/a","6169","11.52%","1136577"
"MACON BANCTRUST,"INC"","Red Boiling Springs,"TN"","2016","Hugh Wayne Clark","n/a","5741","10.72%","1136577"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"MACON BANCTRUST,"INC"","Director","Donald Ray Birdwell","Director","n/a","2016","Retired Banker","1136577"
"MACON BANCTRUST,"INC"","Director","Darrell Carman","Director","Gene Caman Real Esate & Auction","2016","Real Estate Agent","1136577"
"MACON BANCTRUST,"INC"","Director","Eddie K Chitwood","Director","TMC Group,"Inc."","2016","Pharmacist","1136577"
"MACON BANCTRUST,"INC"","Director","Hugh Wayne Clark","Director","Clark Lumber Co.,"Inc"","2016","Red Lumberman","1136577"
"MACON BANCTRUST,"INC"","Director","Hugh Wayne Clark","Director","Clark Lumber Co LLC","2016","Red Lumberman","1136577"
"MACON BANCTRUST,"INC"","Director","Hugh Wayne Clark","Director","Bran-em Trucking","2016","Red Lumberman","1136577"
"MACON BANCTRUST,"INC"","Director","Melvin Grace","Director","Grace Discount Foods","2016","Retail Merchant","1136577"
"MACON BANCTRUST,"INC"","Director","Melvin Grace","Director","Mel Coe,"LLC"","2016","Retail Merchant","1136577"
"MACON BANCTRUST,"INC"","Director","William B Green","Director","n/a","2016","Retired Banker","1136577"
"MACON BANCTRUST,"INC"","Director","Odric Gregory","Director","Gregory Investments,"LLC"","2016","Rental properties","1136577"
"MACON BANCTRUST,"INC"","Director","Odric Gregory","Director","Gregory Real Estate,"LLC"","2016","Rental properties","1136577"
"MACON BANCTRUST,"INC"","Director","Odric Gregory","Director","Gallatin Warehousing","2016","Rental properties","1136577"
"MACON BANCTRUST,"INC"","Director","Olin Jent Jr.","Director","n/a","2016","Pharmacist","1136577"
"MACON BANCTRUST,"INC"","Director","Jerry Kirby","Director","Kirby & Kirby","2016","Rental properties","1136577"
"MACON BANCTRUST,"INC"","Chairman,"President","CEO & Treasurer"","Radford A West","Chairman,"President and CEO"","n/a","2016","Banking","1136577"
"MACON BANCTRUST,"INC"","Secretary","Carolyn C Wilburn","Sr. Vice President & Personnel Director","n/a","2016","Banking","1136577"
```
