"Okay","here are the two CSV tables extracted from the document","following your instructions:"
```text
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Madison Bank Corp.","Atlanta,"GA"","2023","Old Post Road LP","n/a","n/a","25.10%","n/a"
"Madison Bank Corp.","Madison,"GA"","2023","Ann Lambert Trulock","n/a","n/a","0.16%","n/a"
"Madison Bank Corp.","Madison,"GA"","2023","John M Moore","n/a","n/a","0.26%","n/a"
"Madison Bank Corp.","Madison,"GA"","2023","H. Vinson DeLaigle","n/a","n/a","0.64%","n/a"
"Madison Bank Corp.","Madison,"GA"","2023","Lowry W Hunt,"Jr."","n/a","n/a","2.00%","n/a"
"Madison Bank Corp.","Madison,"GA"","2023","L. Clifton Hanes","n/a","n/a","1.33%","Hanes & White Inc."
"Madison Bank Corp.","Atlanta,"GA"","2023","Floyd C. Newton,"III"","n/a","n/a","0.04%","n/a"
"Madison Bank Corp.","Madison,"GA"","2023","Charles H Haney,"III"","n/a","n/a","0.04%","n/a"
"Madison Bank Corp.","Madison,"GA"","2023","Wayne Tamplin","n/a","n/a","0.29%","n/a"
"Madison Bank Corp.","Greensboro,"GA"","2023","Russell W. Wall","n/a","n/a","0.04%","n/a"
"Madison Bank Corp.","Madison,"GA"","2023","Lambert Family Investment Holdings,"LLLP"","n/a","n/a","16.80%","n/a"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Madison Bank Corp.","Director","Ann Lambert Trulock","n/a","n/a","2023","None","n/a"
"Madison Bank Corp.","Director","John M Moore","n/a","n/a","2023","Owner Madison Car Care","n/a"
"Madison Bank Corp.","Director","H. Vinson DeLaigle","n/a","n/a","2023","Retired Banker","n/a"
"Madison Bank Corp.","Director","Lowry W Hunt,"Jr."","n/a","n/a","2023","Retired Ag. Production Business Owner","n/a"
"Madison Bank Corp.","Director Secretary","L. Clifton Hanes","VP & Sect.","Hanes & White Inc.","2023","Retired Banker","n/a"
"Madison Bank Corp.","Director","Floyd C. Newton,"III"","n/a","n/a","2023","Retired Attorney","n/a"
"Madison Bank Corp.","Director President","Charles H Haney,"III"","n/a","n/a","2023","President / CEO Bank of Madison","n/a"
"Madison Bank Corp.","Chairman Director","Wayne Tamplin","Partner","Treadwell Tamplin & Company","2023","Certified Public Accountant","n/a"
"Madison Bank Corp.","Director","Russell W. Wall","Law Office","Law Office of Russell W. Wall","2023","Attorney","n/a"
```
