```text
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Marine Bancorp of Florida,"Inc."","Arlington,"VA"","2018","Kenneth R. Lehman","Common Stock","603707","44.2%","n/a"
"Marine Bancorp of Florida,"Inc."","Washington,"MO"","2018","Douglas E. Hazel and his family members","Common Stock","166949","12.2%","n/a"
"Marine Bancorp of Florida,"Inc."","New York,"NY"","2018","Second First De Novo,"L.P."","Common Stock","98730","7.2%","n/a"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Marine Bancorp of Florida,"Inc."","President/CEO","William J. Penney","President","n/a","2017","President"
"Marine Bancorp of Florida,"Inc."","EVP/CFO","Charles J. Gisler,"Jr."","Chief Financial Officer","n/a","2017","Chief Financial Officer"
"Marine Bancorp of Florida,"Inc."","Director Emeritus","Donald L. Ames,"M.D."","Trustee","Mary R. Ames Trust","2017","Retired"
"Marine Bancorp of Florida,"Inc."","Director Emeritus","Donald L. Ames,"M.D."","Trustee","Donald L. Ames Trust","2017","Retired"
"Marine Bancorp of Florida,"Inc."","Director","David S. Croom","n/a","Croom Construction Co","2017","Construction Executive"
"Marine Bancorp of Florida,"Inc."","Director","David S. Croom","n/a","Whitehall Home Maintenance","2017","Construction Executive"
"Marine Bancorp of Florida,"Inc."","Director","David S. Croom","n/a","Whitehall Properties","2017","Construction Executive"
"Marine Bancorp of Florida,"Inc."","Director","David S. Croom","n/a","Tiger Dawg LLC","2017","Construction Executive"
"Marine Bancorp of Florida,"Inc."","Director","Wilton R. Banack","Owner","Quality Fruit Packers of Indian River,"Inc."","2017","Entrepreneur"
"Marine Bancorp of Florida,"Inc."","Director","Wilton R. Banack","Owner","River One International Marketing","2017","Entrepreneur"
"Marine Bancorp of Florida,"Inc."","Director","Kevin J. Given","Managing Partner","KJG Consulting Inc.","2017","Real Estate Management"
"Marine Bancorp of Florida,"Inc."","Director","Kevin J. Given","Partner","Premier Club Management Services","2017","Real Estate Management"
"Marine Bancorp of Florida,"Inc."","Director","Kevin J. Given","Partner","Pinnacle Golf,"LLC (Quail Valley)"","2017","Real Estate Management"
"Marine Bancorp of Florida,"Inc."","Director","Kevin J. Given","Managing Partner","SCAG,"LLC"","2017","Real Estate Management"
"Marine Bancorp of Florida,"Inc."","Director","Kevin J. Given","Partner","Donegal Partners","2017","Real Estate Management"
"Marine Bancorp of Florida,"Inc."","Director","Kevin J. Given","Owner","Donkey Head,"LLC"","2017","Real Estate Management"
"Marine Bancorp of Florida,"Inc."","Director","Kevin J. Given","Managing Partner","Valley View 9 LLC","2017","Real Estate Management"
"Marine Bancorp of Florida,"Inc."","Director","Kevin J. Given","Managing Partner","Peter Olivers,"LLC"","2017","Real Estate Management"
