```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"MBT Bancshares","METAIRIE,"LA"","2020","MR & MRS ALBERT JORTTE TRUST #1","common stock","598771","29.30%","n/a"
"MBT Bancshares","METAIRIE,"LA"","2020","MR & MRS ALBERT JORTTE TRUST #1","n/a","n/a","n/a","n/a"
"MBT Bancshares","METAIRIE,"LA"","2020","MR & MRS ALBERT JORTTE TRUST #3","common stock","435570","21.31%","n/a"
"MBT Bancshares","METAIRIE,"LA"","2020","MR & MRS ALBERT JORTTE TRUST #2","common stock","3200","0.16%","n/a"
"MBT Bancshares","METAIRIE,"LA"","2020","GARLAND R ROLLING","common stock","127595","6.24%","n/a"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"MBT Bancshares","Director","Manuel F. Blanco","n/a","n/a","2020","Investment Manager","n/a"
"MBT Bancshares","Director","Sean M. Bruno","Owner,"Sole member"","Sean M. Bruno,"CPA LLC"","2020","CPA","n/a"
"MBT Bancshares","Director","Robert A. Caplan","n/a","Abita Springs Land,"LLC"","2020","Investment Manager & Attorney","n/a"
"MBT Bancshares","Director","Robert A. Caplan","n/a","Bayloop Development,"LLC"","2020","Investment Manager & Attorney","n/a"
"MBT Bancshares","Director","Robert A. Caplan","n/a","KCL Properties,"LLC"","2020","Investment Manager & Attorney","n/a"
"MBT Bancshares","Director","Robert A. Caplan","n/a","KCL Nashville,"LLC"","2020","Investment Manager & Attorney","n/a"
"MBT Bancshares","Director","Robert A. Caplan","n/a","Lakeside Plaza,"LLC"","2020","Investment Manager & Attorney","n/a"
"MBT Bancshares","Director","Robert A. Caplan","n/a","Jaycap Properties,"LLC"","2020","Investment Manager & Attorney","n/a"
"MBT Bancshares","Director","Robert A. Caplan","n/a","L & C Baton Rouge,"LLC"","2020","Investment Manager & Attorney","n/a"
"MBT Bancshares","Director","Robert A. Caplan","n/a","L & C Capital,"LP"","2020","Investment Manager & Attorney","n/a"
"MBT Bancshares","Director","Robert A. Caplan","n/a","L & C Eastside,"LLC"","2020","Investment Manager & Attorney","n/a"
"MBT Bancshares","Director","Robert A. Caplan","n/a","L & C Interests,"LLC"","2020","Investment Manager & Attorney","n/a"
"MBT Bancshares","Director","Robert A. Caplan","n/a","Lewis & Caplan,"APLC"","2020","Investment Manager & Attorney","n/a"
"MBT Bancshares","Director","Robert A. Caplan","n/a","PBS Properties,"LLC"","2020","Investment Manager & Attorney","n/a"
"MBT Bancshares","Director & Secretary","Christopher E. Dodge","Owner,"Sole member"","Computer's on Call,"LLC"","2020","IT analyst","n/a"
"MBT Bancshares","Director","Ross F. Lagarde","n/a","Ross F. Lagarde,"APLC"","2020","Attorney","n/a"
"MBT Bancshares","Director","Ross F. Lagarde","n/a","Viaticus,"LLC"","2020","Attorney","n/a"
"MBT Bancshares","Director","Ross F. Lagarde","n/a","Le Pauvre Garcon,"LLC"","2020","Attorney","n/a"
"MBT Bancshares","Director","Ross F. Lagarde","n/a","Lagarde Litigation Financing Corp.","2020","Attorney","n/a"
"MBT Bancshares","Director","Sharon A. Perlis","n/a","Perlis,"Inc."","2020","Attorney","n/a"
"MBT Bancshares","Director","Sharon A. Perlis","n/a","Perlis & Associates","2020","Attorney","n/a"
"MBT Bancshares","Director","Sharon A. Perlis","n/a","Sharon A. Perlis,"APLC"","2020","Attorney","n/a"
"MBT Bancshares","Director","Sharon A. Perlis","n/a","S&D Investments","2020","Attorney","n/a"
"MBT Bancshares","Director & President","Ron E. Samford,"Jr."","n/a","n/a","2020","n/a","n/a"
