```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Merchants & Farmers Bancshares,"Inc."","Leesville,"LA"","2018","Richard D. Ross","n/a","5819","5.1790%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Leesville,"LA"","2018","Ross Investments Inc.","n/a","1290","1.1481%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Leesville,"LA"","2018","Ross Voting Trust","n/a","21928","19.5164%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Leesville,"LA"","2018","S. David Williams","n/a","4789","4.2623%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Leesville,"LA"","2018","Virginia Scogin","n/a","4234","3.7683%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Clinton,"MS"","2018","Bonnie Blu Williams","n/a","2313","2.0586%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Temple,"TX"","2018","Jennifer Blu Williams","n/a","500","0.4450%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Shreveport,"LA"","2018","Samuel Ross Williams","n/a","500","0.4450%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Leesville,"LA"","2018","Susan Williams","n/a","310","0.2759%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Leesville,"LA"","2018","First American Moving & Storage","n/a","1446","1.2870%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Leesville,"LA"","2018","General Maintenance Co,"Inc."","n/a","642","0.5714%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Lake Charles,"LA"","2018","Claude Leach,"Jr."","n/a","1134","1.0093%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Lake Charles,"LA"","2018","Laura Leach","n/a","504","0.4486%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Lake Charles,"LA"","2018","Claude A. Leach","n/a","2153","1.9162%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Lake Charles,"LA"","2018","Chalkley Anne Leach","n/a","14","0.0125%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Lake Charles,"LA"","2018","Jackson Claude Leach","n/a","14","0.0125%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Lake Charles,"LA"","2018","William Miller Leach","n/a","14","0.0125%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Lake Charles,"LA"","2018","Mary Odell Leach","n/a","220","0.1958%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Lake Charles,"LA"","2018","Grace Anne A. Werner","n/a","14","0.0125%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Lake Charles,"LA"","2018","Mary Leach Werner","n/a","1046","0.9310%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Lake Charles,"LA"","2018","Patrick Werner","n/a","14","0.0125%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Baton Rouge,"LA"","2018","Alexandra Quinn Davenport","n/a","14","0.0125%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Baton Rouge,"LA"","2018","Elizabeth R. Davenport","n/a","14","0.0125%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Baton Rouge,"LA"","2018","Jake Allen Davenport","n/a","14","0.0125%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Baton Rouge,"LA"","2018","Lucille Leach Davenport","n/a","1046","0.9310%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Baton Rouge,"LA"","2018","Lucille Anne Leach","n/a","220","0.1958%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Lake Charles,"LA"","2018","L&H of Lake Charles","n/a","450","0.4005%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Lake Charles,"LA"","2018","Sweetlake Land & Oil Co,"LLC"","n/a","1299","1.1561%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Lake Charles,"LA"","2018","The North American Land Co. LLC","n/a","2000","1.7800%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Austin,"TX"","2018","Judy Conley Talbot,"Trustee of the Milton W Talbot","Jr. Bypass Trust"","n/a","7358","6.5488%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Dalla,"TX"","2018","PACO (Talbot Trust)","n/a","2676","2.3817%","n/a"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Merchants & Farmers Bancshares,"Inc."","Chairman of the Board","Claude Leach,"Jr."","CEO","Sweetlake Land & Oil Co.","2018","Attorney/Businessman (Petroleum,"Agriculture","Real Estate)"","n/a"
"Merchants & Farmers Bancshares,"Inc."","Chairman of the Board","Claude Leach,"Jr."","CEO","North American Land Co.","2018","Attorney/Businessman (Petroleum,"Agriculture","Real Estate)"","n/a"
"Merchants & Farmers Bancshares,"Inc."","Director","Claude A. Leach","President","Sweetlake Land & Oil Co.,"LLC"","2018","Businessman (Petroleum,"Agriculture","and Real Estate)"","n/a"
"Merchants & Farmers Bancshares,"Inc."","Director","Claude A. Leach","President","North American Land Co.,"LLC"","2018","Businessman (Petroleum,"Agriculture","and Real Estate)"","n/a"
"Merchants & Farmers Bancshares,"Inc."","Director","Claude A. Leach","Managing Member","L&H of Lake Charles LLC","2018","Businessman (Petroleum,"Agriculture","and Real Estate)"","n/a"
"Merchants & Farmers Bancshares,"Inc."","Director","Claude A. Leach","Member","Geaux Geaux Properties,"LLC"","2018","Businessman (Petroleum,"Agriculture","and Real Estate)"","n/a"
"Merchants & Farmers Bancshares,"Inc."","Director","Claude A. Leach","Member","The Chalkley Exploration Group LLC","2018","Businessman (Petroleum,"Agriculture","and Real Estate)"","n/a"
"Merchants & Farmers Bancshares,"Inc."","President/CEO and Director","Ken A. Hughes","n/a","None","2018","n/a","n/a"
"Merchants & Farmers Bancshares,"Inc."","Vice President and Director","Richard Ross","President","Ross Invesments,"Inc."","2018","Real Estate Manager and Developer","n/a"
"Merchants & Farmers Bancshares,"Inc."","Vice President and Director","Richard Ross","President","Bayou State Video,"Inc."","2018","Real Estate Manager and Developer","n/a"
"Merchants & Farmers Bancshares,"Inc."","Vice President and Director","Richard Ross","Member","Texas Diversifications LLC","2018","Real Estate Manager and Developer","n/a"
"Merchants & Farmers Bancshares,"Inc."","Vice President and Director","Richard Ross","Member","Beach Brothers Development LLC","2018","Real Estate Manager and Developer","n/a"
"Merchants & Farmers Bancshares,"Inc."","Vice President and Director","Richard Ross","Member","Quartet Investments,"LLC"","2018","Real Estate Manager and Developer","n/a"
"Merchants & Farmers Bancshares,"Inc."","Vice President and Director","Richard Ross","Director","Coin ConneXion,"Inc."","2018","Real Estate Manager and Developer","n/a"
"Merchants & Farmers Bancshares,"Inc."","Vice President and Director","Richard Ross","Member","3PM LLC","2018","Real Estate Manager and Developer","n/a"
"Merchants & Farmers Bancshares,"Inc."","Vice President and Director","Richard Ross","Member","RMR College Heights LLC","2018","Real Estate Manager and Developer","n/a"
"Merchants & Farmers Bancshares,"Inc."","Vice President and Director","Richard Ross","Managing Member","3RD Generation Investments LLC","2018","Real Estate Manager and Developer","n/a"
"Merchants & Farmers Bancshares,"Inc."","Director","S David Williams","Shareholder","Windermere Properties LLC","2018","Real Estate Investment","n/a"
"Merchants & Farmers Bancshares,"Inc."","Director","S David Williams","President","General Maintenance Co.","2018","Real Estate Investment","n/a"
