```text
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Merchants & Farmers Bancshares,"Inc."","Leesville,"LA"","2021","Richard D. Ross","n/a","5819","5.1882%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Leesville,"LA"","2021","Ross Investments Inc.","n/a","1290","1.1502%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Leesville,"LA"","2021","Ross Voting Trust","n/a","21928","19.5508%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Leesville,"LA"","2021","S. David Williams","n/a","2513","2.2406%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Leesville,"LA"","2021","Virginia Scogin","n/a","4234","3.7750%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Leesville,"LA"","2021","S David Williams Trust","n/a","788","0.7026%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Clinton,"MS"","2021","Bonnie Blu Williams","n/a","2313","2.0623%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Temple,"TX"","2021","Jennifer Blu Williams","n/a","500","0.4458%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Shreveport,"LA"","2021","Samuel Ross Williams","n/a","500","0.4458%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Leesville,"LA"","2021","Linda Susan Williams Trust","n/a","1798","1.6031%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Leesville,"LA"","2021","First American Moving & Storage","n/a","1446","1.2892%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Leesville,"LA"","2021","General Maintenance Co,"Inc"","n/a","642","0.5724%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Leesville,"LA"","2021","Sterling Acquisitions II,"LLC"","n/a","784","0.6990%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Lake Charles,"LA"","2021","Claude Leach,"Jr."","n/a","1134","1.0111%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Lake Charles,"LA"","2021","Laura Leach","n/a","504","0.4494%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Lake Charles,"LA"","2021","Claude A. Leach","n/a","2153","1.9196%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Lake Charles,"LA"","2021","Chalkley Anne Leach","n/a","14","0.0125%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Lake Charles,"LA"","2021","Jackson Claude Leach","n/a","14","0.0125%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Lake Charles,"LA"","2021","William Miller Leach","n/a","14","0.0125%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Lake Charles,"LA"","2021","Mary Odell Leach","n/a","220","0.1962%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Lake Charles,"LA"","2021","Grace Anne A. Werner","n/a","14","0.0125%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Lake Charles,"LA"","2021","Hannah Catherine Chalkley Werner","n/a","14","0.0125%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Lake Charles,"LA"","2021","Mary Leach Werner","n/a","1046","0.9326%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Lake Charles,"LA"","2021","Patrick Werner","n/a","14","0.0125%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Baton Rouge,"LA"","2021","Alexandra Quinn Davenport","n/a","14","0.0125%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Baton Rouge,"LA"","2021","Elizabeth R. Davenport","n/a","14","0.0125%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Baton Rouge,"LA"","2021","Jake Allen Davenport","n/a","14","0.0125%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Baton Rouge,"LA"","2021","Lucille Leach Davenport","n/a","1046","0.9326%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Baton Rouge,"LA"","2021","Lucille Anne Leach","n/a","220","0.1962%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Lake Charles,"LA"","2021","L&H of Lake Charles","n/a","450","0.4012%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Lake Charles,"LA"","2021","Sweetlake Land & Oil Co,"LLC"","n/a","1299","1.1582%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Lake Charles,"LA"","2021","The North American Land Co. LLC","n/a","2000","1.7832%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Austin,"TX"","2021","Judy Conley Talbot,"Trustee of the Milton W. Talbot","Jr Bypass Trust"","n/a","7358","6.5603%","n/a"
"Merchants & Farmers Bancshares,"Inc."","Dallas,"TX"","2021","PACO (Talbot Trust)","n/a","2676","2.3859%","n/a"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Merchants & Farmers Bancshares,"Inc."","Chairman and Director","Claude Leach,"Jr."","CEO","Sweetlake Land & Oil","2021","Attorney/Businessman","n/a"
"Merchants & Farmers Bancshares,"Inc."","Chairman and Director","Claude Leach,"Jr."","CEO","North American Land Co.","2021","Attorney/Businessman","n/a"
"Merchants & Farmers Bancshares,"Inc."","President/CEO,"and Director"","Ken A. Hughes","President/CEO,"and Director"","n/a","2021","None","n/a"
"Merchants & Farmers Bancshares,"Inc."","Vice President and Director","Richard Ross","Director","Ross Invesments,"Inc."","2021","Real Estate Manager and Developer","n/a"
"Merchants & Farmers Bancshares,"Inc."","Vice President and Director","Richard Ross","Director","Bayou State Video,"Inc."","2021","Real Estate Manager and Developer","n/a"
"Merchants & Farmers Bancshares,"Inc."","Vice President and Director","Richard Ross","Director","Texas Diversifications LLC","2021","Real Estate Manager and Developer","n/a"
"Merchants & Farmers Bancshares,"Inc."","Vice President and Director","Richard Ross","Director","Beach Brothers Development LLC","2021","Real Estate Manager and Developer","n/a"
"Merchants & Farmers Bancshares,"Inc."","Vice President and Director","Richard Ross","Director","Quartet Investments,"LLC"","2021","Real Estate Manager and Developer","n/a"
"Merchants & Farmers Bancshares,"Inc."","Vice President and Director","Richard Ross","Director","Coin ConneXion,"Inc."","2021","Real Estate Manager and Developer","n/a"
"Merchants & Farmers Bancshares,"Inc."","Vice President and Director","Richard Ross","Director","RMR College Heights LLC","2021","Real Estate Manager and Developer","n/a"
"Merchants & Farmers Bancshares,"Inc."","Vice President and Director","Richard Ross","Director","Cane River Brewing","2021","Real Estate Manager and Developer","n/a"
