```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Merchants Financial Services,"Inc."","Cullman,"AL"","2020","S. Wayne Fuller","n/a","135900","10.74","113937"
"Merchants Financial Services,"Inc."","Cullman,"AL"","2020","-Wescoat Free","n/a","1500","0.12","113937"
"Merchants Financial Services,"Inc."","Cullman,"AL"","2020","-Michael Wayne Fuller","n/a","1170","0.09","113937"
"Merchants Financial Services,"Inc."","Cullman,"AL"","2020","-Courtney F Willingham","n/a","900","0.07","113937"
"Merchants Financial Services,"Inc."","Cullman,"AL"","2020","David Moss Sr","n/a","123050","9.73","113937"
"Merchants Financial Services,"Inc."","Cullman,"AL"","2020","-David Moss Jr","n/a","2000","0.16","113937"
"Merchants Financial Services,"Inc."","Cullman,"AL"","2020","Reba Miller","n/a","107505","8.50","113937"
"Merchants Financial Services,"Inc."","Cullman,"AL"","2020","-H Lawayne Allred","n/a","1500","0.12","113937"
"Merchants Financial Services,"Inc."","Crane Hill,"AL"","2020","Roy L. Graham","n/a","89370","7.06","113937"
"Merchants Financial Services,"Inc."","Cullman,"AL"","2020","John T. Williamson","n/a","72810","5.75","113937"
"Merchants Financial Services,"Inc."","Cullman,"AL"","2020","-John Jeb Williamson","n/a","1500","0.12","113937"
"Merchants Financial Services,"Inc."","Cullman,"AL"","2020","John P. White","n/a","31664","2.50","113937"
"Merchants Financial Services,"Inc."","Cullman,"AL"","2020","William E. White","n/a","15086","1.19","113937"
"Merchants Financial Services,"Inc."","Cullman,"AL"","2020","Cynthia W. Geisen","n/a","23375","1.85","113937"
"Merchants Financial Services,"Inc."","Cullman,"AL"","2020","Billy W Fletcher","n/a","61000","4.82","113937"
"Merchants Financial Services,"Inc."","Cullman,"AL"","2020","-Marla N. Ayers","n/a","4410","0.35","113937"
"Merchants Financial Services,"Inc."","Cullman,"AL"","2020","-R Clain Fletcher","n/a","3375","0.27","113937"
"Merchants Financial Services,"Inc."","Cullman,"AL"","2020","-Catana Fletcher Jones","n/a","1875","0.15","113937"
"Merchants Financial Services,"Inc."","Cullman,"AL"","2020","-Telia Fletcher King","n/a","1875","0.15","113937"
"Merchants Financial Services,"Inc."","Cullman,"AL"","2020","-Fletcher Thomas Reeling","n/a","1500","0.12","113937"
"Merchants Financial Services,"Inc."","Vinemont,"AL"","2020","Beverly White","n/a","70125","5.54","113937"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Merchants Financial Services,"Inc."","Chairman","Steve Glasscock","Chairman","n/a","2020","Retired","113937"
"Merchants Financial Services,"Inc."","Secretary/Treasurer,"Director"","Reba Miller","Secretary/Director","n/a","2020","Businesswoman","113937"
"Merchants Financial Services,"Inc."","Vice Chairman","S. Wayne Fuller","Vice Chairman","n/a","2020","Attorney","113937"
"Merchants Financial Services,"Inc."","Director Emeritus","David Moss,"Sr."","Director Emeritus","n/a","2020","Retired","113937"
"Merchants Financial Services,"Inc."","Director","Billy Fletcher","Director","n/a","2020","Retired","113937"
"Merchants Financial Services,"Inc."","Director","John T. Williamson","Director","n/a","2020","Veterinarian","113937"
"Merchants Financial Services,"Inc."","Vice Chairman","Judy P. Butler","Vice Chairman","n/a","2020","Businesswoman","113937"
"Merchants Financial Services,"Inc."","Director","Christopher N. Borden","Director","n/a","2020","Pharmacist","113937"
"Merchants Financial Services,"Inc."","Director","Andrew J. Ratliff","Director","n/a","2020","Business Owner","113937"
"Merchants Financial Services,"Inc."","Executive VP","Charles R. NeSmith","President & CEO","n/a","2020","Banking","113937"
"Merchants Financial Services,"Inc."","EVP & CFO","W. Clark Rainwater","EVP & CFO","n/a","2020","Banking","113937"
"Merchants Financial Services,"Inc."","n/a","Steve Glasscock","Partner","SASG Properties,"LLC"","2020","n/a","113937"
"Merchants Financial Services,"Inc."","n/a","Reba Miller","Partner","Triple A Property Investors","2020","n/a","113937"
"Merchants Financial Services,"Inc."","n/a","S. Wayne Fuller","Partner","Fuller,"Willingham & Carter","LLC"","2020","n/a","113937"
"Merchants Financial Services,"Inc."","n/a","David Moss,"Sr."","Director","Cooper Property Mgmt. Inc.","2020","n/a","113937"
"Merchants Financial Services,"Inc."","n/a","David Moss,"Sr."","Partner","Moss Sr. Moss Jr.,"LLC"","2020","n/a","113937"
"Merchants Financial Services,"Inc."","n/a","David Moss,"Sr."","Shareholder","MBH Properties","2020","n/a","113937"
"Merchants Financial Services,"Inc."","n/a","Judy P. Butler","Partner","Southeast Lawn & Tractor Center,"Inc."","2020","n/a","113937"
"Merchants Financial Services,"Inc."","n/a","Judy P. Butler","Partner","BJM Company","2020","n/a","113937"
"Merchants Financial Services,"Inc."","n/a","Christopher N. Borden","Owner","The Borden Company LLC","2020","n/a","113937"
"Merchants Financial Services,"Inc."","n/a","Andrew J. Ratliff","Partner","AR & DR Holdings LLC","2020","n/a","113937"
"Merchants Financial Services,"Inc."","n/a","Andrew J. Ratliff","Owner","Farmers Poultry Supply,"Inc."","2020","n/a","113937"
"Merchants Financial Services,"Inc."","n/a","W. Clark Rainwater","Partner","Rainwater Farms","2020","n/a","113937"
```
