```text
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"MetroCity Bankshares,"Inc."","Duluth,"GA"","2020","Feiying Lu","Common stock","163256","0.64%","n/a"
"MetroCity Bankshares,"Inc."","Atlanta,"GA"","2020","Nack Y. Paek *","Common stock","1259768","4.91%","n/a"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"MetroCity Bankshares,"Inc."","Director,"Chairman & CEO"","Nack Y. Paek","n/a","Magna Properties,"LLC"","2020","n/a","n/a"
"MetroCity Bankshares,"Inc."","Director,"Chairman & CEO"","Nack Y. Paek","n/a","Magna Capital,"LLC"","2020","n/a","n/a"
"MetroCity Bankshares,"Inc."","Director,"Chairman & CEO"","Nack Y. Paek","n/a","5385 JC,"LLC"","2020","n/a","n/a"
"MetroCity Bankshares,"Inc."","Director,"Chairman & CEO"","Nack Y. Paek","n/a","U Store,"LLC"","2020","n/a","n/a"
"MetroCity Bankshares,"Inc."","Director,"Chairman & CEO"","Nack Y. Paek","n/a","H & N Kimball,"LLC"","2020","n/a","n/a"
"MetroCity Bankshares,"Inc."","Director,"President & CFO"","Farid Tan","Director,"CEO & CFO"","n/a","2020","n/a","n/a"
"MetroCity Bankshares,"Inc."","Director,"EVP/CLO/COO"","Hwa Saeng Kim","Director & President EVP/CLO/COO","n/a","2020","n/a","n/a"
"MetroCity Bankshares,"Inc."","Director","William J. Hungeling","President","Hungeling CPA,"P.C."","2020","CPA","n/a"
"MetroCity Bankshares,"Inc."","Director & Secretary","Sion Nyen Lai","President","Fulton Beverage Center,"Inc."","2020","Manager","n/a"
"MetroCity Bankshares,"Inc."","Director & Secretary","Sion Nyen Lai","President","n/a","2020","Manager","n/a"
"MetroCity Bankshares,"Inc."","Director","Don T. P. Leung","n/a","DTPL & Associates,"LLC"","2020","Businessman","n/a"
"MetroCity Bankshares,"Inc."","Director","Feiying Lu","n/a","n/a","2020","Controller","n/a"
"MetroCity Bankshares,"Inc."","Director","Young Park","President","Kani House Restaurants,"Inc."","2020","Businessman","n/a"
"MetroCity Bankshares,"Inc."","Director","Ajit A. Patel","Managing Member","Amrit & Sons I,"LLC"","2020","Hotelier","n/a"
"MetroCity Bankshares,"Inc."","Director","Ajit A. Patel","Managing Member","Relax Hospitality,"LLC"","2020","Hotelier","n/a"
"MetroCity Bankshares,"Inc."","Director","Frank S. Rhee","n/a","n/a","2020","Web Designer","n/a"
"MetroCity Bankshares,"Inc."","Director","Sam S. Shim","President","SKS Consulting Services","2020","CPA","n/a"
```
