```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"North Side Bancshares,"Inc."","Calhoun,"GA"","2014","Debra Owens","Common Stock","257,"500"","7.98%","3370393"
"North Side Bancshares,"Inc."","Calhoun,"GA"","2014","Debra Owens","Warrants","n/a","n/a","3370393"
"North Side Bancshares,"Inc."","Calhoun,"GA"","2014","Walter Styers","Common Stock","175,"000"","5.42%","3370393"
"North Side Bancshares,"Inc."","Calhoun,"GA"","2014","Walter Styers","Warrants","n/a","n/a","3370393"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"North Side Bancshares,"Inc."","President & CEO","Larry Flowers","n/a","n/a","2014","n/a","3370393"
"North Side Bancshares,"Inc."","Executive Vice President & CFO","Barry Adcock","n/a","n/a","2014","n/a","3370393"
"North Side Bancshares,"Inc."","Executive Vice President","Eileen Howell","n/a","n/a","2014","n/a","3370393"
"North Side Bancshares,"Inc."","Director","Paul Beckham","Chairman","Hope-Beckham,"Inc."","2014","Public Relations","3370393"
"North Side Bancshares,"Inc."","Director","Glenn Burns","Chief Meteorologist","WSBTV/Cox Media Group","2014","Chief Meteorologist","3370393"
"North Side Bancshares,"Inc."","Director","Eldon Carman","n/a","n/a","2014","Endodontist","3370393"
"North Side Bancshares,"Inc."","Director & Chairman","Robert Cox","Partner (2%)","LakePoint Land LLC","2014","Retired MLB Manager","3370393"
"North Side Bancshares,"Inc."","Director","Calvin Evans","Managing Member","Augsburg Investments,"LLC"","2014","Real Estate Investor","3370393"
"North Side Bancshares,"Inc."","Director","Calvin Evans","Managing Member","Blackrock realty","2014","Real Estate Investor","3370393"
"North Side Bancshares,"Inc."","Director & Vice Chairman","J. Wayne Lester","n/a","n/a","2014","Retired CPA","3370393"
"North Side Bancshares,"Inc."","Director","Steve Fehlenberg","President","Steven R. Fehlenberg & Co.,"PC"","2014","Financial Advisor","3370393"
"North Side Bancshares,"Inc."","Director","Steve Fehlenberg","General Partner","Parkside Trail","2014","Financial Advisor","3370393"
"North Side Bancshares,"Inc."","Director","Steve Fehlenberg","Managing Member","Windsor Brooke Books,"LLC"","2014","Financial Advisor","3370393"
"North Side Bancshares,"Inc."","Director","Steve Fehlenberg","Owner/Member","506 Roswell Street Partners","2014","Financial Advisor","3370393"
"North Side Bancshares,"Inc."","Director","Bruce Thompson","President/CEO","Automatic Cover Systems","2014","GA State Senator/ Entrepreneur","3370393"
"North Side Bancshares,"Inc."","Director","Bruce Thompson","President/CEO","The Thompson Group (Allstate)","2014","GA State Senator/ Entrepreneur","3370393"
"North Side Bancshares,"Inc."","Director","Bruce Thompson","CEO","Bruce Thompson Enterprises","2014","GA State Senator/ Entrepreneur","3370393"
"North Side Bancshares,"Inc."","Director","Bruce Thompson","CEO","Quoteburst","2014","GA State Senator/ Entrepreneur","3370393"
"North Side Bancshares,"Inc."","Director","Bruce Thompson","Partner","Lifecycle Software","2014","GA State Senator/ Entrepreneur","3370393"
"North Side Bancshares,"Inc."","Director","Bruce Thompson","Trustee","Truett McConnell College","2014","GA State Senator/ Entrepreneur","3370393"
"North Side Bancshares,"Inc."","Director & Chairman","Charles Shultz","Secretary/Treasurer Manager","21st Century Nationwide,"LLC"","2014","Business Consultant","3370393"
"North Side Bancshares,"Inc."","Director & Chairman","Charles Shultz","Member Only","Milton Organizers,"LLC"","2014","Business Consultant","3370393"
"North Side Bancshares,"Inc."","Director & Chairman","Charles Shultz","Manager & Chairman of Board of Managers & Secretary/Treasurer","NorthSide Holdings,"LLC"","2014","Business Consultant","3370393"
"North Side Bancshares,"Inc."","Director & Chairman","Charles Shultz","Manager","Southern Sportsman Enterprises,"LLC"","2014","Business Consultant","3370393"
"North Side Bancshares,"Inc."","Director & Chairman","Charles Shultz","Manager","Orlando Wilson Outdoor Adventures,"LLC"","2014","Business Consultant","3370393"
"North Side Bancshares,"Inc."","Director & Chairman","Charles Shultz","Secretary/Treasurer Manager","Wilson Property Investments,"LLC"","2014","Business Consultant","3370393"
"North Side Bancshares,"Inc."","Director & Chairman","Charles Shultz","Secretary/Treasurer","21st Century Holdings,"Inc."","2014","Business Consultant","3370393"
"North Side Bancshares,"Inc."","Director & Chairman","Charles Shultz","Secretary/Treasurer Manager","The Quarry Estates,"LLC"","2014","Business Consultant","3370393"
"North Side Bancshares,"Inc."","Director & Chairman","Charles Shultz","Secretary/Treasurer Manager","Hall Station Developers,"LLC"","2014","Business Consultant","3370393"
"North Side Bancshares,"Inc."","Director & Chairman","Charles Shultz","Manager","Georgia North Property Development Company,"LLC"","2014","Business Consultant","3370393"
"North Side Bancshares,"Inc."","Director & Chairman","Charles Shultz","Secretary/Treasurer Manager","Sportsman Properties,"LLC"","2014","Business Consultant","3370393"
"North Side Bancshares,"Inc."","Director & Chairman","Charles Shultz","Secretary/Treasurer Manager","The Quarry Phase II,"LLC"","2014","Business Consultant","3370393"
"North Side Bancshares,"Inc."","Director & Chairman","Charles Shultz","Secretary/Treasurer Manager","JCW Investments,"LLC"","2014","Business Consultant","3370393"
"North Side Bancshares,"Inc."","Director & Chairman","Charles Shultz","President","Summit Business Services,"LLC"","2014","Business Consultant","3370393"
"North Side Bancshares,"Inc."","Director & Chairman","Charles Shultz","Manager","CIB Partners,"LLC"","2014","Business Consultant","3370393"
"North Side Bancshares,"Inc."","Director & Chairman","Charles Shultz","Manager","Allied Business Services,"LLC"","2014","Business Consultant","3370393"
```
