```csv
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Oconee Financial Corporation","Watkinsville,"Georgia"","2017","Susan Wells Brodrick","Common Stock","87913","9.77%","2729499"
"Oconee Financial Corporation","Watkinsville,"Georgia"","2017","Hardigree Properties,"LLLP"","Common Stock","47240","5.25%","2729499"
"Oconee Financial Corporation","Carrboro,"North Carolina"","2017","Caroline Wells Pence","Common Stock","76850","8.54%","2729499"
"Oconee Financial Corporation","Watkinsville,"Georgia"","2017","Virginia S. Wells","Common Stock","166785","18.54%","2729499"
```
```csv
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Oconee Financial Corporation","Executive VP","Philip A. Bernardi","n/a","n/a","2017","N/A","2729499"
"Oconee Financial Corporation","Director","G. Robert Bishop","Partner","n/a","2017","Retired","2729499"
"Oconee Financial Corporation","Director","Brian J. Brodrick","n/a","New High Shoals Properties,"LLC"","2017","Marketing & Communications","2729499"
"Oconee Financial Corporation","Director","Mack H. Guest,"III"","President & CEO","LAD Truck Lines,"Inc."","2017","Transportation,"Logistics","& Warehousing"","2729499"
"Oconee Financial Corporation","Director","Mack H. Guest,"III"","President & CEO","LAD Logistics,"Inc."","2017","Transportation,"Logistics","& Warehousing"","2729499"
"Oconee Financial Corporation","Director","Mack H. Guest,"III"","President & CEO","Dutch Properties,"Inc."","2017","Transportation,"Logistics","& Warehousing"","2729499"
"Oconee Financial Corporation","Director","Mack H. Guest,"III"","President & CEO","Chicken Bros. Leasing,"Inc."","2017","Transportation,"Logistics","& Warehousing"","2729499"
"Oconee Financial Corporation","Director & Vice Chairman","J. Albert Hale,"Sr."","Owner","Hale's Dairy","2017","Dairy & Poultry Farmer","2729499"
"Oconee Financial Corporation","Director","Henry C. Maxey","President","Maxey Brothers,"Inc."","2017","Site development & grading contractor","2729499"
"Oconee Financial Corporation","Director","Henry C. Maxey","President","Fie Fays Unlimited,"Inc."","2017","Site development & grading contractor","2729499"
"Oconee Financial Corporation","Director","Jonathan R. Murrow","Physician/Cardiologist","Athens Regional Cardiology Group","2017","Medical Doctor/ Cardiologist & Associate Professor","2729499"
"Oconee Financial Corporation","Director","Jonathan R. Murrow","Physician/Cardiologist","Infrared RX,"Inc."","2017","Medical Doctor/ Cardiologist & Associate Professor","2729499"
"Oconee Financial Corporation","Executive VP & CFO","Steven A. Rogers","n/a","n/a","2017","N/A","2729499"
"Oconee Financial Corporation","Director","W. Toby Smith","Member","Trinity Accounting Group","2017","Certified Public Accountant","2729499"
"Oconee Financial Corporation","Director","W. Toby Smith","Member","TSR,"LLP"","2017","Certified Public Accountant","2729499"
"Oconee Financial Corporation","Director & President/CEO","T. Neil Stevens","n/a","n/a","2017","N/A","2729499"
"Oconee Financial Corporation","Director,"Sr. Exec. VP","& Corp Secy."","Jerry K. Wages","n/a","n/a","2017","N/A","2729499"
"Oconee Financial Corporation","Director & Board Chair","Virginia S. Wells","President & CEO","Wells & Company Realtors,"Inc."","2017","Real estate developer & property management","2729499"
"Oconee Financial Corporation","Director & Board Chair","Virginia S. Wells","Limited Partner","VSC Properties,"LLLP"","2017","Real estate developer & property management","2729499"
"Oconee Financial Corporation","Director & Board Chair","Virginia S. Wells","Limited Partner","McRee Properties,"LLLP"","2017","Real estate developer & property management","2729499"
"Oconee Financial Corporation","Director & Executive VP","Tom F. Wilson","n/a","n/a","2017","N/A","2729499"
```
