```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"First American Bank and Trust","Vacherie,"Louisiana"","2019","family of Mr. J.B. Falgoust","n/a","299422","14.49%","n/a"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"First American Bank & Trust","President & CEO,"Director"","Ronald J. Falgoust","President & CEO,"Director"","First American Bank & Trust","2019","n/a","101037"
"First American Bank & Trust","Director","Craig G. Brazan","n/a","Bedrock Petroleum Services","2019","Petroleum Engineer","101037"
"First American Bank & Trust","Director","Michael J. Cazenave","n/a","West St. James Pharmacy","2019","Pharmacist","101037"
"First American Bank & Trust","Director","Steven G. Cazenave","Sales Manager","Cazenave Motor Company,"Inc."","2019","Retailer","101037"
"First American Bank & Trust","Director","Dean T. Falgoust","Vice President","Freeport - McMoran Inc.","2019","Attorney","101037"
"First American Bank & Trust","n/a","J. B. Falgoust","President","Anita Planting Co.","2019","N/A","101037"
"First American Bank & Trust","n/a","J. B. Falgoust","President","J. B. Falgoust Farm,"L.L.C."","2019","N/A","101037"
"First American Bank & Trust","n/a","J. B. Falgoust","President","Shell Hill Planting","2019","N/A","101037"
"First American Bank & Trust","Executive Vice President","Malcolm J. Peytavin","n/a","n/a","2019","N/A","101037"
"First American Bank & Trust","Director","Marcel T. Graugnard,"Jr."","President","Graugnard,"Inc."","2019","Retailer","101037"
"First American Bank & Trust","Director","Marcel T. Graugnard,"Jr."","President","Graugnard Bros.","2019","Retailer","101037"
"First American Bank & Trust","Director","Ozane J. Gravois,"III"","President","Gravois Farms","2019","Farmer","101037"
"First American Bank & Trust","Director","Ozane J. Gravois,"III"","President","Armant Plantation,"Inc."","2019","Farmer","101037"
"First American Bank & Trust","Director","Ozane J. Gravois,"III"","President","Sweet Home,"Inc."","2019","Farmer","101037"
"First American Bank & Trust","Director","Ozane J. Gravois,"III"","President","Edgard Farms","2019","Farmer","101037"
"First American Bank & Trust","Director","Ozane J. Gravois,"III"","President","Belmont Farms","2019","Farmer","101037"
"First American Bank & Trust","Director","Ozane J. Gravois,"III"","President","Blackberry Farms","2019","Farmer","101037"
"First American Bank & Trust","Director","Dr. Randall C. Poche","Coroner","St James Parish,"LA"","2019","Physician","101037"
"First American Bank & Trust","Director","Debra Dufresne Vial","Management Team","St. Charles Hotel,"LLC"","2019","Manager","101037"
"First American Bank & Trust","Director","Debra Dufresne Vial","Management Team","Jackie Bee -Holdings,"LLC"","2019","Manager","101037"
"First American Bank & Trust","Director","Debra Dufresne Vial","Management Team","Esperanza Investments,"LLC"","2019","Manager","101037"
"First American Bank & Trust","Director","Debra Dufresne Vial","Management Team","Esperanza Land-Holdings,"LLC"","2019","Manager","101037"
"First American Bank & Trust","Director","Debra Dufresne Vial","Management Team","414 Properties,"LLC"","2019","Manager","101037"
"First American Bank & Trust","Director","Debra Dufresne Vial","Management Team","Green & Gold Properties,"LLC"","2019","Manager","101037"
"First American Bank & Trust","Director","Albert J. Waguespack,"Jr."","President","Waguespack Oil Co.","2019","Oil Distributor","101037"
"First American Bank & Trust","Director","Albert J. Waguespack,"Jr."","President","Wag-A-Pak","2019","Oil Distributor","101037"
"First American Bank & Trust","Director","Albert J. Waguespack,"Jr."","Secretary","Wag-A-Pak VIII","2019","Oil Distributor","101037"
"First American Bank & Trust","Director","Albert J. Waguespack,"Jr."","President","Wag-A-Pak IX","2019","Oil Distributor","101037"
"First American Bank & Trust","Director","Albert J. Waguespack,"Jr."","President","Wag-A-Pak X","2019","Oil Distributor","101037"
"First American Bank & Trust","Director","Albert J. Waguespack,"Jr."","President","Wag-A-Pak III","2019","Oil Distributor","101037"
```
