```csv
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"One South Financial,"Inc."","Dalton,"GA"","2017","Anne S. Hammack","Individually Owned","6083","n/a","n/a"
"One South Financial,"Inc."","Dalton,"GA"","2017","Anne S. Hammack","Voting Control","2330","n/a","n/a"
"One South Financial,"Inc."","Dalton,"GA"","2017","Anne S. Hammack","Voting Control","4458","n/a","n/a"
"One South Financial,"Inc."","Dalton,"GA"","2017","Anne S. Hammack","Joint Owner","3440","n/a","n/a"
"One South Financial,"Inc."","Dalton,"GA"","2017","Anne S. Hammack","Voting Control","1250","n/a","n/a"
"One South Financial,"Inc."","Dalton,"GA"","2017","Anne S. Hammack","Voting Control","1250","n/a","n/a"
"One South Financial,"Inc."","Dalton,"GA"","2017","James Albert Hammack","Individually Owned","11488","6.34%","n/a"
"One South Financial,"Inc."","Dalton,"GA"","2017","James A Hammack III","Son","2515","1.39%","n/a"
"One South Financial,"Inc."","n/a","2017","Henrietta McArthur Singletary","Individually Owned","2255","n/a","n/a"
"One South Financial,"Inc."","n/a","2017","Henrietta McArthur Singletary","Voting Control","1487","n/a","n/a"
"One South Financial,"Inc."","n/a","2017","Henrietta McArthur Singletary","Voting Control","1250","n/a","n/a"
"One South Financial,"Inc."","n/a","2017","Henrietta McArthur Singletary","Voting Control","1486","n/a","n/a"
"One South Financial,"Inc."","n/a","2017","Henrietta McArthur Singletary","Voting Control","1250","n/a","n/a"
"One South Financial,"Inc."","n/a","2017","Henrietta McArthur Singletary","Voting Control","1486","n/a","n/a"
"One South Financial,"Inc."","n/a","2017","Henrietta McArthur Singletary","Voting Control","1250","n/a","n/a"
"One South Financial,"Inc."","n/a","2017","Henry Duncan Singletary","Voting Control","2345","1.29%","n/a"
"One South Financial,"Inc."","n/a","2017","Marvin McArthur Singletary","Voting Control","2345","1.29%","n/a"
"One South Financial,"Inc."","n/a","2017","Raymond Quillian Singletary","Voting Control","2345","1.29%","n/a"
```
```csv
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"One South Financial,"Inc."","Director","Thomas A. Beaty","n/a","n/a","2017","Retired","n/a"
"One South Financial,"Inc."","Director","Garrett N. Bennett","Physician","Miller County Hospital","2017","Physician","n/a"
"One South Financial,"Inc."","Director","Patricia M. Cleveland","n/a","n/a","2017","Retired","n/a"
"One South Financial,"Inc."","Director","D. Ronald Davis","President","Panhandle Auctions,"Inc."","2017","Retired","n/a"
"One South Financial,"Inc."","Director","D. Ronald Davis","Vice President","Peanut Growers Association","2017","Retired","n/a"
"One South Financial,"Inc."","Director","Eugene H. Giles","n/a","n/a","2017","Retired","n/a"
"One South Financial,"Inc."","Director","Richard D. Grist,"Jr."","President","Grist Oil Co.","2017","Oil Jobber","n/a"
"One South Financial,"Inc."","Director","Alfred D. Guettler","President","Guettler & Guettler,"Inc."","2017","construction business","n/a"
"One South Financial,"Inc."","Chairman","J. Albert Hammack","Retired","Jolly Textiles,"Inc."","2017","President,"Jolly Textiles",","n/a"
"One South Financial,"Inc."","Chairman of Board","James Stephen Singletary","President","Singletary Properties,"LLC"","2017","Farmer","n/a"
"One South Financial,"Inc."","n/a","James Stephen Singletary","n/a","Singletary Farms","2017","Farmer","n/a"
"One South Financial,"Inc."","Director","William A. Smith","President","Cherokee Rose Farm","2017","Farmer","n/a"
"One South Financial,"Inc."","Director","Jack H. Sutton","n/a","n/a","2017","Retired","n/a"
"One South Financial,"Inc."","President,"CEO & Director"","Kim Davis Wilson","n/a","n/a","2017","None","n/a"
```
