```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Millennium Bancshares,"Inc."","Chattanooga,"TN"","2018","PBD Holdings,"LLC"","Common Stock","1467448","54%","n/a"
"AB&T Financial Corporation","Chattanooga,"TN"","2018","PBD Holdings,"LLC"","Common Stock","17971603","57%","n/a"
"AB&T Financial Corporation","New York,"NY"","2018","CEDE & Co","Common Stock","2163991","6%","n/a"
"AB&T Financial Corporation","Gastonia,"NC"","2018","Charles L. Yates","Common Stock","2187150","6%","n/a"
"AB&T Financial Corporation","Kings Mtn,"NC"","2018","Roger Dale Bingham & Patricia A. Bingham","Common Stock","1875000","5%","n/a"
"First Columbia Bancorp,"Inc."","Chattanooga,"TN"","2018","PBD Holdings,"LLC"","Common Stock","4265124","97%","n/a"
"First Columbia Bancorp,"Inc."","Lake City,"FL"","2018","Estate of Stafford Lester Scaff,"Jr."","Common Stock","3985100","91%","n/a"
"First Columbia Bancorp,"Inc."","Lake City,"FL"","2018","Jenny Drawdy,"Personal Representative Estate of Stafford Lester Scaff Jr."","Common Stock","n/a","30%","n/a"
"First Columbia Bancorp,"Inc."","Lake City,"FL"","2018","David Goolsby,"Personal Representative Estate of Stafford Lester Scaff Jr."","Common Stock","n/a","30%","n/a"
"First Columbia Bancorp,"Inc."","Lake City,"FL"","2018","Gary Scaff,"Personal Representative Estate of Stafford Lester Scaff Jr."","Common Stock","n/a","30%","n/a"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Millennium Bancshares,"Inc."","Principal Securities Holder","P. Byron DeFoor","n/a","AB&T Financial Corporation","2018","Senior Housing and Long-Term Care","n/a"
"Millennium Bancshares,"Inc."","Director","Dan M. Boyd IV","President & CEO","Alliance Bank & Trust","2018","Banker","n/a"
"Millennium Bancshares,"Inc."","Director","Dan M. Boyd IV","n/a","Millennium Bancshares,"Inc."","2018","Banker","n/a"
"Millennium Bancshares,"Inc."","Chairman of the Board","Craig D. Taylor","Partner","Contemporary Health-care Capital,"LLC"","2018","Asset Manager","n/a"
"Millennium Bancshares,"Inc."","Vice Chairman","Craig D. Taylor","Partner","Contemporary Health-care Capital,"LLC"","2018","Asset Manager","n/a"
"Millennium Bancshares,"Inc."","Director","Don J. Harrison","n/a","n/a","2018","Retired Banker","n/a"
"Millennium Bancshares,"Inc."","Chairman of the Board","F. Alan Smith","n/a","n/a","2018","Bank Consultant","n/a"
"Millennium Bancshares,"Inc."","Director","John P. O'Brien,"Jr."","n/a","n/a","2018","Nursing Homes","n/a"
"Millennium Bancshares,"Inc."","Director","D. Scott Howell","n/a","n/a","2018","Retired Banker","n/a"
"Millennium Bancshares,"Inc."","Director & President","Michael E. Haskew","n/a","n/a","2018","N/A","n/a"
"Millennium Bancshares,"Inc."","Director & EVP","Gregory A. Henry","Director","Humane Educational Society of Chattanooga","2018","N/A","n/a"
"Millennium Bancshares,"Inc."","SVP","Michael L. Rouse","n/a","n/a","2018","N/A","n/a"
"Millennium Bancshares,"Inc."","SVP","Paul D. Ragland","Director","PaymentsFirst","2018","N/A","n/a"
"Millennium Bancshares,"Inc."","SVP","Karen H. Billingsley","n/a","n/a","2018","N/A","n/a"
"First Columbia Bancorp,"Inc."","Principal Securities Holder","PBD Holdings,"LLC"","n/a","n/a","2018","CPA","n/a"
"First Columbia Bancorp,"Inc."","Director & Chairman","Richard Johnson","n/a","n/a","2018","CPA","n/a"
"First Columbia Bancorp,"Inc."","Director & Vice Chairman","Gordon P. Summers","Co-Manager","Pineroots,"LLC"","2018","Attorney","n/a"
"AB&T Financial Corporation","President & CEO","Dan M. Boyd IV","Director","Millennium Bancshares,"Inc."","2018","N/A","n/a"
"AB&T Financial Corporation","Director","David W. White","President","White Investments of Shelby,"LLC"","2018","Real Estate Construction and Investment","n/a"
"AB&T Financial Corporation","Director","Carl J. Stewart,"Jr.","Esq"","n/a","n/a","2018","Attorney at Law","n/a"
"AB&T Financial Corporation","Director","Charles L. Yates","n/a","n/a","2018","Hospitality Management","n/a"
"AB&T Financial Corporation","Director","John H. Whaley","n/a","n/a","2018","Carpet and Tile Contractor","n/a"
"AB&T Financial Corporation","Director","Millie K. Holbrook","n/a","n/a","2018","Retired","n/a"
"AB&T Financial Corporation","Chief Financial Officer","Roger A. Mobley","n/a","n/a","2018","N/A","n/a"
```
