```text
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"PCNB CORP.","Summit,"MS"","2021","Jennifer S. Wallace","Common Stock","74338","13.423%","n/a"
"PCNB CORP.","Brandon,"MS"","2021","John Ellis Solomon,"Sr."","Common Stock","44429","8.022%","n/a"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"PCNB CORP.","President-CEO","Jennifer S. Wallace","Managing member","Sones3 Enterprises,"LLC"","2021","n/a","n/a"
"PCNB CORP.","Director/Secretary & Treasurer","John Ellis Solomon","Member","Life's A Beach,"LLC"","2021","Real Estate,"Oil & Gas"","n/a"
"PCNB CORP.","Director/Secretary & Treasurer","John Ellis Solomon","Member","Winner,"LLC"","2021","Real Estate,"Oil & Gas"","n/a"
"PCNB CORP.","Director/Secretary & Treasurer","John Ellis Solomon","Member","C-Lab Watch","2021","Real Estate,"Oil & Gas"","n/a"
"PCNB CORP.","Director/Secretary & Treasurer","John Ellis Solomon","Member","Mattice Office Company,"LLC"","2021","Real Estate,"Oil & Gas"","n/a"
"PCNB CORP.","Director/Secretary & Treasurer","John Ellis Solomon","Member","C Core Energy Mgmt Co,"LLC"","2021","Real Estate,"Oil & Gas"","n/a"
"PCNB CORP.","Director/Secretary & Treasurer","John Ellis Solomon","Partner","Live Oak Properties,"LLC"","2021","Real Estate,"Oil & Gas"","n/a"
"PCNB CORP.","Director/Secretary & Treasurer","John Ellis Solomon","President","Ellis Holdings Company,"LLC"","2021","Real Estate,"Oil & Gas"","n/a"
"PCNB CORP.","Director/Secretary & Treasurer","John Ellis Solomon","Member","Byram Parkway,"LLC"","2021","Real Estate,"Oil & Gas"","n/a"
"PCNB CORP.","Director/Secretary & Treasurer","John Ellis Solomon","Member","JBJ,"LLC"","2021","Real Estate,"Oil & Gas"","n/a"
"PCNB CORP.","Director/Secretary & Treasurer","John Ellis Solomon","Member","Adara Watch,"LLC"","2021","Real Estate,"Oil & Gas"","n/a"
"PCNB CORP.","Director/Secretary & Treasurer","John Ellis Solomon","Member","Big Italian,"LLC"","2021","Real Estate,"Oil & Gas"","n/a"
"PCNB CORP.","Director/Secretary & Treasurer","John Ellis Solomon","Member","Power Watch,"LLC"","2021","Real Estate,"Oil & Gas"","n/a"
"PCNB CORP.","Director/Secretary & Treasurer","John Ellis Solomon","Member","Ellis Entergy,"LLC"","2021","Real Estate,"Oil & Gas"","n/a"
"PCNB CORP.","Director/Secretary & Treasurer","John Ellis Solomon","Member","Flowood Office,"LLC"","2021","Real Estate,"Oil & Gas"","n/a"
"PCNB CORP.","Director/Secretary & Treasurer","John Ellis Solomon","Member","Freshmade,"LLC"","2021","Real Estate,"Oil & Gas"","n/a"
"PCNB CORP.","Director and Chairman","James L. Alford","Member","Barat Properties,"LLC"","2021","Oil & Gas Exploration","n/a"
"PCNB CORP.","Director and Chairman","James L. Alford","Member","South Carlton,"LLC"","2021","Oil & Gas Exploration","n/a"
"PCNB CORP.","Vice Chairman of the Board and Bank","E. James Wicker","Managing Partner","Live Oak Properties,"LLC"","2021","n/a","n/a"
"PCNB CORP.","Executive Vice President","Diane H. Cothern","Member","Live Oak Properties,"LLC"","2021","n/a","n/a"
"PCNB CORP.","Director","Keith A. White","Member","WM Food Service of Brookhaven,"Inc."","2021","Real Estate & Auto Broker","n/a"
"PCNB CORP.","Director","Keith A. White","Member","KRW Real Estate,"LLC"","2021","Real Estate & Auto Broker","n/a"
"PCNB CORP.","Director","Keith A. White","Member","K Brook Properties,"LLC"","2021","Real Estate & Auto Broker","n/a"
"PCNB CORP.","Director","Keith A. White","Member","White and Sons,"Inc"","2021","Real Estate & Auto Broker","n/a"
"PCNB CORP.","Director","Keith A. White","Member","Covenant Resources","2021","Real Estate & Auto Broker","n/a"
"PCNB CORP.","Director","Keith A. White","Member","McComb Gym,"Inc."","2021","Real Estate & Auto Broker","n/a"
"PCNB CORP.","Director","Keith A. White","Member","Red Star Auto Brokers,"Inc."","2021","Real Estate & Auto Broker","n/a"
"PCNB CORP.","Director","Keith A. White","Member","Appex Properties LLC","2021","Real Estate & Auto Broker","n/a"
"PCNB CORP.","Director","L. Lamar Murrell","Owner","Selmans Jewelers-Gemologist,"Inc."","2021","Jeweler & Gemeologist","n/a"
```
