```text
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Pedestal Bank","Houma,"Louisiana"","2019","None","n/a","n/a","n/a","n/a"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Pedestal Bank","Director","Glen D. Bertrand","None","Ray's Laundry & Cleaning LLC","2019","Banker","n/a"
"Pedestal Bank","Director","Toby Brady","Co-Owner / Member","Diamond T Investments,"LLC"","2019","Contracting/Consulting","n/a"
"Pedestal Bank","Director","Toby Brady","Co-Owner / Member","Star T Contractors,"Inc."","2019","Contracting/Consulting","n/a"
"Pedestal Bank","Director","Toby Brady","Co-Owner / Member","Cypress Bottom Farms,"LLC"","2019","Contracting/Consulting","n/a"
"Pedestal Bank","Director","Toby Brady","Co-Owner / Member","Louisiana Capital Group,"LLC"","2019","Contracting/Consulting","n/a"
"Pedestal Bank","Director","Toby Brady","Co-Owner / Member","Todd and Toby Investments,"LLC"","2019","Contracting/Consulting","n/a"
"Pedestal Bank","Director","Toby Brady","Co-Owner / Member","BG Financial,"LLC"","2019","Contracting/Consulting","n/a"
"Pedestal Bank","Director","Toby Brady","Co-Owner/Member","B-AC Holdings,"LLC"","2019","Contracting/Consulting","n/a"
"Pedestal Bank","Director","Toby Brady","Co-Owner / Member","Global Properties,"LLC"","2019","Contracting/Consulting","n/a"
"Pedestal Bank","Director","Toby Brady","Co-Owner / Member","Air-Nu of Baton Rouge,"LLC"","2019","Contracting/Consulting","n/a"
"Pedestal Bank","Director","Toby Brady","Co-Owner / Member","Air-Nu of Lake Charles,"LLC"","2019","Contracting/Consulting","n/a"
"Pedestal Bank","Director","David Brown,"MD"","David J. Brown,"MD"","David J. Brown,"MD FACS"","2019","David Brown,"MD"","n/a"
"Pedestal Bank","Director","James B. Bulliard Sr.","President & Director","Cajun Chef Products,"Inc."","2019","Wholesale Distributor","n/a"
"Pedestal Bank","Vice Chairman,"Director"","J.J. Buquet,"III"","President/General Manager","Buquet Distributing Co.,"Inc."","2019","Wholesale Distribution","n/a"
"Pedestal Bank","Director","Ricky Day","Owner","Ricky Day Trucking","2019","Freight Shipping & Trucking","n/a"
"Pedestal Bank","Director","O. H. Deshotels,"III"","Attorney","Deshotels and Deshotels","2019","Attorney","n/a"
"Pedestal Bank","Director","Alcee J. Durand Jr.","President","Durand Cattle Co. Inc.","2019","Cattle","n/a"
"Pedestal Bank","President & CEO","Mark P. Folse","Member","L. J. Folse Family Investments,"LLC"","2019","Banker","n/a"
"Pedestal Bank","Director","Jacob Giardina,"Jr."","President","Honiron Corporation","2019","Manufacturing","n/a"
"Pedestal Bank","Director","Jacob Giardina,"Jr."","Co-owner","Greenhead Lodge,"LLC"","2019","Manufacturing","n/a"
"Pedestal Bank","Director","Jacob Giardina,"Jr."","Manager","ELCO,"LLC"","2019","Manufacturing","n/a"
"Pedestal Bank","Director","Gerald M. Johnson Jr.","None","None","2019","N/A","n/a"
"Pedestal Bank","Chairman","J. Vernon Johnson","None","None","2019","Banker","n/a"
"Pedestal Bank","Director","Charles B. Trahan","None","None","2019","Investor","n/a"
"Pedestal Bank","Director","Kenneth Wood,"Sr."","CEO","K & B Machine Works,"Inc."","2019","Metal Fabrication","n/a"
"Pedestal Bank","Director","Kenneth Wood,"Sr."","Co-owner","Kenneth Wood Family,"LLC"","2019","Metal Fabrication","n/a"
"Pedestal Bank","Director","Kenneth Wood,"Sr."","Co-owner","Blackhawk Hunting,"LLC"","2019","Metal Fabrication","n/a"
"Pedestal Bank","Director","Kenneth Wood,"Sr."","Co-owner","Blackhawk Woods,"LLC"","2019","Metal Fabrication","n/a"
"Pedestal Bank","Director","Kenneth Wood,"Sr."","Co-owner","Integris Rentals LLC","2019","Metal Fabrication","n/a"
"Pedestal Bank","Secretary,"EVP & COO"","Donna McKey","None","None","2019","Banker","n/a"
"Pedestal Bank","EVP & Chief Lending Officer","Leblanc Ourso","None","None","2019","Banker","n/a"
"Pedestal Bank","EVP & Regional President","Donald Landry","None","None","2019","Banker","n/a"
```
