```text
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"PrimeSouth Bancshares,"Inc."","Montgomery,"AL"","2016","David W. Baggett,"Jr."","common stock","17235","7.33%","n/a"
"PrimeSouth Bancshares,"Inc."","Tallassee,"AL"","2016","Martha (Bobby) Hardy","common stock","16030","6.82%","n/a"
"PrimeSouth Bancshares,"Inc."","Birmingham,"AL"","2016","G. David Johnson","common stock","16000","6.81%","n/a"
"PrimeSouth Bancshares,"Inc."","Birmingham,"AL"","2016","Robert L Pike","common stock","39027","16.60%","n/a"
"PrimeSouth Bancshares,"Inc."","Birmingham,"AL"","2016","RLP 2012 Children's Trust","common stock","23900","10.17%","n/a"
"PrimeSouth Bancshares,"Inc."","Tallassee,"AL"","2016","The Stough Family","common stock","46310","19.70%","n/a"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"PrimeSouth Bancshares,"Inc."","Director,"CEO"","David W. Baggett,"Jr."","Director & CEO","PrimeSouth Bank","2016","Banker","n/a"
"PrimeSouth Bancshares,"Inc."","Director,"Secretary"","Lee S. Greer","Director,"Secretary"","PrimeSouth Bank","2016","CFO/Hospital","n/a"
"PrimeSouth Bancshares,"Inc."","n/a","Warren Eugene Lawrence","Owner","SuperFoods","2016","Business Owner Grocery Stores","n/a"
"PrimeSouth Bancshares,"Inc."","n/a","Jimmy A. Monk","President","PrimeSouth Bank","2016","Banker","n/a"
"PrimeSouth Bancshares,"Inc."","n/a","Jodi W. Turner","CFO/COO","PrimeSouth Bank","2016","Banker","n/a"
"PrimeSouth Bancshares,"Inc."","n/a","Bradley K. Peters","EVP,"Senior Lender"","PrimeSouth Bank","2016","Banker","n/a"
"PrimeSouth Bancshares,"Inc."","n/a","Scott Swicord","Director","PrimeSouth Bank","2016","Contractor","n/a"
"PrimeSouth Bancshares,"Inc."","n/a","Robert L Pike","No title - Principal Shareholder Only","n/a","2016","Trucking Company","n/a"
"PrimeSouth Bancshares,"Inc."","n/a","RLP 2012 Children's Trust","No title - Principal Shareholder Only","n/a","2016","Trust","n/a"
```
