```text
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Putnam-Greene Financial Corporation","Monticello,"Georgia"","2016","L.O. Benton,"III for and during his life and remainder at his death to L.O. Benton","III as Trustee for Trust of L.O. Benton","Jr","dated 12/1/1976"","Common Stock","518336","47.5%","n/a"
"Putnam-Greene Financial Corporation","Monticello,"Georgia"","2016","L.O. ""Chip"" Benton,"IV"","Common Stock","161692","14.8%","n/a"
"Putnam-Greene Financial Corporation","Versailles,"Kentucky"","2016","Ann Fitzpatrick","Common Stock","172276","15.8%","n/a"
"Putnam-Greene Financial Corporation","Monticello,"Georgia"","2016","L.O. Benton,"III Trustee for Caro Fitzpatrick"","Common Stock","153748","14.1%","n/a"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Putnam-Greene Financial Corporation","Director,"Chairman"","Lumer Q. Benton,"III"","President","L.O. Benton Banking Foundation","2016","n/a","n/a"
"Putnam-Greene Financial Corporation","Director,"Chairman"","Lumer Q. Benton,"III"","Owner","Benton Farms","2016","n/a","n/a"
"Putnam-Greene Financial Corporation","Director,"Chairman"","Lumer Q. Benton,"III"","Trustee","Trust of Margaret T. Benton","2016","n/a","n/a"
"Putnam-Greene Financial Corporation","Director,"Chairman"","Lumer Q. Benton,"III"","Trustee","Caro Fitzpatrick Trust","2016","n/a","n/a"
"Putnam-Greene Financial Corporation","Director,"President"","LO,""Chíp"" Benton,"IV"","Partner","Urban Equity Propertles,"LLC"","2016","Real Estate Property Management","n/a"
"Putnam-Greene Financial Corporation","Director,"President"","LO,""Chíp"" Benton,"IV"","Co-Owner","Davis/Benton Properties","2016","Real Estate Property Management","n/a"
"Putnam-Greene Financial Corporation","Director,"President"","LO,""Chíp"" Benton,"IV"","Co-Owner","GWL Construction","2016","Real Estate Property Management","n/a"
"Putnam-Greene Financial Corporation","Principal Shareholder","Luner O. Benton,"III Trustee for Caro Fitzpatrick"","n/a","n/a","2016","n/a","n/a"
"Putnam-Greene Financial Corporation","Investor,"Principal Shareholder"","Ann Fitzpatrick","Primary Partner","Rigby's Green Farm,"LLC"","2016","n/a","n/a"
"Putnam-Greene Financial Corporation","Director,"Vice President"","Nancy Benton","Trustee","Trust of Louise G. Teem","2016","n/a","n/a"
"Putnam-Greene Financial Corporation","Director,"Vice President"","Nancy Benton","Co-Owner","Barrett Creek Parkway,"LLC"","2016","n/a","n/a"
"Putnam-Greene Financial Corporation","Director,"President"","J.S. Blackwell,"Jr."","President","Blackwell Furniture Company","2016","Blackwell Furniture Company President","n/a"
"Putnam-Greene Financial Corporation","Director,"President"","J.S. Blackwell,"Jr."","Owner","Blackwell Farms","2016","Blackwell Furniture Company President","n/a"
"Putnam-Greene Financial Corporation","Director,"President"","J.S. Blackwell,"Jr."","Partner","Blackwell//Hudson Partnership","2016","Blackwell Furniture Company President","n/a"
"Putnam-Greene Financial Corporation","Director","William A Connelly","n/a","n/a","2016","Retired","n/a"
```
